prefix,n_members,total_freq,representative,members,status
nara,2,183,narada,narada:125 | naradaa:58,unreviewed
suki,3,183,sukinlaiii,sukinlaiii:101 | sukinla:49 | sukinlaii:33,unreviewed
kirx,5,176,kirxv,kirxv:78 | kirxiv:29 | kirxviii:25 | kirxii:23 | kirx:21,unreviewed
pvii,2,175,pviii,pviii:129 | pvii:46,unreviewed
mada,2,175,madanav,madanav:148 | madan:27,unreviewed
pray,4,175,prayascittend,prayascittend:81 | prayasc:42 | prayascittat:31 | prayogar:21,unreviewed
tsii,2,173,tsii,tsii:122 | tsiii:51,unreviewed
anir,2,171,aniruddha,aniruddha:99 | aniruddhazusamkhyas:72,unreviewed
tith,2,169,tithyadit,tithyadit:123 | tithyad:46,unreviewed
levi,3,167,levi,levi:105 | levisnote:34 | levisutral:28,unreviewed
alam,4,164,alamkarav,alamkarav:62 | alamkaras:44 | alamkarar:30 | alamkarat:28,unreviewed
kutt,2,164,kutt,kutt:96 | kuttanim:68,unreviewed
utpa,3,163,utpalazuvarahbrh,utpalazuvarahbrh:85 | utpala:54 | utpalazuvarahbrhs:24,unreviewed
medg,2,158,medg,medg:129 | medgh:29,unreviewed
west,2,155,west,west:132 | westergaard:23,unreviewed
sara,3,152,sarasvatik,sarasvatik:69 | saras:58 | sarasv:25,unreviewed
nala,2,148,nalac,nalac:107 | nala:41,unreviewed
schm,2,147,schmidtnachtrage,schmidtnachtrage:118 | schmidtnachtr:29,unreviewed
dari,2,146,darila,darila:113 | darilazukaus:33,unreviewed
tsvi,2,145,tsvi,tsvi:80 | tsvii:65,unreviewed
devi,2,141,devip,devip:106 | devim:35,unreviewed
haug,2,141,haughton,haughton:80 | haught:61,unreviewed
haeb,2,138,haebanth,haebanth:108 | haeb:30,unreviewed
abhi,2,137,abhidhklavp,abhidhklavp:98 | abhidhk:39,unreviewed
bomb,2,127,bombausgg,bombausgg:86 | bombausg:41,unreviewed
kalp,2,122,kalp,kalp:67 | kalpas:55,unreviewed
text,2,119,text,text:63 | textzulotdelabl:56,unreviewed
kumv,3,119,kumv,kumv:50 | kumvii:44 | kumvi:25,unreviewed
sisv,2,118,sisv,sisv:65 | sisvi:53,unreviewed
cari,2,118,cari,cari:98 | cariii:20,unreviewed
viva,3,118,vivadar,vivadar:45 | vivadac:40 | vivadaratn:33,unreviewed
kumi,3,116,kumiii,kumiii:45 | kumi:44 | kumii:27,unreviewed
avxv,3,115,avxviii,avxviii:73 | avxv:21 | avxvi:21,unreviewed
nida,2,114,nidanas,nidanas:67 | nidana:47,unreviewed
suzu,2,112,suzuki,suzuki:90 | suzukistudies:22,unreviewed
asva,3,109,asvav,asvav:49 | asval:39 | asvad:21,unreviewed
bend,2,109,bendallandrouse,bendallandrouse:79 | bendall:30,unreviewed
parv,2,106,parv,parv:83 | parvat:23,unreviewed
vpii,2,106,vpii,vpii:66 | vpiii:40,unreviewed
vsxv,3,105,vsxvi,vsxvi:59 | vsxv:24 | vsxvii:22,unreviewed
pars,2,103,parsvan,parsvan:54 | parsvanathak:49,unreviewed
sakv,3,100,sakvii,sakvii:38 | sakv:36 | sakvi:26,unreviewed
asre,2,99,asres,asres:53 | asresiii:46,unreviewed
