group,members,tree,kind,n_quartets,n_recovered,recovery
tradition:Sanskrit-French,BUR STC,canonical_consensus,convention,435,50,0.1149
tradition:Sanskrit-French,BUR STC,B_whamming_upgma,convention,435,50,0.1149
tradition:Sanskrit-French,BUR STC,B_whamming_nj,convention,435,38,0.0874
tradition:Sanskrit-French,BUR STC,B_hamming_upgma,convention,435,42,0.0966
tradition:Sanskrit-French,BUR STC,B_hamming_nj,convention,435,44,0.1011
tradition:Sanskrit-French,BUR STC,A_jaccard_upgma,convention,435,198,0.4552
tradition:Sanskrit-French,BUR STC,A_jaccard_nj,convention,435,50,0.1149
tradition:Sanskrit-French,BUR STC,C_chamming_upgma,convention,435,43,0.0989
tradition:Sanskrit-French,BUR STC,C_chamming_nj,convention,435,44,0.1011
tradition:Sanskrit-French,BUR STC,bayesian_map,convention,435,85,0.1954
tradition:Sanskrit-French,BUR STC,preview_common_convention,convention,378,37,0.0979
tradition:Sanskrit-French,BUR STC,preview_common_lemma,content,378,235,0.6217
tradition:Sanskrit-German,CCS GRA PW PWG SCH,canonical_consensus,convention,3510,2360,0.6724
tradition:Sanskrit-German,CCS GRA PW PWG SCH,B_whamming_upgma,convention,3510,2360,0.6724
tradition:Sanskrit-German,CCS GRA PW PWG SCH,B_whamming_nj,convention,3510,2316,0.6598
tradition:Sanskrit-German,CCS GRA PW PWG SCH,B_hamming_upgma,convention,3510,2324,0.6621
tradition:Sanskrit-German,CCS GRA PW PWG SCH,B_hamming_nj,convention,3510,2300,0.6553
tradition:Sanskrit-German,CCS GRA PW PWG SCH,A_jaccard_upgma,convention,3510,2508,0.7145
tradition:Sanskrit-German,CCS GRA PW PWG SCH,A_jaccard_nj,convention,3510,2244,0.6393
tradition:Sanskrit-German,CCS GRA PW PWG SCH,C_chamming_upgma,convention,3510,2492,0.71
tradition:Sanskrit-German,CCS GRA PW PWG SCH,C_chamming_nj,convention,3510,2402,0.6843
tradition:Sanskrit-German,CCS GRA PW PWG SCH,bayesian_map,convention,3510,2640,0.7521
tradition:Sanskrit-German,CCS GRA PW PWG SCH,preview_common_convention,convention,3000,1435,0.4783
tradition:Sanskrit-German,CCS GRA PW PWG SCH,preview_common_lemma,content,3000,989,0.3297
tradition:Sanskrit-Sanskrit,SKD VCP,canonical_consensus,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,B_whamming_upgma,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,B_whamming_nj,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,B_hamming_upgma,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,B_hamming_nj,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,A_jaccard_upgma,convention,435,435,1.0
tradition:Sanskrit-Sanskrit,SKD VCP,A_jaccard_nj,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,C_chamming_upgma,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,C_chamming_nj,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,bayesian_map,convention,435,406,0.9333
tradition:Sanskrit-Sanskrit,SKD VCP,preview_common_convention,convention,378,378,1.0
tradition:Sanskrit-Sanskrit,SKD VCP,preview_common_lemma,content,378,72,0.1905
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,canonical_consensus,convention,7728,2354,0.3046
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,B_whamming_upgma,convention,7728,2354,0.3046
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,B_whamming_nj,convention,7728,2600,0.3364
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,B_hamming_upgma,convention,7728,2322,0.3005
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,B_hamming_nj,convention,7728,2615,0.3384
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,A_jaccard_upgma,convention,7728,3704,0.4793
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,A_jaccard_nj,convention,7728,2852,0.369
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,C_chamming_upgma,convention,7728,2366,0.3062
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,C_chamming_nj,convention,7728,2705,0.35
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,bayesian_map,convention,7728,2620,0.339
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,preview_common_convention,convention,6468,2142,0.3312
tradition:Specialized,ACC BHS FRI INM KRM MCI PUI VEI,preview_common_lemma,content,6468,5418,0.8377
