dict,L,k1,layers,is_verbal,n_subentries,subentry_categories,n_caus,n_pass,n_desid,n_intens,n_den,n_periphr,n_comp,max_depth,n_preverb_sub,preverbs,xref_out,is_root,root_signal,gana,pada,transitivity,causative,set,anit,vet
ae,559,ascertain,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,574,aspire,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,582,assemble,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,592,assist,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,610,astrology,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,629,attach,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,636,attend,sub,1,2,"desid,comp",0,0,1,0,0,0,1,1,,,0,0,,,,,,,,
ae,654,augment,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,667,author,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,690,averse,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,702,aware,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,787,bare,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,803,base,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,843,bear,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,850,beauty,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,855,become,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,871,before,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,876,begin,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,877,begird,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,890,behove,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,909,belong,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,911,below,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,934,bereave,sub,1,3,"pass,comp",0,2,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,943,besides,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,949,besort,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,955,best,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,960,bestow,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,977,better,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1004,big,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1021,bind,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1066,blend,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1079,blossom,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1104,body,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,1109,boil,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1140,border,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1149,both,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1152,bottom,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1184,branch,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1200,break,sub,1,4,pass,0,4,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1238,broil,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1258,brute,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1308,burn,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1312,burst,sub,1,3,pass,0,3,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1334,by,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1377,call,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1396,can,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1408,canine,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1428,capable,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1438,capillary,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1490,carry,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1501,case,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1546,cause,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1596,chafe,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1618,change,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1623,chap,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1679,chief,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1681,child,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,1690,chink,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1708,choose,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1748,cinque,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1766,circumstance,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1781,civil,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1810,cleave,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1836,close,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1840,cloth,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1863,coalesce,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1894,coextend,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1909,cohere,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1915,coincide,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1925,collapse,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1950,colour,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1959,combine,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1962,come,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1972,command,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,1994,communicate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,1999,compare,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2007,compel,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2010,compete,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,2013,complain,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2021,compliment,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2025,comport,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2026,compose,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2031,comprise,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2049,concern,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2052,conciliate,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2062,concrete,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2068,condense,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2073,condition,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2076,conduce,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2082,confederate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2083,confer,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2091,conflict,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2093,conform,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2101,congeal,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2111,conglutinate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2117,conjoin,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2127,connubial,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2128,conquer,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2132,conscious,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2141,consider,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2143,consist,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2147,consolidate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2150,consort,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2159,constitute,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2163,construct,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2164,construe,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2168,consume,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2172,contain,sub,0,4,comp,0,0,0,0,0,0,4,1,,,0,0,,,,,,,,
ae,2175,contemplate,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2190,contract,sub,1,3,pass,0,3,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2194,contrary,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2195,contrast,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2203,controversy,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2216,converse,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2219,convey,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2273,correct,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2275,correspond,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2308,cotton,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2314,count,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2325,counterfeit,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2361,crack,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2378,crave,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,2387,create,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2436,crowd,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2444,crumble,sub,1,3,"pass,desid",0,2,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,2460,cuckold,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2471,culinary,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2488,cupid,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2496,cure,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2497,curiosity,sub,1,2,desid,0,0,2,0,0,0,0,1,,,0,0,,,,,,,,
ae,2498,curl,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2501,current,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2517,custom,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2518,cut,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2519,cutaneous,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2553,danger,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2562,dash,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2571,dawn,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2572,day,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2598,decay,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2612,decline,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2622,decrease,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2649,defend,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2651,deficient,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2698,demand,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2703,demi,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2711,demon,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2719,denizen,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2721,denote,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2733,denude,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2740,depend,sub,1,3,"pass,comp",0,1,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2760,deprive,sub,1,4,"pass,comp",0,2,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2768,derive,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2773,descend,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2779,deserve,sub,1,3,"pass,comp",0,2,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2785,desire,sub,1,3,"desid,comp",0,0,2,0,0,0,1,1,,,0,0,,,,,,,,
ae,2797,despumate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2799,destine,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2800,destitute,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2801,destroy,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2810,deteriorate,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2812,detest,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,2822,develop,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2831,devolve,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2832,devote,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2868,die,sub,1,3,pass,0,3,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2870,differ,sub,1,5,"pass,comp",0,3,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,2871,difficult,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,2874,diffuse,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2876,digest,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2883,dilapidate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2884,dilate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2924,disagree,sub,1,2,pass,0,2,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2928,disappear,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2947,discharge,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2963,discord,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,2992,disengage,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3002,disguise,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,3003,disgust,sub,1,2,"pass,desid",0,1,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,3022,dislike,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3049,disperse,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3058,dispose,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,3099,distinguish,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3109,disunite,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3118,divaricate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3124,divide,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3130,do,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3134,doctor,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3135,doctrine,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3136,document,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3141,dog,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3152,domestic,sub,0,3,comp,0,0,0,0,0,0,3,1,,,0,0,,,,,,,,
ae,3155,dominate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3168,door,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3176,double,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3189,down,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,3199,drag,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3200,draggle,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3210,draw,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3219,dress,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3222,drift,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3226,drive,sub,1,3,pass,0,3,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3232,droop,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3239,drowse,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,3255,due,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3278,during,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3284,dwell,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3292,each,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3296,early,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3299,earth,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3300,ease,sub,0,3,comp,0,0,0,0,0,0,3,1,,,0,0,,,,,,,,
ae,3304,eat,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,3306,ebb,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3338,effervesce,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3382,element,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3393,elite,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3405,emaciate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3406,emanate,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,3414,embark,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3442,emerge,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,3470,emulate,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,3475,enamoured,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
