feature,root,skd,vcp,krm,yat,shs
gana,cIka,curadi,bhvadi,curadi,,
gana,ci,curadi|svadi,bhvadi,curadi,,
gana,ciwa,curadi,bhvadi|curadi,bhvadi,,
gana,cuba,curadi,bhvadi,,,
gana,cuqa,curadi,bhvadi|curadi,tudadi,,
gana,cura,curadi,bhvadi,curadi,,
gana,cyu,curadi,bhvadi|curadi,curadi,bhvadi,
gana,dA,adadi|juhotyadi,adadi|bhvadi,,,bhvadi
gana,dASa,curadi|svadi,bhvadi|curadi|svadi,svadi,,bhvadi
gana,dAsa,svadi,bhvadi,,,bhvadi
gana,dE,tudadi,bhvadi,,bhvadi,
gana,dF,divadi|kryadi,bhvadi|divadi,kryadi,kryadi,bhvadi
gana,daBa,curadi,curadi,bhvadi,,curadi
gana,daGa,svadi,bhvadi|divadi,svadi,,bhvadi
gana,daSa,curadi,curadi,,,bhvadi
gana,daha,curadi,bhvadi|curadi,,,bhvadi
gana,dala,bhvadi|curadi,curadi,bhvadi|curadi,,bhvadi
gana,dasa,curadi|divadi,curadi,,,bhvadi
gana,df,tudadi,svadi|tudadi,,tudadi,bhvadi
gana,dfBa,curadi|tudadi,bhvadi|tudadi,curadi,,bhvadi
gana,dfmpa,curadi,,,,tudadi
gana,dfpa,curadi|divadi|tudadi,bhvadi|tudadi,curadi|tudadi,,bhvadi
gana,dimpa,curadi,curadi,,,bhvadi
gana,diva,curadi|divadi,bhvadi|curadi|divadi,,,bhvadi
gana,drU,svadi,svadi,,kryadi,svadi
gana,dru,svadi,bhvadi|svadi,,bhvadi,bhvadi
gana,du,svadi,bhvadi|svadi,,bhvadi,bhvadi
gana,duha,adadi,bhvadi,,,bhvadi
gana,f,juhotyadi|svadi,svadi,kryadi,bhvadi,
gana,fza,tudadi,tudadi,,bhvadi,
gana,gA,juhotyadi,bhvadi,,bhvadi,
gana,gaja,curadi,bhvadi|curadi,bhvadi|curadi,bhvadi,
gana,gardda,curadi,bhvadi,,,
gana,garha,curadi,bhvadi,bhvadi|curadi,,
gana,gf,,bhvadi,curadi,bhvadi,
gana,gfha,curadi,curadi,curadi,bhvadi,
gana,glaha,curadi,,bhvadi,,
gana,granTa,curadi,bhvadi,curadi|kryadi,,
gana,grasa,curadi,bhvadi,curadi,bhvadi,
gana,hana,adadi,bhvadi,adadi,,
gana,hf,bhvadi|juhotyadi,juhotyadi,,bhvadi,
gana,hfza,bhvadi|divadi,bhvadi,divadi,divadi,
gana,hikka,bhvadi|curadi,curadi,bhvadi,,
gana,hiva,bhvadi,svadi,,,
gana,i,adadi,,bhvadi,adadi|bhvadi,
gana,jAgf,adadi,adadi,adadi,juhotyadi,
gana,jF,divadi|kryadi,curadi|divadi,bhvadi|curadi,bhvadi,
gana,jYA,curadi|kryadi,curadi,curadi,kryadi,
gana,jaB,,,,bhvadi,curadi
gana,jaBa,curadi,bhvadi,,,
gana,jakza,adadi,bhvadi,adadi,,bhvadi
gana,jarja,,tudadi,bhvadi|tudadi,tudadi,bhvadi
gana,jartsa,,bhvadi,,tudadi,bhvadi
gana,ji,,bhvadi,curadi,bhvadi,
gana,jivi,,,bhvadi,svadi,
gana,jrI,kryadi,curadi,,kryadi,
gana,jri,,bhvadi,curadi,bhvadi,
gana,juza,curadi|tudadi,bhvadi|tudadi,curadi,,bhvadi
gana,jvala,bhvadi,bhvadi,bhvadi,,curadi
gana,kaRa,curadi,bhvadi,bhvadi|curadi,curadi,
gana,kaSa,,bhvadi,adadi,,
gana,kaWa,curadi,bhvadi,bhvadi,,
gana,kita,juhotyadi,,bhvadi,,
gana,klaTa,curadi,,bhvadi,,
gana,klida,divadi,bhvadi,,,
gana,knaTa,curadi,bhvadi,bhvadi,,
gana,knasa,curadi,bhvadi|divadi,,,
gana,kraTa,curadi,curadi,bhvadi,,
gana,ku,adadi|tudadi,adadi|bhvadi,,bhvadi,
gana,kuSa,curadi|divadi,bhvadi,,,
gana,kuba,curadi,bhvadi,,,
gana,kzala,bhvadi|curadi,bhvadi,curadi,,
gana,kzi,svadi|tudadi,bhvadi|svadi|tudadi,,bhvadi,
gana,luRwa,curadi,bhvadi,,,
gana,luba,curadi,bhvadi,,,
gana,mArga,curadi,bhvadi|curadi,curadi,bhvadi,
gana,mI,curadi|divadi|kryadi,bhvadi,curadi,divadi,
gana,mfqa,kryadi,tudadi,kryadi|tudadi,,
gana,miza,bhvadi|tudadi,bhvadi,tudadi,,
gana,mlE,bhvadi,bhvadi,,curadi,
gana,mlecCa,curadi,bhvadi,bhvadi|curadi,,
gana,mokza,curadi,bhvadi,curadi,,
gana,muca,bhvadi|curadi|tudadi,bhvadi|tudadi,curadi,,
gana,muja,curadi,bhvadi,bhvadi,,
gana,muz,divadi,,,bhvadi,
gana,muza,bhvadi|kryadi,bhvadi|divadi,kryadi,,
gana,naqa,curadi,curadi,,,bhvadi
gana,nawa,curadi,curadi,curadi,,bhvadi
gana,olaqa,curadi,bhvadi,,,
gana,pA,adadi,adadi|bhvadi,,bhvadi,
gana,pF,curadi|kryadi,bhvadi,curadi|juhotyadi|kryadi,kryadi,bhvadi
gana,pU,bhvadi|divadi|kryadi,bhvadi,,kryadi,bhvadi
gana,pUla,curadi,bhvadi,bhvadi|curadi,,
gana,pUrvva,curadi,,,bhvadi,
gana,pUya,bhvadi,divadi,,,divadi
gana,paTa,bhvadi|curadi,bhvadi,curadi,bhvadi,bhvadi
gana,paca,curadi,bhvadi|curadi,,,bhvadi
gana,pada,curadi|divadi,bhvadi|curadi,curadi|divadi,,bhvadi
gana,pakza,curadi,curadi,curadi,,bhvadi
gana,paqa,curadi,bhvadi|curadi,,,bhvadi
gana,pata,bhvadi|curadi|divadi,bhvadi|curadi,curadi,,bhvadi
gana,pawa,curadi,bhvadi|curadi,bhvadi|curadi,,bhvadi
gana,pf,curadi|juhotyadi|svadi|tudadi,curadi|svadi|tudadi,,juhotyadi,svadi
gana,pfc,,,,adadi,bhvadi
gana,pfca,adadi|curadi|rudhadi,adadi|bhvadi,curadi,,
gana,picCa,tudadi,,curadi,,tudadi
gana,picca,curadi,curadi,,bhvadi,curadi
gana,piqa,curadi,bhvadi,,,bhvadi
gana,pisa,curadi,bhvadi|curadi,curadi,,bhvadi
gana,prasa,bhvadi,,bhvadi,,divadi
gana,pruza,bhvadi|kryadi,bhvadi|kryadi,kryadi,bhvadi,
gana,puTa,bhvadi|curadi|divadi,bhvadi|curadi,curadi|divadi,,bhvadi
gana,puqa,,bhvadi,tudadi,,bhvadi
gana,qI,divadi,bhvadi,,bhvadi,bhvadi
gana,qiBa,curadi,bhvadi,,,
gana,qiba,curadi,bhvadi,,,
gana,rADa,svadi,divadi,divadi,,
gana,rUza,curadi,curadi,bhvadi,,
gana,ri,tudadi,tudadi,,svadi,
gana,rica,curadi|rudhadi,bhvadi,curadi,,
gana,ru,adadi|bhvadi,bhvadi,adadi,adadi,
gana,sPula,tudadi,tudadi,tudadi,bhvadi,
gana,sTUla,curadi,curadi,curadi,bhvadi,
gana,samba,bhvadi|curadi,curadi,,bhvadi,
gana,satra,curadi,curadi,curadi,bhvadi,
gana,sku,,svadi,,kryadi,
gana,skunBa,kryadi,svadi,,,
gana,smIla,bhvadi,bhvadi,bhvadi,curadi,
gana,stamBa,kryadi,,,svadi,
gana,stana,bhvadi|curadi,curadi,bhvadi|curadi,bhvadi,
gana,stunBa,kryadi,svadi,,,
gana,tUla,curadi,bhvadi|curadi,bhvadi,,
gana,takza,svadi,bhvadi,bhvadi,,
gana,tala,curadi,bhvadi,curadi,,curadi
gana,tanca,adadi,bhvadi|rudhadi,,,
gana,taqa,curadi,bhvadi|curadi,curadi,,bhvadi
gana,tasa,curadi|divadi,bhvadi|divadi,,,bhvadi
gana,tawa,curadi,bhvadi|curadi,bhvadi,,
gana,tfda,rudhadi,bhvadi,,,
gana,tiGa,svadi,bhvadi,,,svadi
gana,tiga,svadi,bhvadi,svadi,,svadi
gana,tika,svadi,bhvadi,svadi,,svadi
gana,tila,curadi,bhvadi|curadi|tudadi,bhvadi|curadi|tudadi,,bhvadi
gana,truwa,curadi,curadi|divadi,curadi|tudadi,,divadi
gana,tuBa,divadi,bhvadi|divadi,bhvadi|divadi|kryadi,bhvadi,
gana,tuba,curadi,bhvadi,,,
gana,tuja,curadi,bhvadi|curadi,bhvadi,,bhvadi
gana,tula,curadi,bhvadi,curadi,,
gana,tupa,curadi|tudadi,bhvadi|curadi|tudadi,bhvadi|tudadi,,bhvadi
gana,tuqa,tudadi,bhvadi|tudadi,tudadi,,bhvadi
gana,tura,juhotyadi,,juhotyadi,bhvadi,
gana,vaha,bhvadi|curadi,curadi,bhvadi,,
gana,vfRa,tanadi,,tudadi,tudadi,
gana,vrI,divadi|kryadi,divadi|kryadi,kryadi,divadi,
gana,vrIsa,curadi,bhvadi,,,
gana,vruqa,tudadi,curadi,tudadi,,
gana,waka,curadi,curadi,,,bhvadi
gana,yasa,divadi,bhvadi,,,
gana,yata,,bhvadi,curadi,,
gana,yatra,curadi,bhvadi,,,
gana,zama,bhvadi|curadi,curadi,bhvadi,,
gana,zi,kryadi,svadi,,svadi,
gana,zu,adadi|bhvadi|svadi,bhvadi|svadi,,adadi,
gana,zuha,adadi,,divadi,divadi,
pada,BAja,parasmaipada,ubhayapada,ubhayapada,,
pada,BAma,atmanepada|parasmaipada,atmanepada,parasmaipada|ubhayapada,,
pada,BAza,atmanepada,,parasmaipada,,
pada,BUza,parasmaipada,ubhayapada,parasmaipada|ubhayapada,,
pada,Balla,atmanepada,parasmaipada,,atmanepada,
pada,Bartsa,ubhayapada,ubhayapada,parasmaipada,ubhayapada,
pada,Bida,ubhayapada,parasmaipada,,,
pada,BrI,,parasmaipada,,ubhayapada,
pada,Carda,,,ubhayapada,parasmaipada,
pada,Cidra,,,ubhayapada,parasmaipada,
pada,Cuwa,,ubhayapada,parasmaipada,,ubhayapada
pada,DU,ubhayapada,ubhayapada,parasmaipada,ubhayapada,
pada,DUpa,parasmaipada,parasmaipada|ubhayapada,parasmaipada|ubhayapada,,ubhayapada
pada,DUsa,,,ubhayapada,parasmaipada,
pada,Df,atmanepada|ubhayapada,atmanepada|ubhayapada,,parasmaipada,ubhayapada
pada,Dfza,atmanepada,atmanepada|parasmaipada|ubhayapada,ubhayapada,,ubhayapada
pada,Drasa,,parasmaipada,parasmaipada,,ubhayapada
pada,Du,ubhayapada,ubhayapada,,parasmaipada,ubhayapada
pada,Dvansa,atmanepada,parasmaipada,,,
pada,GUrRa,ubhayapada,,parasmaipada,parasmaipada,
pada,Gasa,atmanepada,parasmaipada,,,
pada,Gawa,atmanepada,atmanepada|ubhayapada,ubhayapada,,
pada,Gawwa,atmanepada,atmanepada|ubhayapada,ubhayapada,,ubhayapada
pada,GuRa,atmanepada,parasmaipada,,,
pada,Gura,,parasmaipada,parasmaipada,atmanepada,
pada,Guwa,atmanepada,atmanepada|parasmaipada,parasmaipada,,
pada,Guza,atmanepada,parasmaipada|ubhayapada,,atmanepada,
pada,I,atmanepada,atmanepada|parasmaipada,,parasmaipada,
pada,Ikza,atmanepada,parasmaipada,,,
pada,Iqa,atmanepada,atmanepada,ubhayapada,,
pada,Ira,atmanepada,atmanepada|ubhayapada,parasmaipada|ubhayapada,,
pada,Iza,atmanepada,atmanepada|parasmaipada,parasmaipada,,
pada,Kaqa,atmanepada,atmanepada|ubhayapada,ubhayapada,,
pada,Kawwa,,ubhayapada,ubhayapada,parasmaipada,
pada,Kuqa,atmanepada,atmanepada|ubhayapada,parasmaipada,,
pada,KyA,,ubhayapada,,parasmaipada,
pada,QOka,atmanepada,atmanepada,,parasmaipada,
pada,RaBa,atmanepada,atmanepada|parasmaipada,parasmaipada,,
pada,Raya,atmanepada,parasmaipada,,ubhayapada,
pada,SI,parasmaipada,atmanepada,,atmanepada,
pada,SIka,atmanepada,atmanepada|ubhayapada,ubhayapada,atmanepada,
pada,SUra,atmanepada,ubhayapada,,,
pada,SUrpa,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,Sabda,parasmaipada,ubhayapada,,parasmaipada,
pada,Saka,atmanepada|parasmaipada|ubhayapada,ubhayapada,ubhayapada,parasmaipada,
pada,Sala,atmanepada|parasmaipada,atmanepada|parasmaipada,parasmaipada,atmanepada,
pada,Samba,parasmaipada,parasmaipada,ubhayapada,parasmaipada,
pada,Saqa,atmanepada,parasmaipada,,,
pada,Sija,atmanepada,parasmaipada,,,
pada,Sikza,atmanepada,,parasmaipada,,
pada,Siza,parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,Sliza,parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,Sri,ubhayapada,ubhayapada,,parasmaipada,
pada,Sulka,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,Sulva,parasmaipada,ubhayapada,,,
pada,SvaBra,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,SvaWa,parasmaipada,ubhayapada,ubhayapada,,
pada,Svalka,parasmaipada,,ubhayapada,parasmaipada,
pada,Svita,atmanepada,ubhayapada,,,
pada,Uha,parasmaipada,parasmaipada,parasmaipada,atmanepada,
pada,Una,,ubhayapada,ubhayapada,parasmaipada,
pada,aGa,atmanepada,atmanepada,,parasmaipada,
pada,aNga,,ubhayapada,ubhayapada,parasmaipada,
pada,aNka,,ubhayapada,ubhayapada,parasmaipada,
pada,aSa,atmanepada,parasmaipada,,,
pada,aWa,atmanepada,parasmaipada,,,
pada,aha,atmanepada,atmanepada|parasmaipada|ubhayapada,parasmaipada,,
pada,aka,atmanepada,,parasmaipada,,
pada,ala,ubhayapada,ubhayapada,,parasmaipada,
pada,anDa,,,ubhayapada,parasmaipada,
pada,andola,,ubhayapada,,parasmaipada,
pada,arTa,parasmaipada,,atmanepada,atmanepada,
pada,arha,,parasmaipada|ubhayapada,ubhayapada,parasmaipada,
pada,avaDIra,ubhayapada,ubhayapada,,parasmaipada,
pada,aya,atmanepada,parasmaipada,,,
pada,baDa,atmanepada|parasmaipada,atmanepada,ubhayapada,,
pada,balha,atmanepada,atmanepada,ubhayapada,,
pada,barha,atmanepada,,ubhayapada,,
pada,bila,,ubhayapada,parasmaipada|ubhayapada,parasmaipada,
pada,bukka,parasmaipada,ubhayapada,parasmaipada|ubhayapada,,
pada,bula,parasmaipada,ubhayapada,ubhayapada,,
pada,busta,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,buwa,parasmaipada,ubhayapada,,,
pada,byuza,parasmaipada,ubhayapada,,parasmaipada,
pada,cURa,,ubhayapada,,parasmaipada,
pada,cUrRa,,,ubhayapada,parasmaipada,
pada,cada,ubhayapada,parasmaipada,,,
pada,carva,,ubhayapada,parasmaipada,,ubhayapada
pada,citra,,ubhayapada,ubhayapada,parasmaipada,
pada,cuba,atmanepada,ubhayapada,,,
pada,cuqa,atmanepada,parasmaipada,parasmaipada,,
pada,cuwwa,,ubhayapada,ubhayapada,parasmaipada,
pada,cyu,atmanepada,ubhayapada,ubhayapada,atmanepada,
pada,dASa,atmanepada|ubhayapada,parasmaipada|ubhayapada,parasmaipada,,ubhayapada
pada,dIDI,parasmaipada,atmanepada,,atmanepada,
pada,dU,atmanepada,atmanepada,,parasmaipada,
pada,daBa,,ubhayapada,parasmaipada,,ubhayapada
pada,daRqa,,ubhayapada,ubhayapada,parasmaipada,ubhayapada
pada,daSa,atmanepada,atmanepada|ubhayapada,,,ubhayapada
pada,dasa,atmanepada,parasmaipada,,,parasmaipada
pada,df,atmanepada,parasmaipada,,atmanepada,ubhayapada
pada,dfSa,atmanepada,parasmaipada,,,parasmaipada
pada,dfmpa,ubhayapada,,,,parasmaipada
pada,dfpa,ubhayapada,parasmaipada,parasmaipada|ubhayapada,,ubhayapada
pada,diBa,,ubhayapada,,parasmaipada,ubhayapada
pada,diva,atmanepada,atmanepada|parasmaipada|ubhayapada,,,ubhayapada
pada,drAGa,atmanepada,parasmaipada,,,parasmaipada
pada,duha,ubhayapada,parasmaipada,,,ubhayapada
pada,ez,,parasmaipada,,atmanepada,
pada,gF,atmanepada,atmanepada|parasmaipada,parasmaipada,parasmaipada,
pada,gUrdda,atmanepada,ubhayapada,,,
pada,galBa,atmanepada,,,parasmaipada,
pada,garha,atmanepada,atmanepada,ubhayapada,,
pada,gaveza,,,ubhayapada,parasmaipada,
pada,gf,,parasmaipada,atmanepada,parasmaipada,
pada,graTa,atmanepada,atmanepada,ubhayapada,,
pada,grasa,atmanepada,atmanepada|ubhayapada,ubhayapada,atmanepada,ubhayapada
pada,gu,atmanepada,atmanepada|parasmaipada,,parasmaipada,
pada,guDa,atmanepada,atmanepada|parasmaipada,parasmaipada,,
pada,guRa,,ubhayapada,ubhayapada,parasmaipada,
pada,gudra,,ubhayapada,,parasmaipada,
pada,heWa,atmanepada|parasmaipada,parasmaipada,parasmaipada,ubhayapada,
pada,heza,atmanepada,,,parasmaipada,
pada,hillola,parasmaipada,ubhayapada,,,
pada,hlapa,parasmaipada,,ubhayapada,parasmaipada,
pada,hnu,atmanepada,atmanepada,,parasmaipada,
pada,hoqa,atmanepada,,,parasmaipada,
pada,hve,ubhayapada,ubhayapada,,parasmaipada,
pada,i,atmanepada,parasmaipada,parasmaipada,atmanepada|parasmaipada,
pada,iN,,atmanepada,parasmaipada,,
pada,jF,,parasmaipada|ubhayapada,parasmaipada|ubhayapada,parasmaipada,ubhayapada
pada,jUza,parasmaipada,ubhayapada,parasmaipada,parasmaipada,
pada,jYapa,parasmaipada,ubhayapada,ubhayapada,,ubhayapada
pada,jaB,,,,parasmaipada,ubhayapada
pada,jaBa,atmanepada,parasmaipada,,,
pada,jakza,atmanepada,parasmaipada,parasmaipada,,parasmaipada
pada,jana,atmanepada,parasmaipada,parasmaipada,parasmaipada,
pada,ji,,parasmaipada,ubhayapada,parasmaipada,
pada,jrI,,ubhayapada,,parasmaipada,
pada,jri,,parasmaipada,ubhayapada,parasmaipada,
pada,ju,atmanepada,atmanepada|parasmaipada,,parasmaipada,parasmaipada
pada,juza,atmanepada,ubhayapada,ubhayapada,,ubhayapada
pada,kAla,,ubhayapada,ubhayapada,parasmaipada,
pada,kAsa,atmanepada,parasmaipada,,,
pada,kF,atmanepada|ubhayapada,atmanepada|parasmaipada|ubhayapada,parasmaipada,parasmaipada,
pada,kIwa,,ubhayapada,ubhayapada,parasmaipada,
pada,kU,atmanepada|ubhayapada,ubhayapada,,atmanepada,
pada,kURa,atmanepada,atmanepada|ubhayapada,ubhayapada,,
pada,kaRqU,,ubhayapada,,parasmaipada,
pada,kaTa,,ubhayapada,ubhayapada,parasmaipada,
pada,kaWa,atmanepada,parasmaipada|ubhayapada,parasmaipada,,
pada,kaba,atmanepada,parasmaipada,,,
pada,kala,atmanepada,atmanepada|ubhayapada,ubhayapada,,
pada,kama,atmanepada,parasmaipada,,,
pada,kapa,atmanepada,parasmaipada,,,
pada,kaqa,atmanepada,parasmaipada|ubhayapada,parasmaipada,,
pada,karRa,,,ubhayapada,parasmaipada,
pada,kasa,atmanepada,atmanepada|parasmaipada,parasmaipada,,
pada,katTa,atmanepada,parasmaipada,,,
pada,katra,,ubhayapada,ubhayapada,parasmaipada,
pada,kfpa,atmanepada,parasmaipada|ubhayapada,ubhayapada,,
pada,kfza,ubhayapada,parasmaipada,parasmaipada|ubhayapada,,
pada,kliSa,ubhayapada,parasmaipada,,,
pada,knaTa,,ubhayapada,parasmaipada,,
pada,krI,ubhayapada,ubhayapada,,parasmaipada,
pada,krada,atmanepada,parasmaipada,,,
pada,kumAla,,ubhayapada,,parasmaipada,
pada,kumAra,,ubhayapada,ubhayapada,parasmaipada,
pada,kuqa,atmanepada,atmanepada|parasmaipada|ubhayapada,parasmaipada,,
pada,kutsa,parasmaipada,parasmaipada,,ubhayapada,
pada,kuwa,atmanepada,parasmaipada,parasmaipada,,
pada,kuwwa,atmanepada,atmanepada|ubhayapada,ubhayapada,parasmaipada,
pada,kzIva,atmanepada,parasmaipada,,,
pada,kzama,atmanepada,parasmaipada,,,
pada,kzipa,ubhayapada,parasmaipada,parasmaipada|ubhayapada,,
pada,kzuBa,atmanepada,,parasmaipada,,
pada,kzvida,atmanepada,parasmaipada,,,
pada,kzviqa,atmanepada,parasmaipada,,,
pada,lAqa,parasmaipada,ubhayapada,,,
pada,lI,atmanepada|parasmaipada,parasmaipada|ubhayapada,,atmanepada,
pada,lUza,parasmaipada,ubhayapada,parasmaipada|ubhayapada,,
pada,laSa,parasmaipada,ubhayapada,,,
pada,laYja,parasmaipada,ubhayapada,,,
pada,laga,parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,lala,atmanepada|parasmaipada,ubhayapada,,,
pada,loka,atmanepada|parasmaipada,ubhayapada,,,
pada,luRwa,parasmaipada,ubhayapada,,,
pada,luba,parasmaipada,ubhayapada,,,
pada,luja,parasmaipada,ubhayapada,,,
pada,mArga,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,mArja,,,ubhayapada,parasmaipada,
pada,mArjja,parasmaipada,ubhayapada,,,
pada,mI,atmanepada|ubhayapada,ubhayapada,parasmaipada,atmanepada,
pada,mUtra,ubhayapada,ubhayapada,ubhayapada,parasmaipada,
pada,maGa,atmanepada,parasmaipada,,,
pada,maqa,atmanepada|parasmaipada,ubhayapada,,,
pada,maska,atmanepada,parasmaipada,atmanepada,,
pada,mepa,atmanepada,,,parasmaipada,
pada,mf,parasmaipada,parasmaipada,,atmanepada,
pada,mfDa,ubhayapada,ubhayapada,,parasmaipada,
pada,mfga,atmanepada,parasmaipada,parasmaipada,,
pada,miSra,parasmaipada,,ubhayapada,parasmaipada,
pada,mlecCa,parasmaipada,ubhayapada,parasmaipada|ubhayapada,,
pada,mokza,parasmaipada,parasmaipada,ubhayapada,,
pada,mrakza,parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,muWa,atmanepada,parasmaipada,,,
pada,muda,atmanepada|parasmaipada,,ubhayapada,,
pada,muha,parasmaipada,ubhayapada,,,
pada,nATa,atmanepada,parasmaipada,,,parasmaipada
pada,pAra,,ubhayapada,ubhayapada,parasmaipada,ubhayapada
pada,pF,parasmaipada,parasmaipada,parasmaipada|ubhayapada,parasmaipada,ubhayapada
pada,pUR,,,,parasmaipada,ubhayapada
pada,pURa,parasmaipada,ubhayapada,,,
pada,pUj,,,,parasmaipada,ubhayapada
pada,pUja,parasmaipada,ubhayapada,ubhayapada,,
pada,pUrRa,,,ubhayapada,parasmaipada,
pada,pUra,atmanepada|parasmaipada,atmanepada|ubhayapada,,,ubhayapada
pada,paRa,atmanepada,parasmaipada,atmanepada,,
pada,paTa,,parasmaipada|ubhayapada,ubhayapada,parasmaipada,ubhayapada
pada,pada,atmanepada,atmanepada|parasmaipada,,,parasmaipada
pada,pala,,ubhayapada,parasmaipada,,parasmaipada|ubhayapada
pada,palyUla,,ubhayapada,,parasmaipada,
pada,palyula,,ubhayapada,,parasmaipada,ubhayapada
pada,paqa,atmanepada,ubhayapada,,,ubhayapada
pada,parRa,,ubhayapada,ubhayapada,parasmaipada,
pada,parza,atmanepada,atmanepada,,parasmaipada,atmanepada
pada,pata,atmanepada,parasmaipada,ubhayapada,,ubhayapada
pada,pf,atmanepada|parasmaipada,atmanepada|parasmaipada|ubhayapada,,parasmaipada,ubhayapada
pada,pfT,,,,parasmaipada,ubhayapada
pada,pfTa,parasmaipada,ubhayapada,ubhayapada,,
pada,pfc,,,,atmanepada,ubhayapada
pada,pfca,atmanepada|parasmaipada,atmanepada|ubhayapada,ubhayapada,,
pada,picCa,,,ubhayapada,,parasmaipada
pada,picca,,ubhayapada,,parasmaipada,ubhayapada
pada,pija,atmanepada,ubhayapada,,,ubhayapada
pada,piqa,atmanepada,ubhayapada,,,atmanepada
pada,praTa,atmanepada|parasmaipada,ubhayapada,ubhayapada,atmanepada,ubhayapada
pada,preNKola,parasmaipada,ubhayapada,,,
pada,preza,parasmaipada,parasmaipada,,atmanepada,
pada,puTa,parasmaipada,parasmaipada,parasmaipada|ubhayapada,,ubhayapada
pada,pula,parasmaipada,parasmaipada|ubhayapada,parasmaipada|ubhayapada,,ubhayapada
pada,puza,parasmaipada,parasmaipada|ubhayapada,parasmaipada|ubhayapada,,ubhayapada
pada,qipa,atmanepada,ubhayapada,atmanepada|parasmaipada|ubhayapada,,
pada,rIva,ubhayapada,ubhayapada,,atmanepada,
pada,rUkza,parasmaipada,ubhayapada,ubhayapada,,
pada,rUpa,parasmaipada,ubhayapada,ubhayapada,,
pada,rUza,parasmaipada,ubhayapada,parasmaipada,,
pada,raGa,atmanepada|parasmaipada,ubhayapada,,,
pada,raMha,parasmaipada,ubhayapada,,,
pada,raca,parasmaipada,ubhayapada,ubhayapada,,
pada,rama,atmanepada,,parasmaipada,,
pada,repa,atmanepada,atmanepada,,parasmaipada,
pada,reza,atmanepada,atmanepada,,parasmaipada,
pada,ruca,atmanepada,,parasmaipada,,
pada,ruja,parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,ruwa,atmanepada|parasmaipada,parasmaipada|ubhayapada,ubhayapada,,
pada,sAma,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
pada,sAmba,parasmaipada,ubhayapada,ubhayapada,parasmaipada,
