dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,1961,sPuqi,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1537. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1962,sPura,annotation,(annotation-only),tudadi,parasmaipada,akarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1389. <s>aka</s>. <s>sew</s>. <s>para</s>
krm,1963,sPurCA,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-213. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1964,sPula,annotation,(annotation-only),tudadi,parasmaipada,akarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1390. <s>aka</s>. <s>sew</s>. <s>para</s>
krm,1965,sPUrjA,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-235. <s>aka</s>. <s>sew para</s>.) [Page139
krm,1966,smiwa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1573. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1967,smIla,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-519. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1971,syandU,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,1,,(I<s>-BvAdiH</s>-761. <s>aka</s>. <s>vew</s>. <s>Atma</s>.)
krm,1972,syama,annotation,(annotation-only),curadi,,akarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1694. <s>aka</s>. <s>sew</s>. <s>Atma</s>.
krm,1973,syamu,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-826. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1974,sraki,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-84. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1975,syala,annotation,(annotation-only),curadi,,akarmaka,0,1,0,0,,"(X<s>-curAdiH, aka</s>. <s>sew</s>. <s>Atma</s>.) <div n=""NI"
krm,1976,sranBu,annotation,(annotation-only),bhvadi,,,0,1,0,0,,"(I<s>-BvAdiH</s>-757, (393). <s>saka</s>. <s>sew</s>. <s>Atm"
krm,1977,sraMsu,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-754. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1978,srivu,annotation,(annotation-only),divadi,parasmaipada,sakarmaka,0,1,0,0,,(IV<s>-divAdiH</s>-1109. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1979,sru,citation,dhatupatha,bhvadi,parasmaipada,sakarmaka,0,0,0,0,,(I<s>-BvAdiH</s>-940. <s>saka</s>. <s>ani</s>. <s>para</s>.)
krm,1980,srekf,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-82. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1981,svana,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-827. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1982,svana,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-817. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1983,svara,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1864. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1985,svada,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-19. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1986,svAda,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-28. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
