dict,L,k1,quote
ap,10487,UrmikA,… UrmikAScApi citraratnacayANkitAH
ap,10513.002,UhaH,triviDaSca UhaH mantrasAmasaMskAravizayaH
ap,10519.002,fH,fnirftirnalo nAkaH KagarAqaTa vAsukiH . SAlaH pitfsvasuH
ap,10563.002,fRam,fRasaMstavo hi avaSyakartavyAnAM Bavati .
ap,10582,ftuH,paYcartavo hemantaSiSirayoH
ap,10626,F,FrnizeDo BavaH pUzA
ap,10629,X,XmahAtmA suro bAlo BUpaH stomaH kaTAnakaH
ap,10631,eH,eH kumAro'suro'rAtirjYAtIyo'hita udDataH .
ap,10632.377,ekaBAvaH,eko BAvaH sadA Sasto yatInAM BavitAtmanAm
ap,10641,ekaDA,yaH sakfd gAH prApayati sa ekaDA prApayatItyucyate .
ap,10731,ehimAya,ehimAyAso adruhaH
ap,10733,EH,EH krUro DaraRInATaH
ap,10821,ESvaryam,aRimA laGimA
ap,10830,o,orveDA jYo Druvo'gastyo garuqo'go'kzayo'suraH .
ap,10841,oGaH,tattvaM BavedanugatamoGaSceti nirUpitam . gItAnugaM
ap,10845,ojas,kzIrasTaGftamiva BinnamojaH
ap,10867,om,akAro vizRuruddizwa ukArastu maheSvaraH . makAreRocyate brahmA praRavena
ap,10881,ozaDiH,saMjIvana˚
ap,10881.020,ozaDISaH,puzRAmi cOzaDIH sarvAH somo BUtvA rasAtmakaH
ap,10890,O,OH SvA yuvA naro nArI BAvaH sUkzmaH
ap,11080.002,kam,kaM SiraH kaM suKaM toyaM payo duHKaM vizaM Bayam
ap,11086.004,kaMsaH,kaMsaM jaGAna kfzRaH
ap,11126,kaNkaH,kaNkastaraNge gupte ca gfDre kAke yuDizWire .
ap,11188.002,kaYjam,kaYjaH kaSaviriYcayoH . pIyUzapadmayoH klIbam … .
ap,11227,kawu,atikawuH kAravellAdiH atitIkzRo
ap,11281,kaRaH,‘kaRo'tisUkzme DAnyAMSe pippalyAM jIrake Sare’
ap,11386,kadambaH,kadambaH puMsi nIpe syAttiniSe varuRadrume . DUlyAM
ap,11415,kanIyas,kanIyAnanujAlpayoH … atiyUni
ap,11496,kabalam,kabalaM nAmatastattu vAtalaM kaPapittahft .
ap,11510.048,kamalaBft,kamalAsana-kamalekzaRa-kamalArikirIwa-kamalaBfdvAhEH . nutapadakamalA
ap,11524,kambalaH,kambalo nAgarAje ca sAsnAyAM mfgaromaje .
ap,11537.104,karapallavaH,˚kisalaya
ap,11540,karaNkaH,"rOpyAn rOkmAMSca paryaNkAn, karaNkAMSca"
ap,11546.002,karaRaH,… … karaRaH SiSO . SUdrAviSoH sute'pi syAt
ap,11547,karaRqaH,karaRqo mukuwe pAtre
ap,11572,karIraH,kiM puzpEH
ap,11591.002,karkaH,… karkastu mallake . GawaBedAgnimukurasitASvakfpaRezvapi .
ap,11615,karRa,"zawkarRa, catuzkarRa"
ap,11615.072,karRajAham,tasya pAkamUle pIlvAdikarRAdiByaH
ap,11692,kal,kalayati sa kaTaM te pASamudbanDanAya
ap,11819.002,kaSyapaH,kaSyapastasya putro'BUta kaSyapAnAt sa kaSyapaH .
