dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,all,M-nasal_m/Hi-s/Hf-s/G-degem,202928,1,17712,0.087283,17712,0.087283,60028,0.295809
mw,all,M-nasal_m/Hi-s/Hf-drop/G-keep,202928,1,17738,0.087411,17738,0.087411,60010,0.295721
mw,all,M-nasal_m/Hi-s/Hf-drop/G-degem,202928,1,17743,0.087435,17743,0.087435,60020,0.29577
mw,all,M-m/Hi-pos/Hf-slot/G-keep,202928,1,18127,0.089328,18127,0.089328,61299,0.302073
mw,all,M-m/Hi-pos/Hf-slot/G-degem,202928,1,18132,0.089352,18132,0.089352,61309,0.302122
mw,all,M-m/Hi-pos/Hf-s/G-keep,202928,1,18180,0.089589,18180,0.089589,61348,0.302314
mw,all,M-m/Hi-pos/Hf-s/G-degem,202928,1,18185,0.089614,18185,0.089614,61358,0.302363
mw,all,M-m/Hi-pos/Hf-drop/G-keep,202928,1,18134,0.089362,18134,0.089362,61310,0.302127
mw,all,M-m/Hi-pos/Hf-drop/G-degem,202928,1,18139,0.089387,18139,0.089387,61320,0.302176
mw,all,M-m/Hi-sib/Hf-slot/G-keep,202928,1,18203,0.089702,18203,0.089702,61677,0.303935
mw,all,M-m/Hi-sib/Hf-slot/G-degem,202928,1,18208,0.089727,18208,0.089727,61687,0.303985
mw,all,M-m/Hi-sib/Hf-s/G-keep,202928,1,18251,0.089939,18251,0.089939,61720,0.304147
mw,all,M-m/Hi-sib/Hf-s/G-degem,202928,1,18256,0.089963,18256,0.089963,61730,0.304197
mw,all,M-m/Hi-sib/Hf-drop/G-keep,202928,1,18210,0.089737,18210,0.089737,61688,0.30399
mw,all,M-m/Hi-sib/Hf-drop/G-degem,202928,1,18215,0.089761,18215,0.089761,61698,0.304039
mw,all,M-m/Hi-s/Hf-slot/G-keep,202928,1,18224,0.089806,18224,0.089806,61820,0.30464
mw,all,M-m/Hi-s/Hf-slot/G-degem,202928,1,18229,0.08983,18229,0.08983,61830,0.304689
mw,all,M-m/Hi-s/Hf-s/G-keep,202928,1,18200,0.089687,18200,0.089687,61835,0.304714
mw,all,M-m/Hi-s/Hf-s/G-degem,202928,1,18205,0.089712,18205,0.089712,61845,0.304763
mw,all,M-m/Hi-s/Hf-drop/G-keep,202928,1,18231,0.08984,18231,0.08984,61826,0.30467
mw,all,M-m/Hi-s/Hf-drop/G-degem,202928,1,18236,0.089865,18236,0.089865,61836,0.304719
mw,all,ascii,202928,22,78862,0.388623,78841,0.388559,185012,0.911713
mw,all,roman,202928,3905,68403,0.337082,64499,0.324078,108882,0.536555
mw,print,M-pos/Hi-pos/Hf-slot/G-keep,198568,1,16647,0.083836,16647,0.083836,56931,0.286708
mw,print,M-pos/Hi-pos/Hf-slot/G-degem,198568,1,16652,0.083861,16652,0.083861,56941,0.286758
mw,print,M-pos/Hi-pos/Hf-s/G-keep,198568,1,16703,0.084118,16703,0.084118,56979,0.28695
mw,print,M-pos/Hi-pos/Hf-s/G-degem,198568,1,16708,0.084143,16708,0.084143,56989,0.287
mw,print,M-pos/Hi-pos/Hf-drop/G-keep,198568,1,16657,0.083886,16657,0.083886,56944,0.286773
mw,print,M-pos/Hi-pos/Hf-drop/G-degem,198568,1,16662,0.083911,16662,0.083911,56954,0.286824
mw,print,M-pos/Hi-sib/Hf-slot/G-keep,198568,1,16725,0.084228,16725,0.084228,57309,0.288611
mw,print,M-pos/Hi-sib/Hf-slot/G-degem,198568,1,16730,0.084254,16730,0.084254,57319,0.288662
mw,print,M-pos/Hi-sib/Hf-s/G-keep,198568,1,16776,0.084485,16776,0.084485,57351,0.288823
mw,print,M-pos/Hi-sib/Hf-s/G-degem,198568,1,16781,0.084511,16781,0.084511,57361,0.288873
mw,print,M-pos/Hi-sib/Hf-drop/G-keep,198568,1,16735,0.084279,16735,0.084279,57322,0.288677
mw,print,M-pos/Hi-sib/Hf-drop/G-degem,198568,1,16740,0.084304,16740,0.084304,57332,0.288727
mw,print,M-pos/Hi-s/Hf-slot/G-keep,198568,1,16750,0.084354,16750,0.084354,57445,0.289296
mw,print,M-pos/Hi-s/Hf-slot/G-degem,198568,1,16755,0.08438,16755,0.08438,57455,0.289347
mw,print,M-pos/Hi-s/Hf-s/G-keep,198568,1,16729,0.084249,16729,0.084249,57460,0.289372
mw,print,M-pos/Hi-s/Hf-s/G-degem,198568,1,16734,0.084274,16734,0.084274,57470,0.289422
mw,print,M-pos/Hi-s/Hf-drop/G-keep,198568,1,16760,0.084405,16760,0.084405,57453,0.289337
mw,print,M-pos/Hi-s/Hf-drop/G-degem,198568,1,16765,0.08443,16765,0.08443,57463,0.289387
mw,print,M-nasal/Hi-pos/Hf-slot/G-keep,198568,1,16151,0.081338,16151,0.081338,54837,0.276162
mw,print,M-nasal/Hi-pos/Hf-slot/G-degem,198568,1,16156,0.081363,16156,0.081363,54847,0.276213
