dict,field_key,field_order,kanda,varga,upavarga,amar_lemmas,covered_lemmas,coverage_pct,covered_examples,missing_examples
pwkvn,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,80,0.1187,nAka|amara|deva|Aditya|dEvata|rudra|yakza|ganDarva,svar|svarga|tridiva|tridaSAlaya|suraloka|dyo|div|trivizwapa
sch,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,193,0.2864,nAka|trivizwapa|amara|deva|tridaSa|suparvan|Aditeya|leKa,svar|svarga|tridiva|tridaSAlaya|suraloka|dyo|div|nirjaras
shs,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,576,0.8546,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|suparvan|fBava|barhirmuKa|gIrvARa|ganDarva|ditisuta|pUrvadeva
skd,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,94,0.1395,svar|deva|sura|devatA|vasu|gaRadevatA|yakza|rakza,svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div|trivizwapa
snp,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,10,0.0148,vEkuRWa|madana|aSoka|cUta|nIlotpala|vArAhI|umA|ramBA,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
stc,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,281,0.4169,svar|svarga|nAka|div|amara|deva|tridaSa|vibuDa,tridiva|tridaSAlaya|suraloka|dyo|trivizwapa|nirjaras|tridiveSa|divOkas
vcp,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,579,0.8591,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|fBava|amartya|apsaras|ganDarva|ditisuta|DarmarAja|viriYci
vei,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,71,0.1053,svar|nAka|div|vasu|yakza|piSAca|muni|gOtama,svarga|tridiva|tridaSAlaya|suraloka|dyo|trivizwapa|amara|nirjaras
wil,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,575,0.8531,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|suparvan|fBava|barhirmuKa|gIrvARa|ganDarva|pUrvadeva|sarvajYa
yat,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,573,0.8501,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|suparvan|fBava|barhirmuKa|gIrvARa|ganDarva|pUrvadeva|sarvajYa
abch,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
acc,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,3,0.1304,puzkara|ananta|Sakuna,dyo|div|aBra|vyoman|ambara|naBas|antarikza|gagana
acph,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
acsj,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
ae,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
ap,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,11,0.4783,dyo|div|vyoman|naBas|ananta|suravartman|viyat|vihAyas,aBra|puzkara|ambara|antarikza|gagana|Ka|vizRupada|AkASa
ap90,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,8,0.3478,dyo|div|vyoman|naBas|viyat|vihAyas|vihAyasa|nAka,aBra|puzkara|ambara|antarikza|gagana|ananta|suravartman|Ka
armh,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,16,0.6957,dyo|aBra|vyoman|puzkara|ambara|naBas|antarikza|gagana,div|suravartman|AkASa|vihAyasa|dyus|meGADvan|mahAbila
ben,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,14,0.6087,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|ananta|suravartman|vizRupada|vihAyasa|dyus|tArApaTa|meGADvan
bhs,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,5,0.2174,puzkara|ambara|antarikza|AkASa|Sakuna,dyo|div|aBra|vyoman|naBas|gagana|ananta|suravartman
bop,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,15,0.6522,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|suravartman|vizRupada|vihAyasa|dyus|tArApaTa|meGADvan|mahAbila
bor,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
bur,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,16,0.6957,dyo|div|aBra|vyoman|puzkara|ambara|antarikza|ananta,naBas|gagana|vizRupada|vihAyasa|dyus|meGADvan|mahAbila
cae,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,16,0.6957,div|aBra|vyoman|puzkara|ambara|naBas|antarikza|gagana,dyo|suravartman|viyat|vihAyasa|dyus|tArApaTa|meGADvan
ccs,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,15,0.6522,div|aBra|vyoman|puzkara|ambara|naBas|antarikza|ananta,dyo|gagana|suravartman|viyat|vihAyasa|dyus|tArApaTa|meGADvan
fri,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,13,0.5652,div|aBra|vyoman|puzkara|ambara|naBas|antarikza|ananta,dyo|gagana|suravartman|viyat|vizRupada|vihAyasa|dyus|tArApaTa
gra,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,13,0.5652,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|suravartman|viyat|vizRupada|AkASa|vihAyasa|dyus|tArApaTa
gst,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,2,0.0870,antarikza|ananta,dyo|div|aBra|vyoman|puzkara|ambara|naBas|gagana
ieg,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,12,0.5217,aBra|vyoman|puzkara|ambara|naBas|antarikza|gagana|ananta,dyo|div|suravartman|vihAyas|vihAyasa|nAka|dyus|tArApaTa
inm,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,8,0.3478,vyoman|puzkara|ananta|Ka|vizRupada|AkASa|nAka|Sakuna,dyo|div|aBra|ambara|naBas|antarikza|gagana|suravartman
krm,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,1,0.0435,aBra,dyo|div|vyoman|puzkara|ambara|naBas|antarikza|gagana
lan,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,11,0.4783,dyo|div|aBra|vyoman|ambara|naBas|antarikza|Ka,puzkara|gagana|ananta|suravartman|viyat|vizRupada|vihAyas|vihAyasa
lrv,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,21,0.9130,dyo|div|aBra|vyoman|puzkara|naBas|antarikza|gagana,ambara|dyus
mci,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,4,0.1739,puzkara|ananta|vizRupada|nAka,dyo|div|aBra|vyoman|ambara|naBas|antarikza|gagana
md,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,14,0.6087,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|suravartman|vizRupada|vihAyas|vihAyasa|dyus|tArApaTa|meGADvan
mw,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,23,1.0000,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,
mw72,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,18,0.7826,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,suravartman|vizRupada|tArApaTa|meGADvan|mahAbila
mwe,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
pe,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,5,0.2174,puzkara|ananta|Ka|vizRupada|Sakuna,dyo|div|aBra|vyoman|ambara|naBas|antarikza|gagana
pgn,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,1,0.0435,vizRupada,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
pui,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,6,0.2609,puzkara|antarikza|ananta|AkASa|nAka|Sakuna,dyo|div|aBra|vyoman|ambara|naBas|gagana|suravartman
pw,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,22,0.9565,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,meGADvan
pwg,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,21,0.9130,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|meGADvan
pwkvn,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,4,0.1739,ambara|antarikza|ananta|nAka,dyo|div|aBra|vyoman|puzkara|naBas|gagana|suravartman
sch,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,10,0.4348,aBra|vyoman|puzkara|ambara|antarikza|ananta|AkASa|nAka,dyo|div|naBas|gagana|suravartman|Ka|viyat|vizRupada
shs,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,20,0.8696,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|dyus|meGADvan
skd,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,3,0.1304,aBra|Ka|viyat,dyo|div|vyoman|puzkara|ambara|naBas|antarikza|gagana
snp,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,0,0.0000,,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza
stc,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,15,0.6522,div|aBra|vyoman|puzkara|ambara|naBas|antarikza|gagana,dyo|suravartman|vizRupada|vihAyasa|dyus|tArApaTa|meGADvan|mahAbila
vcp,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,19,0.8261,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,vihAyasa|dyus|meGADvan|mahAbila
vei,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,5,0.2174,div|puzkara|Ka|nAka|Sakuna,dyo|aBra|vyoman|ambara|naBas|antarikza|gagana|ananta
wil,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,19,0.8261,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|dyus|meGADvan|mahAbila
yat,praTamaM kARqam|vyomavargaH|,2,praTamaM kARqam,vyomavargaH,,23,19,0.8261,dyo|div|aBra|vyoman|puzkara|ambara|naBas|antarikza,gagana|dyus|meGADvan|mahAbila
abch,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,0,0.0000,,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
acc,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,59,0.1720,indra|kubera|ravi|Sukra|buDa|bfhaspati|puRqarIka|vAmana,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
acph,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,0,0.0000,,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
acsj,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,0,0.0000,,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
ae,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,0,0.0000,,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
ap,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,159,0.4636,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|dakziRA,avAcI|udagBava|pratyagBava|prAgBava|indra|pUrvadikpati|vahni|dakziRapUrvadikpati
ap90,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,105,0.3061,diS|kakuB|kAzWA|ASA|harit|prAcI|dakziRA|pratIcI,pUrvA|avAcI|avAgBava|udagBava|pratyagBava|prAgBava|indra|pUrvadikpati
armh,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,214,0.6239,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI,astA|paScimA|uttara|diSya|avAgBava|avAcIna|udagBava|pratyagBava
ben,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,185,0.5394,diS|kakuB|kAzWA|ASA|harit|dakziRA|uttara|pratIcIna,prAcI|pUrvA|avAcI|pratIcI|astA|paScimA|udIcI|diSya
bhs,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,68,0.1983,ASA|uttara|indra|nErfta|varuRa|marut|kubera|bfhaspati,diS|kakuB|kAzWA|harit|prAcI|pUrvA|avAcI|dakziRA
bop,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,166,0.4840,diS|kakuB|kAzWA|ASA|harit|prAcI|dakziRA|pratIcI,pUrvA|avAcI|astA|paScimA|diSya|avAgBava|avAcIna|udagBava
bor,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,0,0.0000,,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
bur,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,181,0.5277,diS|kakuB|kAzWA|ASA|pratIcI|udIcI|uttara|prAcIna,harit|prAcI|pUrvA|avAcI|dakziRA|astA|paScimA|diSya
cae,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,226,0.6589,diS|kakuB|kAzWA|ASA|harit|dakziRA|pratIcI|astA,prAcI|pUrvA|avAcI|paScimA|udIcI|avAgBava|udagBava|pratyagBava
ccs,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,213,0.6210,diS|kakuB|kAzWA|ASA|harit|dakziRA|pratIcI|astA,prAcI|pUrvA|avAcI|paScimA|avAgBava|udagBava|pratyagBava|prAgBava
fri,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,107,0.3120,diS|ASA|dakziRA|uttara|indra|vahni|nErfta|varuRa,kakuB|kAzWA|harit|prAcI|pUrvA|avAcI|pratIcI|astA
gra,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,103,0.3003,diS|kakuB|kAzWA|ASA|harit|dakziRA|uttara|pratIcIna,prAcI|pUrvA|avAcI|pratIcI|astA|paScimA|udIcI|diSya
gst,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,18,0.0525,aYjana|aYjanAvatI|apadiSam|aByantara|antarAla|antarDA|antarDi|apavAraRa,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
ieg,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,62,0.1808,diS|ASA|pUrvA|dakziRA|uttara|indra|vahni|ISa,kakuB|kAzWA|harit|prAcI|avAcI|pratIcI|astA|paScimA
inm,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,120,0.3499,diS|pUrvA|uttara|avAcIna|indra|vahni|pitfpati|nErfta,kakuB|kAzWA|ASA|harit|prAcI|avAcI|dakziRA|pratIcI
krm,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,12,0.0350,ISa|ravi|buDa|graha|aBra|varza|aNka|jIva,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
lan,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,95,0.2770,diS|kAzWA|ASA|harit|dakziRA|udIcI|uttara|pratIcIna,kakuB|prAcI|pUrvA|avAcI|pratIcI|astA|paScimA|diSya
lrv,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,279,0.8134,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI,pratyagBava|prAgBava|dakziRapUrvadikpati|dakziRadikpati|dakziRapaScimadikpati|paScimadikpati|paScimottaradikpati|uttaradikpati
mci,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,45,0.1312,diS|pUrvA|uttara|nErfta|varuRa|Sukra|svarBAnu|buDa,kakuB|kAzWA|ASA|harit|prAcI|avAcI|dakziRA|pratIcI
md,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,196,0.5714,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|dakziRA,avAcI|paScimA|avAgBava|udagBava|pratyagBava|pratIcIna|prAgBava|pUrvadikpati
mw,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,324,0.9446,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI,paScimA|avAgBava|pratyagBava|dakziRapUrvadikpati|dakziRadikpati|dakziRapaScimadikpati|uttaradikpati|uttarapUrvadikpati
mw72,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,196,0.5714,diS|kakuB|kAzWA|ASA|harit|dakziRA|pratIcI|astA,prAcI|pUrvA|avAcI|paScimA|udIcI|avAgBava|udagBava|pratyagBava
mwe,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,3,0.0087,indra|ravi|agastya,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
pe,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,87,0.2536,dakziRA|uttara|avAcIna|indra|vahni|nErfta|varuRa|marut,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
pgn,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,6,0.0175,kubera|maRqala|BAskara|praBAkara|virocana|piNgala,diS|kakuB|kAzWA|ASA|harit|prAcI|pUrvA|avAcI
pui,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,141,0.4111,kAzWA|dakziRA|udIcI|uttara|indra|vahni|nErfta|varuRa,diS|kakuB|ASA|harit|prAcI|pUrvA|avAcI|pratIcI
pw,praTamaM kARqam|digvargaH|,3,praTamaM kARqam,digvargaH,,343,287,0.8367,diS|kakuB|kAzWA|ASA|harit|dakziRA|pratIcI|astA,prAcI|pUrvA|avAcI|paScimA|avAgBava|pratyagBava|dakziRapUrvadikpati|dakziRadikpati
