lemma,raw_forms,genders,field_key,kanda,varga,upavarga,first_amar_L,first_eid,occurrences
giri,giri,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,417,971,1
grAvan,grAvan,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,417,971,2
acala,acala,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,417,971,1
SEla,SEla,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,417,971,1
Siloccaya,Siloccaya,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,417,971,1
lokAloka,lokAloka,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,418,972,1
cakravAla,cakravAla,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,418,972,1
trikUwa,trikUwa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,418,973,1
trikakud,trikakud,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,418,973,1
asta,asta,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,419,974,1
caramakzmABft,caramakzmABft,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,419,974,1
udaya,udaya,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,419,975,1
pUrvaparvata,pUrvaparvata,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,419,975,1
himavat,himavat,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,976,1
nizaDa,nizaDa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,977,1
vinDya,vinDya,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,978,1
mAlyavat,mAlyavat,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,979,1
pariyAtraka,pariyAtraka,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,980,1
ganDamAdana,ganDamAdana,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,981,1
hemakUwa,hemakUwa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,420,982,1
pAzARa,pAzARa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
prastara,prastara,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
upala,upala,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
aSman,aSman,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
SilA,SilA,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
dfzad,dfzad,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,421,983,1
kUwa,kUwa,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,984,1
SiKara,SiKara,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,984,1
SfNga,SfNga,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,984,1
prapAta,prapAta,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,985,1
atawa,atawa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,985,1
Bfgu,Bfgu,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,422,985,1
kawaka,kawaka,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,423,986,1
snu,snu,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,423,987,1
prasTa,prasTa,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,423,987,1
sAnu,sAnu,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,423,987,1
utsa,utsa,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,424,988,1
prasravaRa,prasravaRa,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,424,988,1
vAripravAha,vAripravAha,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,424,989,1
nirJara,nirJara,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,424,989,1
Jara,Jara,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,424,989,1
darI,darI,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,990,1
kandara,kandara,puMstrI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,990,1
devaKAta,devaKAta,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,991,1
bila,bila,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,991,1
guhA,guhA,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,991,1
gahvara,gahvara,klI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,991,1
gaRqaSEla,gaRqaSEla,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,425,992,1
dantaka,dantaka,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,426,993,1
Kani,Kani,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,427,994,1
Akara,Akara,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,427,994,1
pAda,pAda,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,427,995,1
pratyantaparvata,pratyantaparvata,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,427,995,1
upatyakA,upatyakA,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,428,996,1
aDityakA,aDityakA,strI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,428,997,1
DAtu,DAtu,puM,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,429,998,1
gErika,gErika,tri,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,429,999,1
nikuYja,nikuYja,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,430,1000,1
kuYja,kuYja,puMklI,dvitIyaM kARqam|SElavargaH|,dvitIyaM kARqam,SElavargaH,,430,1000,1
awavI,awavI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
araRya,araRya,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
vipina,vipina,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
gahana,gahana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
kAnana,kAnana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
vana,vana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,431,1001,1
mahAraRya,mahAraRya,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,432,1002,1
araRyAnI,araRyAnI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,432,1002,1
gfhArAma,gfhArAma,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,432,1003,1
nizkuwa,nizkuwa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,432,1003,1
ArAma,ArAma,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,433,1004,1
upavana,upavana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,433,1004,1
vfkzavAwikA,vfkzavAwikA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,434,1005,1
AkrIqa,AkrIqa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,435,1006,1
udyAna,udyAna,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,435,1006,1
pramadavana,pramadavana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,436,1007,1
vITi,vITi,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1008,1
Ali,Ali,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1008,1
Avali,Avali,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1008,1
paNkti,paNkti,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1008,1
SreRI,SreRI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1008,1
leKA,leKA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,437,1009,1
vanyA,vanyA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,438,1010,1
aNkura,aNkura,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,438,1011,1
aBinavodBid,aBinavodBid,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,438,1011,1
vfkza,vfkza,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
mahIruha,mahIruha,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
SAKin,SAKin,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
viwapin,viwapin,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
pAdapa,pAdapa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
taru,taru,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
anokaha,anokaha,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
kuwa,kuwa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
SAla,SAla,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
palASin,palASin,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
dru,dru,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
druma,druma,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
agama,agama,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,439,1012,1
vAnaspatya,vAnaspatya,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,440,1013,1
vanaspati,vanaspati,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,440,1014,1
ozaDi,ozaDi,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,441,1015,1
avanDya,avanDya,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,441,1016,1
Palegrahi,Palegrahi,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,441,1016,1
vanDya,vanDya,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1017,1
aPala,aPala,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1017,1
avakeSin,avakeSin,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1017,1
Palavat,Palavat,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1018,1
Palina,Palina,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1018,1
Palin,Palin,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,442,1018,1
praPulla,praPulla,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
utPulla,utPulla,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
samPulla,samPulla,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
vyAkoSa,vyAkoSa,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
vikaca,vikaca,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
sPuwa,sPuwa,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
Pulla,Pulla,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
vikasita,vikasita,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,443,1019,1
sTARu,sTARu,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,444,1020,1
Druva,Druva,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,444,1020,1
SaNku,SaNku,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,444,1020,1
kzupa,kzupa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,444,1021,1
stamba,stamba,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,445,1022,1
gulma,gulma,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,445,1022,1
vallI,vallI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,445,1023,1
vratati,vratati,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,445,1023,1
latA,latA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,445,1023,6
pratAninI,pratAninI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,446,1024,1
vIruD,vIruD,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,446,1024,1
gulminI,gulminI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,446,1024,1
ulapa,ulapa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,446,1024,1
ucCrAya,ucCrAya,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,447,1025,1
utseDa,utseDa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,447,1025,1
ucCraya,ucCraya,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,447,1025,1
prakARqa,prakARqa,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,448,1026,1
skanDa,skanDa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,448,1026,1
SAKA,SAKA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,449,1027,1
skanDaSAKA,skanDaSAKA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,449,1028,1
SAlA,SAlA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,449,1028,1
SiPA,SiPA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,449,1029,1
jawA,jawA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,449,1029,2
avaroha,avaroha,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,450,1030,1
Siras,Siras,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1031,1
agra,agra,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1031,1
SiKara,SiKara,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1031,1
mUla,mUla,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1032,1
buDna,buDna,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1032,1
aNGrinAmaka,aNGrinAmaka,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,451,1032,1
sAra,sAra,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1033,1
majjan,majjan,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1033,1
nari,nari,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1033,1
tvac,tvac,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1034,1
valka,valka,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1034,1
valkala,valkala,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,452,1034,1
kAzWa,kAzWa,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1035,1
dAru,dAru,klI|puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1035,2
inDana,inDana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1036,1
eDa,eDa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1036,2
iDma,iDma,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1036,1
samit,samit,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,453,1037,1
nizkuha,nizkuha,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,454,1038,1
kowara,kowara,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,454,1038,1
vallari,vallari,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,454,1039,1
maYjari,maYjari,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,454,1039,1
patra,patra,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,1
palASa,palASa,klI|puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,3
Cadana,Cadana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,1
dala,dala,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,1
parRa,parRa,klI|puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,2
Cada,Cada,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,455,1040,1
pallava,pallava,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,456,1041,1
kisalaya,kisalaya,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,456,1041,1
vistAra,vistAra,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,456,1042,1
viwapa,viwapa,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,456,1042,1
Pala,Pala,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,457,1043,1
sasya,sasya,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,457,1043,1
vfnta,vfnta,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,457,1044,1
prasavabanDana,prasavabanDana,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,457,1044,1
SalAwu,SalAwu,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,458,1045,1
vAna,vAna,tri,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,458,1046,1
kzAraka,kzAraka,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,459,1047,1
jAlaka,jAlaka,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,459,1047,1
kalikA,kalikA,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,459,1048,1
koraka,koraka,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,459,1048,1
gucCaka,gucCaka,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,460,1049,1
stabaka,stabaka,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,460,1049,1
kuwmala,kuwmala,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,460,1050,1
mukula,mukula,puMklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,460,1050,1
sumanas,sumanas,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,461,1051,2
puzpa,puzpa,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,461,1051,1
prasUna,prasUna,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,461,1051,1
kusuma,kusuma,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,461,1051,1
suma,suma,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,461,1051,1
makaranda,makaranda,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,462,1052,1
puzparasa,puzparasa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,462,1052,1
parAga,parAga,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,462,1053,1
sumanoraja,sumanoraja,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,462,1053,1
harItakI,harItakI,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,463,1054,2
ASvatTa,ASvatTa,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,464,1055,1
vERava,vERava,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,464,1056,1
plAkza,plAkza,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,464,1057,1
nEyagroDa,nEyagroDa,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,464,1058,1
ENguda,ENguda,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,464,1059,1
bArhata,bArhata,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,465,1060,1
jambU,jambU,strI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,465,1061,1
jambu,jambu,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,465,1061,1
jAmbava,jAmbava,klI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,465,1061,1
pAwalA,pAwalA,strI|strIklI,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,466,1062,2
boDidruma,boDidruma,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,467,1063,1
caladala,caladala,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,467,1063,1
pippala,pippala,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,467,1063,1
kuYjarASana,kuYjarASana,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,467,1063,1
aSvatTa,aSvatTa,puM,dvitIyaM kARqam|vanOzaDivargaH|,dvitIyaM kARqam,vanOzaDivargaH,,467,1063,1
