canonical_text	total_cites	n_dicts	variant_forms
MUṆḌAMĀLĀTANTRA	3	1	MUṆḌAMĀLĀTANTRA
VĀRĀHAPURĀṆA	3	1	VĀRĀHAPURĀṆA
GAṆEŚAPURĀṆA	3	1	GAṆEŚAPURĀṆA
KAṬHINĀVADĀNA	3	1	KAṬHINĀVADĀNA
PĀRŚVANĀTHAKĀVYA	3	1	PĀRŚVANĀTHAKĀVYA
Vāgbhaṭa	2	2	Vāgbhaṭa
Vyavahāramayūkha	2	2	Vyavahāramayūkha
Devībhāgavata	2	1	Devībhāgavata
Subhāṣitaratnākara	2	1	Subhāṣitaratnākara
Ānandalaharī	2	1	Ānandalaharī
Sāṅkhya Sūtras	2	1	Sāṅkhya Sūtras
Vārtika	2	1	Vārtika
Apabhraṃśa; Apadāna	2	1	Apabhraṃśa; Apadāna
Buddha-vaṃsa	2	1	Buddha-vaṃsa
Bhavisattakahā	2	1	Bhavisattakahā
Māhārāṣṭrī	2	1	Māhārāṣṭrī
Harvard Oriental Series	2	1	Harvard Oriental Series
Patanjali’s Yogasūtra	2	1	Patanjali’s Yogasūtra
Vājasaneyisanhitā	2	1	Vājasaneyisanhitā
Sarvadarśanasangraha	2	1	Sarvadarśanasangraha
Pārvatīpariṇaya	2	1	Pārvatīpariṇaya
Chandrāloka	2	1	Chandrāloka
KĀṆḌŪPĀKHYĀNA in LA	2	1	KĀṆḌŪPĀKHYĀNA in LA
ĀNADAGIRI	2	1	ĀNADAGIRI
AVYAYĀNEKĀRTHAVARGA am Ende des MEDINIKOŚA	2	1	AVYAYĀNEKĀRTHAVARGA am Ende des MEDINIKOŚA
NĀRĀYAṆABHAṬṬA'S PRAYOGARATNA	2	1	NĀRĀYAṆABHAṬṬA'S PRAYOGARATNA
Select Works of H	2	1	Select Works of H
ĀNANDALAHARI in HAEBELIN's Anthologie	2	1	ĀNANDALAHARI in HAEBELIN's Anthologie
NIRṆAYASINDHU	2	1	NIRṆAYASINDHU
Ueber zwei Parteischriften zu Gunsten der MAGA	2	1	Ueber zwei Parteischriften zu Gunsten der MAGA
Cat	2	1	Cat
RĀMAPŪRVATĀPANIYOPANISHAD	2	1	RĀMAPŪRVATĀPANIYOPANISHAD
BṚHANMANU	2	1	BṚHANMANU
CANTOR	2	1	CANTOR
ĀNANDAVALLĪ	2	1	ĀNANDAVALLĪ
DVIVEDAGAṄGA	2	1	DVIVEDAGAṄGA
DHYĀNAVINDŪPANIṢAD	2	1	DHYĀNAVINDŪPANIṢAD
SARVOPANIṢATSĀRA	2	1	SARVOPANIṢATSĀRA
MAHOPANIṢAD	2	1	MAHOPANIṢAD
TEJOVINDŪPANIṢAD	2	1	TEJOVINDŪPANIṢAD
id	2	1	id
KUNTĀPA	2	1	KUNTĀPA
Hortus bengalensis	2	1	Hortus bengalensis
AMṚTAVINDŪPANIṢAD	2	1	AMṚTAVINDŪPANIṢAD
ANNAM̃BHAṬṬA	2	1	ANNAM̃BHAṬṬA
ADBHUTASĀRA	2	1	ADBHUTASĀRA
GOTAMA'S SŪTRĀṆI	2	1	GOTAMA'S SŪTRĀṆI
ANUKRAMANIKĀ der TS	2	1	ANUKRAMANIKĀ der TS
Asiatick Researches	2	1	Asiatick Researches
SMARADĪPIKĀ	2	1	SMARADĪPIKĀ
SUKHABODHA	2	1	SUKHABODHA
SAṂSKĀRATATTVA	2	1	SAṂSKĀRATATTVA
VIDAGDHAMUKHAMAṆḌANA	2	1	VIDAGDHAMUKHAMAṆḌANA
ĀRYAPRAJÑĀPĀRAMITĀRATNAGUṆASAM̃CAYAGĀTHĀ	2	1	ĀRYAPRAJÑĀPĀRAMITĀRATNAGUṆASAM̃CAYAGĀTHĀ
JAIMINIBHĀRATA	2	1	JAIMINIBHĀRATA
PAÑCAVIṂŚABRĀHMAṆA [Cologne addition]	2	1	PAÑCAVIṂŚABRĀHMAṆA [Cologne addition]
MADANAPĀLA	2	1	MADANAPĀLA
WILKINS	2	1	WILKINS
Vaiśeṣikasūtras	1	1	Vaiśeṣikasūtras
Harṣacarita	1	1	Harṣacarita
Bījagaṇita	1	1	Bījagaṇita
Upakośa	1	1	Upakośa
Nyāya-Sūtrāṇi of Gotama	1	1	Nyāya-Sūtrāṇi of Gotama
Śārṅgadhara-Paddhati	1	1	Śārṅgadhara-Paddhati
Rāghavānanda	1	1	Rāghavānanda
Göttinger Gelehrte Anzeigen	1	1	Göttinger Gelehrte Anzeigen
Jaiminīya Brāhmaṇa	1	1	Jaiminīya Brāhmaṇa
Daśabalasūtra	1	1	Daśabalasūtra
Epic	1	1	Epic
Gobhila Gṛhya Sūtra	1	1	Gobhila Gṛhya Sūtra
Yāskaʼs Nirukta	1	1	Yāskaʼs Nirukta
Indian Historical Quarterly	1	1	Indian Historical Quarterly
Varāhamihira	1	1	Varāhamihira
Speyer	1	1	Speyer
Language	1	1	Language
Atharvaveda Pariśiṣṭa	1	1	Atharvaveda Pariśiṣṭa
Abhidhammatthasaṃgaha	1	1	Abhidhammatthasaṃgaha
Journal of the Royal Asiatic Society	1	1	Journal of the Royal Asiatic Society
Tocharian	1	1	Tocharian
Caraka	1	1	Caraka
Apastamba Śrauta Sūtra	1	1	Apastamba Śrauta Sūtra
Bulletin of the School of Oriental	1	1	Bulletin of the School of Oriental
Kleinere Sanskrit Texte	1	1	Kleinere Sanskrit Texte
Edgerton	1	1	Edgerton
New Indian Antiquary	1	1	New Indian Antiquary
Chaṇḍakauśika	1	1	Chaṇḍakauśika
Jaiminīyanyāyaratnamālā	1	1	Jaiminīyanyāyaratnamālā
Sānkhyasūtra	1	1	Sānkhyasūtra
Chātakāshṭaka	1	1	Chātakāshṭaka
Bṛihadāraṇyaka	1	1	Bṛihadāraṇyaka
Utpalamālā	1	1	Utpalamālā
Sudhālaharī	1	1	Sudhālaharī
Chhāndogyopanishad	1	1	Chhāndogyopanishad
Prāṇābharaṇa	1	1	Prāṇābharaṇa
Mahishaśataka	1	1	Mahishaśataka
VAIDYABHĀSHYA	1	1	VAIDYABHĀSHYA
Flora indica or description of Indian Plants	1	1	Flora indica or description of Indian Plants
MĀNAVAKALPASŪTRA	1	1	MĀNAVAKALPASŪTRA
Proceedings of the Asiatic Society of Bengal	1	1	Proceedings of the Asiatic Society of Bengal
ĀRAṆYAKA zum SV	1	1	ĀRAṆYAKA zum SV
ĀTMOPANISHAD	1	1	ĀTMOPANISHAD
PIṆḌOPANISHAD	1	1	PIṆḌOPANISHAD
MĀDHAVA'S KĀLANIRṆAYA	1	1	MĀDHAVA'S KĀLANIRṆAYA
KĀTYĀYANA'S DHARMAŚĀSTRA	1	1	KĀTYĀYANA'S DHARMAŚĀSTRA
Beiträge zur Kunde der indogermanischen Sprachen	1	1	Beiträge zur Kunde der indogermanischen Sprachen
HANUMADUKTARĀMOPANISHAD	1	1	HANUMADUKTARĀMOPANISHAD
ŚĀNTIŚATŚATAKA in HAEBERLIN'S Anthologie	1	1	ŚĀNTIŚATŚATAKA in HAEBERLIN'S Anthologie
LANGLOIS' Uebersetzung des Harivam~śa	1	1	LANGLOIS' Uebersetzung des Harivam~śa
A legend from the TALAVAKĀRA or YAIMINIYA BRĀHMAṆA of the SĀMAVEDA by A	1	1	A legend from the TALAVAKĀRA or YAIMINIYA BRĀHMAṆA of the SĀMAVEDA by A
WILSON	1	1	WILSON
GĀRUḌOPANISHAD	1	1	GĀRUḌOPANISHAD
LASSEN'S Indische Alterthunmskunde	1	1	LASSEN'S Indische Alterthunmskunde
SOMAKARMAPRADIPA des RĀMA	1	1	SOMAKARMAPRADIPA des RĀMA
HAEBERLIN'S Anthology	1	1	HAEBERLIN'S Anthology
PIṆḌAPITṚYAYNA	1	1	PIṆḌAPITṚYAYNA
KAṆṬHAŚRUTYUPANISHAD	1	1	KAṆṬHAŚRUTYUPANISHAD
Monatsbericht der Königlich Preussischen Akademie der Wissenschaften zu Berlin	1	1	Monatsbericht der Königlich Preussischen Akademie der Wissenschaften zu Berlin
KĀLIDĀSA'S VIKRAMORVAŚIYAM	1	1	KĀLIDĀSA'S VIKRAMORVAŚIYAM
VEDAPURĀṆA	1	1	VEDAPURĀṆA
CATURBHUJA	1	1	CATURBHUJA
BRAHMOPANIṢAD	1	1	BRAHMOPANIṢAD
Jacob Grimm	1	1	Jacob Grimm
NĀNĀRTHAKOṢA	1	1	NĀNĀRTHAKOṢA
ANUPADASŪTRA	1	1	ANUPADASŪTRA
NIDĀNASŪTRA	1	1	NIDĀNASŪTRA
KOSEGARTEN	1	1	KOSEGARTEN
DATTAKAMĪMĀM̃SĀ	1	1	DATTAKAMĪMĀM̃SĀ
RĀMATARKAVĀGĪŚA	1	1	RĀMATARKAVĀGĪŚA
VYUTP	1	1	VYUTP
SADDHARMALAṄKĀVATĀRA	1	1	SADDHARMALAṄKĀVATĀRA
Name of the author of a commentary on the uṇādi-sūtras	1	1	Name of the author of a commentary on the uṇādi-sūtras
ANEKĀRTHADHVANIMAÑJARĪ	1	1	ANEKĀRTHADHVANIMAÑJARĪ
PATAÑJALI'S YOGAŚĀSTRA	1	1	PATAÑJALI'S YOGAŚĀSTRA
ŚRĪDHARASVĀMIN	1	1	ŚRĪDHARASVĀMIN
SĀMAVEDA padapĀṭha	1	1	SĀMAVEDA padapĀṭha
Tibetische Lebensbeschreibung Śākyamuni's	1	1	Tibetische Lebensbeschreibung Śākyamuni's
ŚRĀDDHAVIVEKA	1	1	ŚRĀDDHAVIVEKA
LALITAMĀDHAVA	1	1	LALITAMĀDHAVA
VIVĀDĀRṆAVASETU	1	1	VIVĀDĀRṆAVASETU
PATHYĀPATHYAVIVEKA	1	1	PATHYĀPATHYAVIVEKA
Bernard Germain de Lacépède	1	1	Bernard Germain de Lacépède
KṢURIKOPANIṢAD	1	1	KṢURIKOPANIṢAD
Lithuanian Grammar	1	1	Lithuanian Grammar
Chefs-d'oeuvre du théatre indien	1	1	Chefs-d'oeuvre du théatre indien
RĀMĀYAṆA Śrīr	1	1	RĀMĀYAṆA Śrīr
DURGĀRCĀTATTVA	1	1	DURGĀRCĀTATTVA
MĀYĀTANTRA	1	1	MĀYĀTANTRA
Ѳ	1	1	Ѳ
BUDDHOKTASAM̃SĀRĀMAYA	1	1	BUDDHOKTASAM̃SĀRĀMAYA
VAJRĀSANASĀDHANAMĀLĀ	1	1	VAJRĀSANASĀDHANAMĀLĀ
KALPADRUMĀVADĀNA	1	1	KALPADRUMĀVADĀNA
KRIYĀSAMUCCAYA	1	1	KRIYĀSAMUCCAYA
xs	1	1	xs
RATNĀVADĀNAMĀLĀ	1	1	RATNĀVADĀNAMĀLĀ
= VARĀH	1	1	= VARĀH
Grundzüge der griechischen etymologie	1	1	Grundzüge der griechischen etymologie
KULLŪKABHAṬṬA	1	1	KULLŪKABHAṬṬA
GADĀDHARA=	1	1	GADĀDHARA=
VṚDDHABṚHASPATI	1	1	VṚDDHABṚHASPATI
NĀNĀRTHARATNAM	1	1	NĀNĀRTHARATNAM
TROYER	1	1	TROYER
ŚABDAKAUSTUBHA	1	1	ŚABDAKAUSTUBHA
VAṂŚABRĀHMAṆA	1	1	VAṂŚABRĀHMAṆA
BHAVADEVA BHAṬṬA	1	1	BHAVADEVA BHAṬṬA
Golādhyāya part of Siddhānta Śiromaṇi	1	1	Golādhyāya part of Siddhānta Śiromaṇi
VIŚVALOCANA=	1	1	VIŚVALOCANA=
И	1	1	И
BṚHADDHARMAPURĀṆA [Cologne addition]	1	1	BṚHADDHARMAPURĀṆA [Cologne addition]
MADANAVINODA	1	1	MADANAVINODA
Hortus suburbanus Calcuttensis	1	1	Hortus suburbanus Calcuttensis
Indische streifen	1	1	Indische streifen
AMṚTANĀDOPANIṢAD	1	1	AMṚTANĀDOPANIṢAD
Variante	1	1	Variante
