headword_slp1,cited_verse,category,delta,n_loci
guqa,9212,corroborated,0,1
guqa,9213,corroborated,-1,1
maDyasTatA,9219,corroborated,0,1
SESira,9242,corroborated,0,1
nErmalya,9246,corroborated,0,1
nyasya,9246,corroborated,0,4
prayoktar,9284,corroborated,2,1
nirjaya,9286,corroborated,2,3
nivartana,9296,corroborated,2,6
nivartana,9296,corroborated,2,6
mAlava,9400,corroborated,3,5
sudarSana,9400,corroborated,3,12
Gaww,9401,corroborated,3,1
padmayoni,9427,corroborated,3,2
cekitAna,9453,corroborated,3,7
durdfSa,9454,corroborated,3,2
durvAraRa,9454,corroborated,3,3
gadin,9455,corroborated,3,2
musalin,9455,corroborated,3,1
pEtra,9466,corroborated,0,1
vEttapAlya,9466,corroborated,0,1
sOmya,9466,corroborated,0,6
svAdya,9466,corroborated,1,1
gopa,9467,corroborated,2,6
Bavya,9468,corroborated,2,4
viyoni,9475,corroborated,0,1
trAsa,9476,corroborated,0,15
nara,9479,corroborated,0,105
Bavamaya,9482,corroborated,0,1
yazwavya,9488,corroborated,0,1
Bava,9489,corroborated,-3,157
pratyavahAra,9492,corroborated,0,1
SiKin,9504,corroborated,-2,1
jagadyoni,9506,corroborated,-2,1
jayin,9506,corroborated,-2,1
Bava,9507,corroborated,0,157
vEkfta,9512,corroborated,-1,2
SitikaRWa,9520,corroborated,0,1
BArgava,9527,corroborated,-1,2
BArgava,9527,corroborated,-1,2
Danus,9536,corroborated,0,40
Danva,9536,corroborated,-1,23
Danvin,9537,corroborated,-2,26
BagaGna,9538,corroborated,0,1
tArakAkza,9556,corroborated,0,1
vidyunmAlin,9557,corroborated,-1,1
puzpadanta,9564,corroborated,0,1
pragraha,9567,corroborated,-1,1
tripura,9570,corroborated,0,3
paYcaSiKa,9575,corroborated,0,1
saMvatsara,9596,corroborated,-1,1
vaqavAmuKa,9608,corroborated,-1,1
vIrasTAna,9609,corroborated,-1,1
sarva,9620,corroborated,-1,535
rUpa,9621,corroborated,-3,17
Siva,9622,corroborated,0,17
Siva,9622,corroborated,0,17
tryambaka,9624,corroborated,-3,8
sTita,9625,corroborated,-1,72
vfzAkapi,9627,corroborated,0,1
tryakza,9629,corroborated,0,3
Satarudriya,9639,corroborated,0,3
SatarudrIya,9642,corroborated,0,3
pArSvasTa,9644,corroborated,0,2
bala,1,displaced,23,133
BIzaRa,8,displaced,7072,1
mArga,11,displaced,1908,9
nEzAdi,12,displaced,8201,1
tAra,13,displaced,376,14
vart,21,displaced,45,20
yUTapa,27,displaced,286,7
Suzka,27,displaced,3030,3
SaraBa,28,displaced,521,9
siMha,28,displaced,527,25
vizvagvAta,29,displaced,1815,2
BUyizWa,30,displaced,1029,3
mAnasa,30,displaced,17,48
smar,43,displaced,-13,13
durvAra,45,displaced,4289,1
Svas,47,displaced,2434,27
saPala,51,displaced,2735,3
praverita,66,displaced,7333,1
banD,74,displaced,180,7
BAsa,74,displaced,42,20
BAga,75,displaced,-5,28
nAla,75,displaced,1389,6
jAla,76,displaced,504,21
banD,76,displaced,178,7
jEtra,76,displaced,2914,1
BARqa,77,displaced,2703,1
vart,78,displaced,-12,20
saYj,79,displaced,6,327
banD,80,displaced,174,7
Bakti,84,displaced,4642,4
samUha,89,displaced,4880,2
gADa,91,displaced,3236,4
apAra,91,displaced,1191,6
tras,103,displaced,5,15
Cid,139,displaced,6074,1
sparDin,149,displaced,3196,4
trEyambaka,169,displaced,2609,1
pAvaki,173,displaced,-10,4
nart,177,displaced,2019,3
viSoka,187,displaced,2531,6
Sakawa,192,displaced,2482,3
yuD,194,displaced,-5,133
paTa,195,displaced,-175,7
BUta,197,displaced,-69,67
bala,203,displaced,11,133
bala,203,displaced,11,133
Bakz,205,displaced,1970,2
KAd,205,displaced,352,34
pucCa,206,displaced,597,1
gfDra,210,displaced,-6,7
yAjYaseni,216,displaced,322,9
Kacara,222,displaced,6639,1
rakz,230,displaced,43,106
sadAgati,231,displaced,-4,1
vivara,236,displaced,1150,7
maT,247,displaced,6389,1
rukmaraTa,256,displaced,-5,15
saMGAta,263,displaced,1232,3
SvAsa,278,displaced,2203,27
pragraha,285,displaced,9281,1
cakzus,315,displaced,-89,7
tumula,320,displaced,26,35
banDura,322,displaced,1412,1
vyaT,335,displaced,-115,25
durvAra,344,displaced,3990,1
sinDu,356,displaced,2319,2
raB,363,displaced,3847,1
nirargala,370,displaced,1862,1
Dur,373,displaced,4855,3
Boja,388,displaced,-51,15
nara,422,displaced,-36,105
pakva,429,displaced,4502,2
pAraRIya,433,displaced,8484,1
bAliSa,462,displaced,8704,1
sTAna,464,displaced,1583,12
rava,466,displaced,-261,8
rava,466,displaced,-261,8
siMhanAda,466,displaced,9,33
sAntara,469,displaced,-5,5
antara,470,displaced,878,2
pratIpa,473,displaced,-5,7
sahya,476,displaced,-6,4
sAhya,476,displaced,-6,4
niScala,478,displaced,-6,1
viSAtana,485,displaced,2478,1
stim,487,displaced,-6,1
svap,487,displaced,2030,5
sarvatas,490,displaced,4014,2
sarvatodiSam,490,displaced,-6,3
GarmAMSu,491,displaced,7062,1
vart,502,displaced,-436,20
saMpAta,503,displaced,852,7
saMGawwa,506,displaced,8078,1
tawa,507,displaced,-12,485
rAji,510,displaced,6279,1
haMsa,510,displaced,899,5
niyantar,516,displaced,1110,1
SarAsana,522,displaced,782,14
vimarda,543,displaced,5146,2
saMDay,549,displaced,3883,3
carman,559,displaced,-8,3
ruD,559,displaced,-71,1
nipAta,563,displaced,-37,24
nidarSana,564,displaced,4602,1
jvAla,598,displaced,1642,8
saMhrAda,605,displaced,2517,1
Dar,619,displaced,-189,56
patatrin,632,displaced,-387,1
BAs,633,displaced,-473,20
vratin,643,displaced,2116,1
vyAGradatta,650,displaced,5,1
tala,654,displaced,2505,4
vapu,661,displaced,1267,5
prabAla,672,displaced,2825,1
susAra,672,displaced,19,7
SaNk,676,displaced,-150,37
yoga,677,displaced,117,5
sTA,682,displaced,833,22
smar,685,displaced,-212,13
trigarta,688,displaced,-290,4
SapaTa,690,displaced,53,2
mAvellaka,692,displaced,2562,1
lalitTa,692,displaced,921,2
SapaTa,693,displaced,50,2
tanutrARa,695,displaced,920,1
mOrva,695,displaced,2208,2
Dar,700,displaced,109,56
parityaj,706,displaced,-135,9
grahaRa,715,displaced,-251,8
saMSaptaka,722,displaced,-6,8
devaka,726,displaced,5307,3
roditavya,726,displaced,-6,1
staB,731,displaced,173,4
staB,731,displaced,173,4
saYj,739,displaced,14,327
hastAvApa,740,displaced,-6,6
vAsavi,745,displaced,464,13
nArAyaRa,752,displaced,-6,16
nand,756,displaced,1336,2
banD,762,displaced,250,7
tvAzwra,763,displaced,2700,4
pratirUpa,764,displaced,723,1
mAvellaka,768,displaced,2486,1
lalitTa,768,displaced,845,2
viSakala,780,displaced,2549,2
vyaD,784,displaced,1328,4
bIBatsa,787,displaced,-118,23
jiGfkzA,794,displaced,62,2
BUriSravas,800,displaced,3123,10
yAja,804,displaced,1293,3
nart,806,displaced,1390,3
prapakza,807,displaced,-625,2
sabala,827,displaced,2803,3
Sabala,827,displaced,2803,3
mahAmAtra,837,displaced,6,4
darS,860,displaced,921,9
miSra,887,displaced,1599,6
viBIzaRa,892,displaced,7010,3
plava,894,displaced,33,5
vaha,895,displaced,55,30
srota,895,displaced,-803,3
vasana,896,displaced,1449,2
sarIsfpa,896,displaced,429,2
vfkza,897,displaced,-298,3
saMGawwa,898,displaced,7686,1
trAtar,908,displaced,1779,3
dfQaDanvin,930,displaced,2708,4
GUrR,932,displaced,426,1
ruD,933,displaced,-445,1
pariprepsu,954,displaced,-6,1
tvar,955,displaced,278,41
mallikAkza,955,displaced,-6,2
SEKaRqi,955,displaced,-6,2
kzatradeva,955,displaced,-45,4
vAla,959,displaced,-323,1
pAwala,964,displaced,-935,1
Sabala,971,displaced,2659,3
Sabala,972,displaced,2658,3
bAlhi,973,displaced,-6,12
mallikAkza,973,displaced,-6,2
mAza,978,displaced,338,1
saMkranda,979,displaced,6777,2
sutasoma,979,displaced,-8,3
soma,979,displaced,48,27
SAla,980,displaced,-35,16
prezyakara,986,displaced,-7,2
brAhma,988,displaced,-6,47
savarRa,995,displaced,1340,1
SaSa,997,displaced,116,36
mAza,999,displaced,317,1
citrAyuDa,1003,displaced,4,1
sAmudra,1007,displaced,-4,12
rAji,1009,displaced,5780,1
SUra,1010,displaced,-14,173
raTavAha,1012,displaced,2615,2
SvetARqa,1015,displaced,-4,1
jAtarUpamaya,1029,displaced,-4,1
nanda,1032,displaced,1060,2
rAjata,1034,displaced,-4,11
giriSa,1041,displaced,8483,1
yAmya,1041,displaced,-4,2
pawa,1044,displaced,73,49
svayaMvara,1045,displaced,-4,4
vart,1046,displaced,405,20
vart,1046,displaced,405,20
jawila,1048,displaced,-4,5
BUyaMs,1053,displaced,8548,1
sTA,1072,displaced,443,22
sita,1078,displaced,11,43
cEtraseni,1091,displaced,-175,1
drORi,1093,displaced,317,58
SUra,1097,displaced,-21,173
nAla,1105,displaced,359,6
lohitaka,1105,displaced,-85,8
Bedin,1113,displaced,2049,1
maRimant,1116,displaced,1727,1
plava,1121,displaced,-194,5
grAmaRI,1125,displaced,6734,1
Sambara,1125,displaced,2842,1
pratigaja,1155,displaced,44,3
samada,1162,displaced,361,14
vart,1164,displaced,287,20
vart,1164,displaced,287,20
Cid,1166,displaced,5047,1
maRqala,1172,displaced,-5,12
tras,1177,displaced,156,15
suvarcas,1179,displaced,-263,4
BUyaMs,1208,displaced,8393,1
dvEDIBAva,1211,displaced,438,2
BARqa,1217,displaced,1563,1
valgA,1217,displaced,-220,1
nalina,1221,displaced,1625,3
vana,1245,displaced,-361,12
vart,1254,displaced,197,20
paricAra,1261,displaced,-955,3
tomara,1262,displaced,-27,10
vart,1268,displaced,183,20
vart,1269,displaced,182,20
vyaT,1272,displaced,71,25
Baj,1279,displaced,-712,7
sTA,1282,displaced,233,22
tAqana,1299,displaced,1746,1
nalina,1299,displaced,1547,3
nAla,1299,displaced,165,6
palASa,1299,displaced,5,1
vfzaka,1303,displaced,7,2
vfzaka,1305,displaced,5,2
nidAGa,1311,displaced,4847,1
Sliz,1312,displaced,-145,4
guqa,1317,displaced,7895,1
nAlIka,1318,displaced,7244,2
citraka,1320,displaced,3583,1
sarIsfpa,1320,displaced,5,2
sAlAvfka,1320,displaced,5,2
sfmara,1320,displaced,1062,1
pravara,1323,displaced,5,29
prAyaSas,1327,displaced,95,1
dvEDIBU,1331,displaced,5,2
parvata,1331,displaced,5,52
sparS,1334,displaced,8133,1
bala,1342,displaced,90,133
dyUta,1350,displaced,1686,10
maT,1351,displaced,5285,1
maT,1351,displaced,5285,1
viparyAsa,1352,displaced,-928,2
staB,1358,displaced,-454,4
SlakzRa,1363,displaced,1676,2
vyaT,1370,displaced,-27,25
paYcASat,1377,displaced,-65,17
nala,1390,displaced,74,6
sTUla,1390,displaced,2690,3
vart,1391,displaced,60,20
vart,1392,displaced,59,20
saYj,1397,displaced,-24,327
parAmarSa,1399,displaced,2780,3
tras,1402,displaced,-69,15
tvar,1407,displaced,-154,41
majj,1441,displaced,392,4
tras,1442,displaced,-109,15
harzaRa,1447,displaced,4823,2
maT,1449,displaced,5187,1
pratiBaya,1450,displaced,1741,2
SaMs,1457,displaced,193,55
visvasfj,1464,displaced,709,3
visvasfj,1464,displaced,709,3
cakravyUha,1471,displaced,23,4
sTAna,1495,displaced,552,12
dfQaDanvin,1498,displaced,2140,4
vart,1507,displaced,-56,20
sarj,1518,displaced,2218,1
sumitra,1537,displaced,11,1
Dar,1540,displaced,-47,56
viMSati,1551,displaced,328,1
hAsa,1557,displaced,418,1
marmaBedin,1558,displaced,970,1
nalina,1567,displaced,1279,3
nAla,1567,displaced,-103,6
nAsA,1570,displaced,137,7
viSakala,1571,displaced,1758,2
mAlA,1573,displaced,525,10
prakIrRaka,1575,displaced,2054,2
vyaD,1575,displaced,537,4
modaka,1576,displaced,733,1
maT,1578,displaced,5058,1
tvar,1584,displaced,116,41
grAsa,1591,displaced,81,7
madra,1602,displaced,1017,8
darS,1604,displaced,177,9
raMhas,1605,displaced,7917,1
dIrGalocana,1610,displaced,3568,1
palAy,1621,displaced,611,9
kalpa,1626,displaced,1082,1
Cid,1628,displaced,4585,1
vyaD,1628,displaced,484,4
vipAWa,1644,displaced,87,1
varz,1649,displaced,541,25
Gaw,1655,displaced,2064,7
JarJara,1676,displaced,1238,1
sarj,1685,displaced,2051,1
paYcAsya,1710,displaced,-145,2
garj,1714,displaced,2247,7
Dam,1724,displaced,1141,3
vimuKa,1745,displaced,89,17
Svasana,1764,displaced,1430,11
SuB,1765,displaced,332,38
pUrva,1807,displaced,-26,37
vart,1809,displaced,210,20
sukalpita,1813,displaced,-597,1
durmada,1817,displaced,3747,2
utsAha,1836,displaced,5165,1
staB,1867,displaced,-963,4
sama,1869,displaced,-48,332
vaD,1879,displaced,157,55
maT,1892,displaced,4744,1
mahAmeGa,1899,displaced,1371,2
DAraRa,1912,displaced,618,8
puwa,1926,displaced,471,1
puwa,1926,displaced,471,1
Cid,1929,displaced,4284,1
SvAviD,1932,displaced,3471,3
vizama,1954,displaced,33,13
staB,1961,displaced,-1057,4
lamb,1969,displaced,3903,2
saMDi,1969,displaced,5954,1
vaSA,1976,displaced,300,48
vasA,1976,displaced,300,48
durdfSa,1979,displaced,-508,2
pratyanIka,1986,displaced,-1569,1
Sliz,1990,displaced,490,4
prapAta,1992,displaced,-1523,6
maDu,1992,displaced,319,9
SlAG,1997,displaced,7141,1
prasahya,2024,displaced,2665,7
akampana,2029,displaced,-6,2
nArAyaRa,2030,displaced,676,16
hari,2030,displaced,892,4
jawin,2046,displaced,833,1
sTARu,2046,displaced,7457,2
BasmasAt,2058,displaced,-1291,2
vara,2058,displaced,16,163
piNga,2066,displaced,7475,1
mftyu,2074,displaced,-4,19
DyA,2076,displaced,-402,6
Denuka,2080,displaced,668,1
rakz,2081,displaced,146,106
muKa,2084,displaced,649,14
Denuka,2088,displaced,660,1
saMharaRa,2088,displaced,17,2
vart,2090,displaced,-35,20
Dar,2094,displaced,5,56
DyA,2112,displaced,-438,6
Baj,2115,displaced,-1548,7
majj,2116,displaced,-141,4
prAyaRa,2118,displaced,346,10
hara,2122,displaced,-367,14
nArada,2138,displaced,8,62
parvata,2138,displaced,4,52
liNga,2141,displaced,7344,3
liNga,2141,displaced,7344,3
caYcala,2142,displaced,328,1
BAs,2143,displaced,-500,20
susaMkrudDa,2146,displaced,2809,11
suvarRazWIvi,2157,displaced,6,1
varD,2160,displaced,2975,5
yajana,2173,displaced,-76,2
DyA,2180,displaced,-506,6
Badra,2182,displaced,-27,13
Badra,2182,displaced,-27,13
Badra,2182,displaced,-27,13
hEraRya,2189,displaced,95,1
Badra,2194,displaced,-39,13
harz,2199,displaced,-348,19
SfNga,2204,displaced,1720,2
Badra,2207,displaced,-52,13
nirargala,2213,displaced,19,1
vyAla,2239,displaced,6352,1
bAhu,2244,displaced,-43,128
sTA,2247,displaced,-88,22
Saya,2252,displaced,23,78
yUpa,2266,displaced,63,7
yOvanASva,2272,displaced,7,2
Saya,2280,displaced,-5,78
SUna,2281,displaced,229,5
guqa,2286,displaced,6926,1
puRqarIka,2293,displaced,476,5
sTA,2301,displaced,66,22
SaraRya,2306,displaced,7228,2
Buj,2308,displaced,-491,16
Buj,2311,displaced,-494,16
prakIrRaka,2315,displaced,1314,2
Sizwa,2334,displaced,98,2
soma,2343,displaced,73,27
saMpad,2348,displaced,1777,3
puras,2349,displaced,-356,6
vawa,2353,displaced,358,5
mahAnasa,2360,displaced,1125,5
praBAvant,2361,displaced,3255,2
sOvarRa,2361,displaced,4,13
sOvarRa,2361,displaced,4,13
viyoga,2364,displaced,3612,1
nizka,2365,displaced,-4,5
laB,2372,displaced,668,6
hima,2378,displaced,-206,4
BIzaRa,2381,displaced,4699,1
Sata,2384,displaced,-18,131
Sata,2384,displaced,-18,131
vyAma,2388,displaced,5803,3
staB,2402,displaced,-1498,4
virAj,2417,displaced,48,11
virAj,2420,displaced,45,11
jAmadagnya,2427,displaced,6,5
punar,2431,displaced,-46,21
nala,2440,displaced,-976,6
dasyu,2443,displaced,-283,3
Badra,2449,displaced,-42,13
vyaBra,2474,displaced,-1210,1
jEtra,2479,displaced,511,1
Aqambara,2487,displaced,427,1
vArzReya,2503,displaced,217,23
SAla,2504,displaced,-94,16
laB,2536,displaced,504,6
BAz,2539,displaced,722,20
pratijYA,2605,displaced,12,40
yadi,2605,displaced,7,80
yadi,2606,displaced,6,80
cara,2607,displaced,6,23
rajanicara,2607,displaced,127,1
dUrapAtin,2635,displaced,-842,1
karRika,2674,displaced,658,2
dyUta,2687,displaced,349,10
maT,2694,displaced,3942,1
Suzka,2709,displaced,348,3
pramoda,2711,displaced,-1260,1
bAhya,2725,displaced,207,3
durvida,2750,displaced,6419,1
moGa,2759,displaced,2011,4
amoGa,2759,displaced,709,3
vart,2762,displaced,276,20
vart,2764,displaced,274,20
vart,2764,displaced,274,20
vart,2794,displaced,244,20
sapraBa,2811,displaced,3613,1
sTA,2823,displaced,-13,22
nand,2828,displaced,-96,2
pAraRa,2834,displaced,73,35
Baj,2844,displaced,1182,7
Baj,2844,displaced,1182,7
mandara,2852,displaced,-4,4
jawin,2858,displaced,21,1
valg,2860,displaced,-1863,1
hAsya,2860,displaced,-859,4
nara,2894,displaced,46,105
vfzANka,2894,displaced,87,2
vfzANka,2901,displaced,80,2
nart,2913,displaced,-717,3
SiSu,2985,displaced,-1026,2
tArakAmaya,2994,displaced,486,1
param,3005,displaced,-28,122
jalp,3033,displaced,2504,2
laB,3070,displaced,-30,6
laB,3070,displaced,-30,6
vart,3077,displaced,-6,20
Svas,3089,displaced,129,27
DArA,3090,displaced,-18,56
mArga,3091,displaced,1133,9
saMbADa,3093,displaced,303,3
Dam,3096,displaced,-231,3
nandin,3097,displaced,-365,1
mAtra,3100,displaced,-1025,2
cakravyUha,3108,displaced,-613,4
durBida,3110,displaced,108,4
padma,3110,displaced,-1019,3
sUci,3113,displaced,-439,6
pratiBaya,3120,displaced,71,2
Dam,3122,displaced,-257,3
nara,3139,displaced,6,105
tras,3143,displaced,-486,15
tras,3145,displaced,-488,15
praharzaRa,3147,displaced,2453,1
Bram,3156,displaced,-2003,4
cezw,3168,displaced,5222,1
cezw,3168,displaced,5222,1
raB,3169,displaced,1041,1
pArzRi,3179,displaced,510,2
pArzRi,3181,displaced,508,2
lamb,3204,displaced,2668,2
vart,3248,displaced,173,20
vasAti,3254,displaced,-1320,4
maRqala,3272,displaced,399,12
prayoktar,3311,displaced,5975,1
vyasu,3318,displaced,-1525,1
pAraSava,3326,displaced,-2109,1
hfdya,3353,displaced,886,1
Svas,3356,displaced,94,27
SAkra,3358,displaced,113,35
vismApana,3362,displaced,4535,1
srava,3373,displaced,5798,1
jawila,3383,displaced,-525,5
muRqa,3383,displaced,-504,4
sUci,3383,displaced,-709,6
plava,3387,displaced,-425,5
sTala,3389,displaced,-1022,2
nart,3396,displaced,452,3
paricCada,3398,displaced,-1007,2
ambazWa,3399,displaced,-3279,1
banD,3447,displaced,28,7
nipAtana,3465,displaced,-1986,4
miSra,3492,displaced,93,6
saMhrAda,3502,displaced,-380,1
Gaww,3512,displaced,5892,1
vimiSra,3516,displaced,3806,3
tyaj,3524,displaced,-1402,7
govAsana,3528,displaced,-5,2
gAnDAraka,3532,displaced,-5,2
ruD,3534,displaced,-3046,1
dIkzA,3588,displaced,-393,12
dIkzita,3588,displaced,3031,2
mArga,3589,displaced,635,9
yuga,3597,displaced,-209,16
bala,3603,displaced,-34,133
mAriza,3604,displaced,-8,113
sAtvata,3608,displaced,33,74
vyaD,3626,displaced,-748,4
vyaD,3626,displaced,-748,4
daMS,3627,displaced,269,19
saMpAta,3630,displaced,-9,7
vyaD,3632,displaced,-754,4
paristoma,3637,displaced,-1686,2
prakIrRaka,3638,displaced,-9,2
rAjata,3638,displaced,302,11
dantavezwa,3639,displaced,-438,1
yODizWira,3640,displaced,-9,7
vAgurA,3640,displaced,-9,1
vart,3660,displaced,196,20
rakz,3661,displaced,-101,106
Dura,3675,displaced,1553,3
vinda,3682,displaced,9,5
netra,3702,displaced,4623,2
Cidra,3707,displaced,2506,1
praPulla,3722,displaced,351,1
sADuvAda,3728,displaced,-6,1
sarj,3731,displaced,5,1
vart,3739,displaced,117,20
vart,3741,displaced,115,20
vart,3754,displaced,102,20
raB,3764,displaced,446,1
nipAta,3792,displaced,-457,24
laB,3792,displaced,-752,6
saMsTa,3800,displaced,-729,2
dUrapAtin,3806,displaced,-2013,1
Bar,3809,displaced,-63,254
devAsura,3821,displaced,-6,10
pArTiva,3840,displaced,-115,51
DAraRa,3853,displaced,-134,8
DAraRa,3859,displaced,-140,8
ninada,3869,displaced,18,19
staB,3878,displaced,727,4
tAra,3881,displaced,574,14
BAskara,3884,displaced,-100,29
pAtAla,3887,displaced,-3858,1
svan,3888,displaced,-271,24
sEnDava,3898,displaced,-13,121
sAgara,3900,displaced,-174,19
vyaD,3910,displaced,-1032,4
Bar,3911,displaced,19,254
SuB,3933,displaced,6,38
nandana,3937,displaced,-5,2
tripura,3941,displaced,2923,3
yadvat,3941,displaced,207,1
sItA,3944,displaced,-4,43
sinDurAja,3945,displaced,-5,39
SuB,3950,displaced,-11,38
SuB,3950,displaced,-11,38
dyUta,3966,displaced,-157,10
mAriza,3967,displaced,-6,113
dArin,3993,displaced,-6,1
jval,3996,displaced,-73,8
vyAyuDa,4007,displaced,-6,3
biBitsA,4014,displaced,-471,6
raBasa,4033,displaced,-4,9
BEmaseni,4060,displaced,50,8
BrAj,4063,displaced,-124,4
alambuza,4065,displaced,7,11
yuD,4066,displaced,18,133
laB,4071,displaced,-1031,6
baka,4076,displaced,-500,4
vajra,4083,displaced,-228,8
haMsa,4086,displaced,-851,5
grAmaRI,4099,displaced,3760,1
jalASaya,4115,displaced,277,2
martyaDarma,4121,displaced,-1037,1
hEqimbi,4123,displaced,-22,9
sarp,4161,displaced,1602,4
svan,4170,displaced,-8,24
sAMparAya,4176,displaced,-7,2
sAMparAya,4178,displaced,-9,2
parAmarSa,4188,displaced,-9,3
maT,4192,displaced,2444,1
sAmba,4194,displaced,-9,7
daMSita,4202,displaced,-9,23
DAv,4207,displaced,460,5
saMvArya,4209,displaced,-497,9
yadi,4217,displaced,-9,80
mAdfSa,4226,displaced,16,5
nArAyaRa,4227,displaced,-973,16
vIratA,4228,displaced,55,72
saMBAvana,4230,displaced,-9,2
pAlay,4249,displaced,616,9
sparD,4312,displaced,-2141,1
yuD,4320,displaced,6,133
lakza,4325,displaced,663,17
tanucCada,4326,displaced,2990,1
sTA,4335,displaced,-66,22
samAvApa,4339,displaced,1952,1
rasavant,4345,displaced,-2034,1
samIraRa,4345,displaced,-732,2
vart,4346,displaced,-47,20
Salya,4346,displaced,-408,35
pakva,4362,displaced,569,2
DAv,4374,displaced,293,5
saMpAta,4382,displaced,-69,7
tapanIyamaya,4389,displaced,182,1
SuB,4390,displaced,-451,38
rakz,4410,displaced,-45,106
ruD,4433,displaced,-3945,1
paricCada,4443,displaced,-2052,2
vetana,4445,displaced,16,1
vart,4498,displaced,-199,20
vyaD,4501,displaced,-1623,4
Dfti,4540,displaced,-71,6
valg,4559,displaced,-3562,1
nizka,4572,displaced,-1644,5
lamb,4595,displaced,1277,2
BIzaRa,4622,displaced,2458,1
pAraSava,4640,displaced,-3423,1
ruDira,4645,displaced,-4,18
laGutA,4654,displaced,-10,3
lAGava,4654,displaced,-5,13
Cid,4656,displaced,1557,1
lAGava,4660,displaced,-11,13
pawwa,4664,displaced,159,5
vyapAya,4688,displaced,-244,1
SaMs,4690,displaced,193,55
varya,4692,displaced,-1195,1
durDara,4707,displaced,-11,32
DAv,4711,displaced,-44,5
Dar,4718,displaced,-228,56
gozpada,4724,displaced,1151,1
saMyuga,4724,displaced,-4,161
saMyamana,4725,displaced,1161,2
smar,4727,displaced,-11,13
muRqa,4728,displaced,-1849,4
muRqa,4730,displaced,-1851,4
virAva,4731,displaced,-12,2
pavana,4740,displaced,239,1
laGuhasta,4741,displaced,-11,8
SEkya,4744,displaced,2569,1
Cid,4746,displaced,1467,1
SEneya,4748,displaced,-11,70
Sastravant,4768,displaced,-12,1
tAdfS,4786,displaced,185,12
yAdfS,4787,displaced,20,16
darS,4788,displaced,-560,9
hastAvApa,4793,displaced,-12,6
maT,4826,displaced,1810,1
darada,4847,displaced,-136,4
Cid,4848,displaced,1365,1
pratipatti,4848,displaced,-3011,1
nEzAdi,4854,displaced,3359,1
harz,4875,displaced,-388,19
gAQa,4916,displaced,1307,4
Svas,4919,displaced,208,27
vaktra,4963,displaced,-265,7
samUha,4977,displaced,-7,2
DAv,4984,displaced,-126,5
maRqalIBU,5005,displaced,-8,2
lomaharzaRa,5012,displaced,-9,22
lomaharza,5014,displaced,-11,14
Suzmin,5044,displaced,-9,6
cAza,5055,displaced,116,7
nizwAnaka,5066,displaced,1477,1
viSAtana,5081,displaced,-2118,1
sarj,5082,displaced,-1346,1
palita,5089,displaced,-641,8
SyAma,5089,displaced,-9,8
nASana,5120,displaced,3701,1
trAsana,5163,displaced,1631,2
vart,5186,displaced,-38,20
Bram,5196,displaced,996,4
pAraSava,5202,displaced,-3985,1
lakzay,5226,displaced,-2207,4
dvAra,5237,displaced,1355,4
Suzmin,5248,displaced,-6,6
davAgni,5277,displaced,1873,1
yAdfS,5279,displaced,-130,16
vimanas,5289,displaced,319,6
dfQaDanvin,5302,displaced,1455,4
nirjaya,5317,displaced,-943,3
guru,5324,displaced,-96,27
guru,5324,displaced,-96,27
glah,5328,displaced,4,2
glah,5328,displaced,4,2
ruD,5335,displaced,-4847,1
tvar,5347,displaced,-33,41
yuD,5357,displaced,5,133
smar,5369,displaced,-4,13
Sliz,5392,displaced,-231,4
vart,5406,displaced,-258,20
pAda,5407,displaced,179,39
vEkartana,5419,displaced,-6,30
tfRa,5430,displaced,-1093,1
valg,5430,displaced,-4433,1
sitAsita,5442,displaced,-6,1
saMmarda,5446,displaced,-6,4
SreRi,5450,displaced,165,3
durodara,5458,displaced,-126,2
maDu,5464,displaced,-307,9
garj,5484,displaced,1506,7
sarp,5526,displaced,237,4
maT,5546,displaced,1090,1
jijIvizu,5547,displaced,-2496,1
cint,5551,displaced,-226,6
hAsa,5582,displaced,-3607,1
valmIka,5590,displaced,429,3
citra,5594,displaced,315,20
SarAsana,5594,displaced,-6,14
citrayoDin,5595,displaced,-6,10
citravarman,5595,displaced,316,1
citrAyuDa,5595,displaced,-4588,1
BrAj,5599,displaced,-1660,4
vAsas,5612,displaced,-748,3
gocara,5616,displaced,-6,3
vAsa,5620,displaced,-215,48
SreRikfta,5621,displaced,-6,2
graha,5636,displaced,-6,14
mahant,5650,displaced,500,8
mahAnAda,5650,displaced,-4,11
vijaya,5650,displaced,-5,27
paruza,5659,displaced,-5,8
mahant,5667,displaced,483,8
saMkzoBa,5673,displaced,-5,1
nIlotpalamaya,5703,displaced,-4,1
varz,5710,displaced,-485,25
saMramBin,5747,displaced,-196,1
vaYc,5767,displaced,250,3
Dvaja,5768,displaced,-12,67
durga,5775,displaced,-1068,2
praveSya,5818,displaced,-2874,1
vart,5828,displaced,135,20
sAha,5839,displaced,38,246
tvar,5842,displaced,52,41
SArada,5895,displaced,-451,7
staB,5906,displaced,316,4
puras,5907,displaced,-1466,6
garj,5908,displaced,1082,7
raRa,5916,displaced,-29,20
nigraha,5920,displaced,-766,6
pragraha,5920,displaced,3646,1
harz,5945,displaced,267,19
Cid,5954,displaced,259,1
Sliz,5965,displaced,145,4
saMbanDi,5971,displaced,302,1
harz,5988,displaced,224,19
smar,5990,displaced,-207,13
Sala,6002,displaced,159,16
