ref_id,parvan,verse,headword_slp1,marker,confidence,edition_ref,evidence_tier,bori_locus,verdict,cascade_tier,retrieved_form_slp1,quote
PWG-L107462-MBH1.4265,1,4265,sah,st.,medium,,quote-exact,"01,99.42",confirmed,local-GRETIL,virUpatAM me sahatAm,"(II) 4087. 4315. {#virUpatAM me sahatAm#} MBH. 1,4265. fg. {#bahUni pratilomAni#} HARIV. 7299. {#sarvamasya sahAmahe#} R. 1,14,15. 7,36,31 (wohl {#sarvaM#} st. {#sarve#} zu lesen). {#tvadanyasyABizeca"
PWG-L96765-MBH1.4553,1,4553,vyUQa,st.,medium,Bomb,quote-exact,"01,65.3",confirmed,local-GRETIL,vyUQoraska,"3〉 {%breit%} HALĀY. 4,14. {#vyUQoras#} MBH. 1,2740. 4553 (ed. Calc. an beiden Stellen {#vyUQoruH#} st. {#vyUQoraH#} der ed. Bomb.). {#vyUQoraska#} R. GORR. 1,51,18. <div"
PWG-L77527-MBH1.4600,1,4600,nizparigraha,st.,medium,,quote-exact,"01,110.9",confirmed,local-GRETIL,nizparigraha,"{#nizparigraha#}¦ = {#kanTApAdukAdihIna#} NĪLAK._zu_MBH. 1,4600. = {#nirmukta#} H. an. 3,271. {#tyaktasaNga#} st. {#nizparigraha#} MED. t. 117."
PWG-L88523-MBH1.4893,1,4893,vartitavya,statt,medium,,quote-exact,"01,116.28",confirmed,local-GRETIL,tasmAnme sutayoH kunti vartitavyaM svaputravat,"22,27 GORR.). {#tasmAnme sutayoH kunti vartitavyaM svaputravat#} MBH. 1,4893. Spr. 4850. MĀRK. P. 77,12. mit gen. der Person statt loc.: {#yaTA BarturvartitavyaM SrutaM ca me#} R. 2,39,27. mit instr"
PWG-L92080-MBH1.5260,1,5260,viniScaya,st.,medium,,quote-exact,"01,203.9",confirmed,local-GRETIL,kartavyasya,"iniScayaM kftvA#} MBH. 1,7670. {#taM cintayitvA viniScayam#} 5260. {#kartavyasya#} SUND. 3,10 ({#ca niScayam#} st. {#viniScayam#} MBH. 1,7687). {#kAryasya#} R. 3,44,8. 5,"
PWG-L89199-MBH1.5337,1,5337,vah,zu lesen,high,,quote-exact,"03,253.6",confirmed,local-GRETIL,vAjiBiruhyamAnAH,"{#vAjiBiruhyamAnAH#} MBH. 3,15672. {#uhyanto vAjiBirdrutam#} 1,5337. {#uhyamAna iva vAhanocitaH pAdacAramapi na vyaBAvayat#} RAGH. 11,10. {#yugyEH kzitiBujAM yogyEruhyamAnAH#} (so ist zu lesen) RĀJA-T"
PWG-L36484-MBH1.5442,1,5442,DA,lies,high,,quote-exact,"01,127.23",confirmed,local-GRETIL,BayamarjunasaMjAtaM kzipramantaraDIyata,"te#} NIR. 12,11. {#BayamarjunasaMjAtaM kzipramantaraDIyata#} MBH. 1,5442. {#uzRamantardaDe sadyaH#} DAŚ. 1,15. {#imaM vESravaRAvAsaM puRyam — kaTaM BIma gamizyAmo gatirantaraDIyatAm#} (lies: {#˚DIyata"
PWG-L17750-MBH1.5905,1,5905,kunti,fälschlich,medium,,quote-exact,"01,156.11",confirmed,local-GRETIL,kuntirAjan,">MBH. 4,12. {#kuntivizaya#} HARIV. 5254. {#kuntirAjan#} MBH. 1,5905. (HIḌ. 1,31 fälschlich {#kuntIrAjan#}). 3,17124. {#kuntisurAzwrAH#} gaṇa {#kArtakOjap"
PWG-L87611-MBH1.6120,1,6120,vatsabanDA,fehlerhaft,high,,quote-exact,"05,134.4",confirmed,local-GRETIL,badDavatsA,"tsabanDA#}¦ BRĀHMAṆ. 1,12 fehlerhaft für {#badDavatsA#}, wie MBH. 1,6120 gelesen wird."
PWG-L50055-MBH1.6541,1,6541,prasannatva,lies,high,,quote-exact,"01,160.25",confirmed,local-GRETIL,prasannatvena,"nnatveca#} (lies {#prasannatvena#}) {#kAntyA ca candrareKAmivAmalAm#} MBH. 1,6541."
