L,headword_slp1,parvan,verse,marker,confidence,category,delta
53648,brAhmaRabruva,5,7087,st.,medium,absent,
37694,nam,5,7143,zu lesen,high,absent,
67391,Ir,5,7152,zu lesen,high,absent,
91096,vic,5,7152,fehlerhaft,high,absent,
86208,lAGava,5,7207,zu lesen,high,absent,
64136,aparAhRa,5,7216,lies,high,absent,
64136,aparAhRa,5,7216,st.,medium,absent,
116719,hA,5,7221,zu lesen,high,absent,
97013,Sak,5,7287,zu lesen,high,absent,
91581,vid,5,7344,fehlerhaft,high,absent,
82186,yuj,5,7362,fehlerhaft,high,absent,
65126,arTay,5,7462,zu lesen,high,absent,
12570,ullApika,5,7477,zu lesen,high,absent,
61647,mfttikA,5,7477,fälschlich,medium,absent,
81815,yA,5,7486,fehlerhaft,high,absent,
81815,yA,5,7486,zu lesen,high,absent,
45612,puMliNga,5,7492,lies,high,absent,
109138,sic,5,7524,st.,medium,absent,
46914,pUrvika,5,7553,fehlerhaft,high,absent,
83556,ram,6,68,zu lesen,high,absent,
51306,prOzWapada,6,82,fälschlich,medium,absent,
56015,BrAjizmant,6,137,zu lesen,high,absent,
117651,hez,6,137,zu lesen,high,absent,
93809,vizamIBAva,6,184,fehlerhaft,high,absent,
93809,vizamIBAva,6,184,st.,medium,absent,
116085,har,6,266,zu lesen,high,absent,
116085,har,6,266,st.,medium,absent,
25772,culakA,6,328,zu lesen,high,absent,
43701,palASin,6,330,zu lesen,high,absent,
43701,palASin,6,330,st.,medium,absent,
65885,asi,6,338,st.,medium,absent,
80215,BuktimatI,6,342,st.,medium,absent,
64162,apavAha,6,352,st.,medium,absent,
92123,vinDaculaka,6,369,fehlerhaft,high,absent,
82571,yoniveSa,6,374,st.,medium,absent,
23268,gomanda,6,449,fehlerhaft,high,absent,
113615,star,6,698,fehlerhaft,high,absent,
113545,stanayitnumant,6,731,fehlerhaft,high,absent,
114521,sPUrj,6,774,statt,medium,absent,
53140,bfhant,6,1239,zu lesen,high,absent,
99142,SAs,6,1585,fehlerhaft,high,absent,
99142,SAs,6,1585,zu schreiben,high,absent,
57252,man,6,1597,st.,medium,absent,
101797,Sru,6,1628,statt,medium,absent,
46382,puzkala,6,1637,lies,high,absent,
103865,saYjinI,6,1886,fehlerhaft,high,absent,
102985,saMSabda,6,1886,st.,medium,absent,
89199,vah,6,1919,fehlerhaft,high,absent,
89199,vah,6,1919,st.,medium,absent,
106211,saMbADa,6,1953,zu lesen,high,absent,
114447,sPar,6,1957,zu lesen,high,absent,
114506,sPur,6,1957,fehlerhaft,high,absent,
114447,sPar,6,1957,st.,medium,absent,
90722,vAhika,6,2084,fehlerhaft,high,absent,
28811,tam,6,2120,st.,medium,absent,
88770,valgu,6,2138,fehlerhaft,high,absent,
90169,vAraDAna,6,2405,fehlerhaft,high,absent,
71699,kozWaka,6,2463,zu lesen,high,absent,
71699,kozWaka,6,2463,st.,medium,absent,
96653,vyAlambin,6,2599,zu lesen,high,absent,
114447,sPar,6,2663,zu lesen,high,absent,
32714,dASat,6,2700,fehlerhaft,high,absent,
86859,lomavAhana,6,2829,zu lesen,high,absent,
92320,vipramanas,6,2860,st.,medium,absent,
43920,pA,6,3186,lies,high,absent,
28879,taraMgaRi,6,3326,fehlerhaft,high,absent,
108756,sArUQa,6,3535,fehlerhaft,high,absent,
36484,DA,6,3678,fehlerhaft,high,absent,
81815,yA,6,3762,st.,medium,absent,
62044,melaka,6,3855,fehlerhaft,high,absent,
62044,melaka,6,3855,zu lesen,high,absent,
62044,melaka,6,3855,st.,medium,absent,
108171,sAdeyya,6,3900,druckfehler,high,absent,
88595,varmavant,6,3975,lies,high,absent,
99965,SItkAra,6,4389,fehlerhaft,high,absent,
109138,sic,6,4434,fehlerhaft,high,absent,
109138,sic,6,4434,st.,medium,absent,
107462,sah,6,4437,st.,medium,absent,
37504,nad,6,4518,st.,medium,absent,
116085,har,6,4527,fehlerhaft,high,absent,
72578,gam,6,4538,lies,high,absent,
72578,gam,6,4538,st.,medium,absent,
57948,mard,6,4701,fehlerhaft,high,absent,
57948,mard,6,4701,fehlerhaft,high,absent,
86440,lI,6,5203,fehlerhaft,high,absent,
86440,lI,6,5203,fehlerhaft,high,absent,
81815,yA,6,5217,st.,medium,absent,
57985,marmAvaraRa,6,5578,zu lesen,high,absent,
57985,marmAvaraRa,6,5578,st.,medium,absent,
40628,nud,6,5619,zu lesen,high,absent,
68681,UrugrAha,6,5680,zu lesen,high,absent,
68681,UrugrAha,6,5680,st.,medium,absent,
103218,saMhanana,7,79,fehlerhaft,high,absent,
104799,saMnahana,7,79,fehlerhaft,high,absent,
51365,plu,7,92,zu lesen,high,absent,
103507,saMkrandana,7,281,zu lesen,high,absent,
116719,hA,7,301,zu lesen,high,absent,
103173,saMsTAsnucArin,7,372,fehlerhaft,high,absent,
61061,mura,7,386,zu lesen,high,absent,
61061,mura,7,386,st.,medium,absent,
57948,mard,7,498,lies,high,absent,
85380,roDas,7,504,zu lesen,high,absent,
96461,vyA,7,635,fehlerhaft,high,absent,
45139,piRqa,7,702,zu lesen,high,absent,
55875,Bojaya,7,804,zu lesen,high,absent,
44683,pArAvata,7,813,fälschlich,medium,absent,
116437,halahalA,7,857,zu lesen,high,absent,
84873,ruc,7,1028,fehlerhaft,high,absent,
36820,Durya,7,1061,zu lesen,high,absent,
97013,Sak,7,1127,fehlerhaft,high,absent,
112767,soQar,7,1200,fehlerhaft,high,absent,
52038,balla,7,1217,fehlerhaft,high,absent,
81807,yas,7,1360,st.,medium,absent,
106047,saMparka,7,1391,zu lesen,high,absent,
109709,sukalita,7,1447,fehlerhaft,high,absent,
64311,apratirUpya,7,1487,fehlerhaft,high,absent,
49293,prapAtin,7,1571,fehlerhaft,high,absent,
77908,pat,7,1571,lies,high,absent,
77908,pat,7,1571,zu lesen,high,absent,
77908,pat,7,1571,lies,high,absent,
100272,SuRqa,7,1573,zu lesen,high,absent,
21814,gam,7,1622,zu lesen,high,absent,
29078,talpa,7,1626,zu lesen,high,absent,
29078,talpa,7,1626,st.,medium,absent,
109440,siD,7,1748,zu lesen,high,absent,
116085,har,7,1787,fehlerhaft,high,absent,
116085,har,7,1787,fehlerhaft,high,absent,
57948,mard,7,1831,fehlerhaft,high,absent,
94720,vfkzAraka,7,1872,fehlerhaft,high,absent,
27356,jArUTya,7,2232,zu lesen,high,absent,
42307,par,7,2239,zu lesen,high,absent,
113615,star,7,2350,fehlerhaft,high,absent,
88101,var,7,2386,fehlerhaft,high,absent,
49680,prarohaRa,7,2411,zu lesen,high,absent,
94429,vItahotra,7,2436,fehlerhaft,high,absent,
91581,vid,7,2615,fälschlich,medium,absent,
91581,vid,7,2615,st.,medium,absent,
91581,vid,7,2615,st.,medium,absent,
42113,padmakarRika,7,2674,fehlerhaft,high,absent,
114678,syamantapaYcaka,7,2725,fehlerhaft,high,absent,
42308,par,7,2787,zu lesen,high,absent,
85340,rocana,7,2931,st.,medium,absent,
115415,svaryAti,7,2991,fehlerhaft,high,absent,
116085,har,7,3123,fehlerhaft,high,absent,
88101,var,7,3123,st.,medium,absent,
53875,BaYj,7,3333,lies,high,absent,
111856,susaMgraha,7,3862,fehlerhaft,high,absent,
42307,par,7,3987,zu schreiben,high,absent,
107857,sA,7,5128,fehlerhaft,high,absent,
58007,marz,7,5381,fehlerhaft,high,absent,
109684,su,7,5783,st.,medium,absent,
104663,saMdAna,7,5923,fehlerhaft,high,absent,
83441,raTANga,7,5940,st.,medium,absent,
22667,gup,7,6218,lies,high,absent,
47773,praKya,7,6253,zu lesen,high,absent,
40379,nI,7,6343,fehlerhaft,high,absent,
72214,Kac,7,6379,st.,medium,absent,
69134,odarika,7,6390,fehlerhaft,high,absent,
101797,Sru,7,6403,zu lesen,high,absent,
57252,man,7,6537,zu lesen,high,absent,
86499,luq,7,6624,st.,medium,absent,
43927,pAMsana,7,6736,zu lesen,high,absent,
37922,nalva,7,6786,fälschlich,medium,absent,
117662,hEqambi,7,6822,fehlerhaft,high,absent,
94463,vIragavAkza,7,6944,fehlerhaft,high,absent,
85085,ruz,7,6993,fälschlich,medium,absent,
48135,pratikANkzin,7,7350,zu lesen,high,absent,
79133,pratikANkzin,7,7350,st.,medium,absent,
49739,pravaRa,7,7397,lies,high,absent,
49739,pravaRa,7,7397,lies,high,absent,
108244,sADuvAdin,7,7786,fehlerhaft,high,absent,
112501,sfj,7,7875,fehlerhaft,high,absent,
37694,nam,7,7894,fälschlich,medium,absent,
77161,nimnita,7,7894,st.,medium,absent,
47751,prakza,7,7997,fehlerhaft,high,absent,
47773,praKya,7,7997,zu lesen,high,absent,
47773,praKya,7,7997,st.,medium,absent,
81526,yam,7,8210,st.,medium,absent,
85592,rOhiRinandana,7,8222,fehlerhaft,high,absent,
115989,han,7,8346,zu lesen,high,absent,
115989,han,7,8346,st.,medium,absent,
115027,svapnAy,7,8381,zu lesen,high,absent,
49040,pratyudGAta,7,8433,fehlerhaft,high,absent,
49895,pravegita,7,8590,zu lesen,high,absent,
109684,su,7,8603,st.,medium,absent,
47118,pfSni,7,8728,st.,medium,absent,
60591,miSray,7,8773,zu lesen,high,absent,
60591,miSray,7,8773,st.,medium,absent,
91581,vid,7,8885,fehlerhaft,high,absent,
91583,vid,7,8885,st.,medium,absent,
91857,viDarmika,7,8989,fehlerhaft,high,absent,
90436,vArzika,7,9088,zu lesen,high,absent,
44980,pASana,7,9141,fehlerhaft,high,absent,
53686,brU,7,9226,zu lesen,high,absent,
53686,brU,7,9283,fehlerhaft,high,absent,
104820,saMniDAna,7,9456,zu lesen,high,absent,
104820,saMniDAna,7,9456,st.,medium,absent,
108628,sAyujya,7,9468,zu lesen,high,absent,
75584,dA,7,9499,st.,medium,absent,
40379,nI,7,9557,zu lesen,high,absent,
40379,nI,7,9557,st.,medium,absent,
77582,nI,7,9557,st.,medium,absent,
116549,has,8,500,zu lesen,high,absent,
88101,var,8,601,fehlerhaft,high,absent,
91039,viguRa,8,667,fehlerhaft,high,absent,
115989,han,8,849,statt,medium,absent,
92568,vimarmaDvajajIvita,8,876,fehlerhaft,high,absent,
114485,sPuw,8,885,zu lesen,high,absent,
106569,sarj,8,959,zu lesen,high,absent,
107462,sah,8,1274,zu lesen,high,absent,
51854,barh,8,1464,zu lesen,high,absent,
110241,sudanta,8,1765,fehlerhaft,high,absent,
51365,plu,8,1778,zu lesen,high,absent,
56705,mad,8,1875,zu lesen,high,absent,
70213,kAkavASin,8,1932,st.,medium,absent,
70216,kAkAkft,8,1932,st.,medium,absent,
52579,bAhIka,8,2040,zu lesen,high,absent,
45577,pIla,8,2054,fehlerhaft,high,absent,
95749,vEdeha,8,2056,fehlerhaft,high,absent,
52657,bAhyAlaya,8,2085,st.,medium,absent,
59390,mA,8,2353,zu lesen,high,absent,
116719,hA,8,2611,fehlerhaft,high,absent,
94099,vizvagvAta,8,2801,fälschlich,medium,absent,
103416,saMkawa,8,3018,fehlerhaft,high,absent,
33077,dih,8,3306,zu lesen,high,absent,
97899,Sam,8,3355,zu lesen,high,absent,
97899,Sam,8,3355,st.,medium,absent,
69890,karttar,8,3393,fehlerhaft,high,absent,
24248,GrARa,8,3443,statt,medium,absent,
93208,viSaNkin,8,3505,fehlerhaft,high,absent,
56705,mad,8,3509,druckfehler,high,absent,
51674,Penila,8,3902,statt,medium,absent,
37436,nagnajit,8,4040,zu lesen,high,absent,
74796,tan,8,4205,lies,high,absent,
74796,tan,8,4205,zu lesen,high,absent,
110546,supattrita,8,4246,zu lesen,high,absent,
98510,SA,8,4246,fälschlich,medium,absent,
110546,supattrita,8,4246,st.,medium,absent,
98457,Sas,8,4287,zu lesen,high,absent,
98457,Sas,8,4287,st.,medium,absent,
62327,mOneya,8,4424,fälschlich,medium,absent,
62327,mOneya,8,4424,fälschlich,medium,absent,
95399,vedikA,8,4712,zu lesen,high,absent,
95738,vEdika,8,4712,fehlerhaft,high,absent,
96225,vyaj,9,48,fehlerhaft,high,absent,
101797,Sru,9,107,st.,medium,absent,
38488,nAyaka,9,221,st.,medium,absent,
115989,han,9,249,statt,medium,absent,
107838,sahodara,9,258,fehlerhaft,high,absent,
82186,yuj,9,282,statt,medium,absent,
51370,pluz,9,300,fehlerhaft,high,absent,
59733,mAdrinandana,9,764,st.,medium,absent,
104800,saMnahanIya,9,890,fehlerhaft,high,absent,
102902,saMvikASa,9,896,fehlerhaft,high,absent,
89278,vA,9,947,druckfehler,high,absent,
104814,saMnikASa,9,986,fälschlich,medium,absent,
62711,aNkuSa,9,1005,zu lesen,high,absent,
36484,DA,9,1074,fehlerhaft,high,absent,
102891,saMvArya,9,1166,st.,medium,absent,
103677,saMGarza,9,1251,zu lesen,high,absent,
103678,saMGarzaRa,9,1251,zu lesen,high,absent,
103678,saMGarzaRa,9,1251,statt,medium,absent,
87756,vanaga,9,1334,fehlerhaft,high,absent,
120404,dvyaNga,9,1388,fehlerhaft,high,absent,
49864,pravivikzu,9,1596,fehlerhaft,high,absent,
49864,pravivikzu,9,1596,zu lesen,high,absent,
49864,pravivikzu,9,1596,st.,medium,absent,
107462,sah,9,1685,zu lesen,high,absent,
88037,vapra,9,1795,st.,medium,absent,
92168,vipaRi,9,2000,fälschlich,medium,absent,
114765,sru,9,2207,st.,medium,absent,
85715,lag,9,2254,fälschlich,medium,absent,
92070,vinirvahaRa,9,2364,fehlerhaft,high,absent,
21814,gam,9,2367,fehlerhaft,high,absent,
64207,apahAra,9,2386,fehlerhaft,high,absent,
107462,sah,9,2458,zu lesen,high,absent,
47176,pfzWatas,9,2487,fehlerhaft,high,absent,
47173,pfzWaja,9,2487,st.,medium,absent,
54820,BAsvara,9,2533,statt,medium,absent,
104602,saMtarjana,9,2560,zu lesen,high,absent,
104602,saMtarjana,9,2560,st.,medium,absent,
44120,pARikUrcan,9,2578,zu lesen,high,absent,
44120,pARikUrcan,9,2578,st.,medium,absent,
97476,SataMjayA,9,2624,fehlerhaft,high,absent,
42000,pad,9,2847,zu lesen,high,absent,
104247,sad,9,3328,fehlerhaft,high,absent,
114979,svanta,9,3438,fehlerhaft,high,absent,
74139,jan,9,3482,zu lesen,high,absent,
50115,prasADana,9,3527,fehlerhaft,high,absent,
81807,yas,9,3586,fehlerhaft,high,absent,
83977,rAj,9,3608,zu lesen,high,absent,
25298,ci,9,3620,falsch,medium,absent,
77943,pad,10,80,lies,high,absent,
33633,durdaSA,10,83,zu lesen,high,absent,
86295,lAlasa,10,84,zu lesen,high,absent,
86295,lAlasa,10,84,st.,medium,absent,
95614,vEkfti,10,116,fehlerhaft,high,absent,
104451,sadvftta,10,128,st.,medium,absent,
87302,vac,10,222,zu lesen,high,absent,
107857,sA,10,344,fälschlich,medium,absent,
105746,samitar,10,357,fehlerhaft,high,absent,
41788,pat,10,392,zu lesen,high,absent,
87647,vad,10,504,zu lesen,high,absent,
48217,praticakra,10,644,zu lesen,high,absent,
60915,muYjavant,10,785,falsch,medium,absent,
109138,sic,10,7329,fehlerhaft,high,absent,
109138,sic,10,7329,st.,medium,absent,
55954,Brajj,11,97,lies,high,absent,
40314,nisrava,11,161,zu lesen,high,absent,
116085,har,11,352,fehlerhaft,high,absent,
88101,var,11,457,zu lesen,high,absent,
114339,spand,11,473,fehlerhaft,high,absent,
105881,samudDarza,11,492,fehlerhaft,high,absent,
83677,raSanA,11,693,fehlerhaft,high,absent,
83677,raSanA,11,693,lies,high,absent,
83677,raSanA,11,693,fälschlich,medium,absent,
113520,stana,11,11021,zu lesen,high,absent,
35359,dru,12,276,fehlerhaft,high,absent,
90523,vAS,12,389,st.,medium,absent,
101574,Sri,12,518,fälschlich,medium,absent,
89479,vAcCalya,12,535,fehlerhaft,high,absent,
74383,ji,12,765,lies,high,absent,
74383,ji,12,765,st.,medium,absent,
35124,dOzmanti,12,938,lies,high,absent,
24902,car,12,1203,lies,high,absent,
101360,SyAvadant,12,1210,zu lesen,high,absent,
60883,muc,12,1213,fehlerhaft,high,absent,
96917,vratika,12,1336,fehlerhaft,high,absent,
41796,pataMga,12,1510,lies,high,absent,
41796,pataMga,12,1510,st.,medium,absent,
90789,vikaRwaka,12,1585,fehlerhaft,high,absent,
101574,Sri,12,1799,fehlerhaft,high,absent,
69116,oGavant,12,1812,fälschlich,medium,absent,
54387,BA,12,1878,zu lesen,high,absent,
87647,vad,12,1899,zu lesen,high,absent,
87647,vad,12,1899,st.,medium,absent,
23861,glA,12,1940,st.,medium,absent,
110502,sunITa,12,2214,st.,medium,absent,
63522,anu,12,2383,lies,high,absent,
63522,anu,12,2383,lies,high,absent,
63522,anu,12,2383,st.,medium,absent,
63522,anu,12,2383,st.,medium,absent,
63522,anu,12,2383,st.,medium,absent,
103218,saMhanana,12,2420,zu lesen,high,absent,
61106,muz,12,2562,zu lesen,high,absent,
104720,saMDAna,12,2662,zu lesen,high,absent,
57923,marC,12,2939,fehlerhaft,high,absent,
106215,saMbuboDayizu,12,3072,zu lesen,high,absent,
101797,Sru,12,3127,fehlerhaft,high,absent,
92731,viyojana,12,3213,fehlerhaft,high,absent,
75494,danDvana,12,3241,st.,medium,absent,
81815,yA,12,3283,st.,medium,absent,
88517,vartavya,12,3339,fehlerhaft,high,absent,
35047,doha,12,3517,statt,medium,absent,
113665,stu,12,3606,fehlerhaft,high,absent,
115989,han,12,3724,zu lesen,high,absent,
115989,han,12,3724,st.,medium,absent,
87302,vac,12,3767,zu lesen,high,absent,
93196,viS,12,3767,fälschlich,medium,absent,
114339,spand,12,3881,fehlerhaft,high,absent,
99142,SAs,12,3920,fehlerhaft,high,absent,
104816,saMnicaya,12,3975,zu lesen,high,absent,
27838,jYA,12,3993,zu lesen,high,absent,
81526,yam,12,4010,zu lesen,high,absent,
88101,var,12,4010,fehlerhaft,high,absent,
88101,var,12,4010,fehlerhaft,high,absent,
81526,yam,12,4010,st.,medium,absent,
101574,Sri,12,4102,fehlerhaft,high,absent,
24902,car,12,4195,falsch,medium,absent,
93196,viS,12,4263,fehlerhaft,high,absent,
72486,gaRay,12,4287,zu lesen,high,absent,
105320,samanvaya,12,4287,zu lesen,high,absent,
105320,samanvaya,12,4287,st.,medium,absent,
95597,vEkalpa,12,4361,fehlerhaft,high,absent,
37259.225,tIkzRakarman,12,4429,zu lesen,high,absent,
106410,sar,12,4475,fehlerhaft,high,absent,
42000,pad,12,4653,zu lesen,high,absent,
42000,pad,12,4653,st.,medium,absent,
43537,paryApti,12,4716,zu lesen,high,absent,
62915,ati,12,4840,fehlerhaft,high,absent,
52045,balvI,12,4841,fehlerhaft,high,absent,
93196,viS,12,4849,fehlerhaft,high,absent,
28871,tar,12,5003,fehlerhaft,high,absent,
98457,Sas,12,5067,fehlerhaft,high,absent,
78717,punarAvftti,12,5091,zu lesen,high,absent,
71955,klid,12,5163,lies,high,absent,
79225,prativAtam,12,5210,lies,high,absent,
79225,prativAtam,12,5210,st.,medium,absent,
36889,DUmAy,12,5265,zu lesen,high,absent,
76644,DUmaka,12,5334,fehlerhaft,high,absent,
48047,praRASin,12,5464,fälschlich,medium,absent,
105531,samAtman,12,5870,st.,medium,absent,
83005,raj,12,5908,lies,high,absent,
112939,somava,12,6143,fehlerhaft,high,absent,
50007,praSni,12,6144,fehlerhaft,high,absent,
90578,vAsay,12,6349,fehlerhaft,high,absent,
93196,viS,12,6480,fehlerhaft,high,absent,
60883,muc,12,6573,st.,medium,absent,
87084,va,12,6597,st.,medium,absent,
91583,vid,12,6603,fälschlich,medium,absent,
85042,ruD,12,6676,st.,medium,absent,
25333,cikkaRa,12,6854,fälschlich,medium,absent,
95554,vezw,12,6867,fehlerhaft,high,absent,
95554,vezw,12,6867,fehlerhaft,high,absent,
63342,an,12,6883,st.,medium,absent,
23656,graB,12,6977,st.,medium,absent,
51365,plu,12,7713,zu lesen,high,absent,
15743,kalka,12,7803,falsch,medium,absent,
87515,vawakaRIkA,12,7909,st.,medium,absent,
87515,vawakaRIkA,12,7909,st.,medium,absent,
35027,dozavant,12,8037,fehlerhaft,high,absent,
114559,smaya,12,8198,fehlerhaft,high,absent,
65676,aS,12,8266,lies,high,absent,
27412,ji,12,8465,zu lesen,high,absent,
102852,saMvargavidyA,12,8472,fehlerhaft,high,absent,
60452,mitrasaha,12,8604,zu lesen,high,absent,
60452,mitrasaha,12,8604,st.,medium,absent,
39843,nivIta,12,8949,fehlerhaft,high,absent,
64587,aBisaMjYikA,12,9095,fehlerhaft,high,absent,
95554,vezw,12,9119,zu lesen,high,absent,
104247,sad,12,9128,zu lesen,high,absent,
105789,samIcCA,12,9363,fehlerhaft,high,absent,
112214,sUtray,12,9671,st.,medium,absent,
75464,daRqaviDAna,12,9964,fehlerhaft,high,absent,
90578,vAsay,12,10038,zu lesen,high,absent,
104620,saMtApitar,12,10406,zu lesen,high,absent,
104620,saMtApitar,12,10406,st.,medium,absent,
24956,carucelin,12,10419,zu lesen,high,absent,
36000,Dawin,12,10419,fehlerhaft,high,absent,
40379,nI,12,10502,st.,medium,absent,
40628,nud,12,10728,lies,high,absent,
109138,sic,12,10742,zu lesen,high,absent,
117456,hflleKa,12,10821,zu lesen,high,absent,
117456,hflleKa,12,10821,st.,medium,absent,
45937,punIta,12,11074,zu lesen,high,absent,
92373,viplavatA,12,11148,fehlerhaft,high,absent,
96463,vyA,12,11192,zu lesen,high,absent,
106217,saMboDa,12,11289,fehlerhaft,high,absent,
66842,Aryavaka,12,11565,fehlerhaft,high,absent,
66814,Arjavaka,12,11565,fälschlich,medium,absent,
77908,pat,12,12061,lies,high,absent,
44730,pAripAnTika,12,12100,fehlerhaft,high,absent,
113468,skanDarAja,12,12327,fehlerhaft,high,absent,
54387,BA,12,12401,fehlerhaft,high,absent,
54387,BA,12,12401,fehlerhaft,high,absent,
89277,vA,12,12401,zu lesen,high,absent,
89277,vA,12,12401,st.,medium,absent,
34001,duzprApta,12,12642,fehlerhaft,high,absent,
40308,nispanda,12,12704,lies,high,absent,
106143,saMprayARa,12,13204,st.,medium,absent,
104240,satvant,12,13237,zu lesen,high,absent,
104240,satvant,12,13237,st.,medium,absent,
104986,saptatriMSat,12,13257,zu schreiben,high,absent,
103888,saMjYikA,12,13382,fehlerhaft,high,absent,
81094,yat,12,13789,zu lesen,high,absent,
48303,pratiniDi,13,49,st.,medium,absent,
27412,ji,13,131,zu lesen,high,absent,
88916,vas,13,205,st.,medium,absent,
103843,saYj,13,210,zu lesen,high,absent,
93196,viS,13,237,zu lesen,high,absent,
81815,yA,13,341,fehlerhaft,high,absent,
81526,yam,13,382,zu lesen,high,absent,
78170,paritrARa,13,627,st.,medium,absent,
95893,vEyAGrapAda,13,634,fehlerhaft,high,absent,
99828,SI,13,686,fehlerhaft,high,absent,
106996,sarvavAdin,13,743,fehlerhaft,high,absent,
86767,lokAloka,13,802,zu lesen,high,absent,
86767,lokAloka,13,802,st.,medium,absent,
88730,valasUdana,13,828,fälschlich,medium,absent,
17467,kuc,13,882,lies,high,absent,
113472,skanDaviSAKa,13,907,fehlerhaft,high,absent,
106775,sarvataHpARipAda,13,1013,zu lesen,high,absent,
101863,Srutimant,13,1014,fehlerhaft,high,absent,
85736,laGiman,13,1015,zu lesen,high,absent,
85736,laGiman,13,1015,st.,medium,absent,
80890,yajurmaya,13,1085,st.,medium,absent,
113665,stu,13,1276,druckfehler,high,absent,
65826,as,13,1323,fehlerhaft,high,absent,
104247,sad,13,1336,st.,medium,absent,
116085,har,13,1393,zu lesen,high,absent,
40858,nezwu,13,1541,druckfehler,high,absent,
45644,pukkaSa,13,1552,zu lesen,high,absent,
93713,viz,13,1580,lies,high,absent,
39601,niryAtaka,13,1590,zu lesen,high,absent,
68778,fRa,13,1592,fälschlich,medium,absent,
79809,bawu,13,1625,fehlerhaft,high,absent,
33916,duz,13,1683,falsch,medium,absent,
49264,prapatana,13,1715,zu lesen,high,absent,
49264,prapatana,13,1715,st.,medium,absent,
38843,nitamBU,13,1765,fehlerhaft,high,absent,
36831,DU,13,1800,lies,high,absent,
13166,fzItata,13,1851,zu lesen,high,absent,
99505,Silatari,13,1860,fehlerhaft,high,absent,
33916,duz,13,1880,zu lesen,high,absent,
33916,duz,13,1880,st.,medium,absent,
45644,pukkaSa,13,1901,fälschlich,medium,absent,
29994,tud,13,1926,lies,high,absent,
109138,sic,13,1952,fehlerhaft,high,absent,
67877,udAyuDa,13,1979,zu lesen,high,absent,
23656,graB,13,1998,fehlerhaft,high,absent,
110088,sucetas,13,2000,fehlerhaft,high,absent,
116719,hA,13,2028,zu lesen,high,absent,
15726,kalinda,13,2104,druckfehler,high,absent,
93196,viS,13,2115,zu lesen,high,absent,
93196,viS,13,2115,st.,medium,absent,
106410,sar,13,2142,zu lesen,high,absent,
106410,sar,13,2150,fehlerhaft,high,absent,
64534,aBilaNGana,13,2194,fehlerhaft,high,absent,
65827,as,13,2430,lies,high,absent,
81827,yAc,13,2438,fehlerhaft,high,absent,
26483,jan,13,2581,zu lesen,high,absent,
113179,sOpAka,13,2589,zu lesen,high,absent,
61370,mUlavyasana,13,2589,statt,medium,absent,
68220,upaDvaMsaja,13,2617,fehlerhaft,high,absent,
64083,apaDvaMsa,13,2617,fälschlich,medium,absent,
42833,paritrAsa,13,2662,zu lesen,high,absent,
104890,sap,13,2744,fehlerhaft,high,absent,
86635,lok,13,2752,zu lesen,high,absent,
89199,vah,13,2760,st.,medium,absent,
83835,rasAla,13,2771,statt,medium,absent,
82180,yugya,13,2793,fälschlich,medium,absent,
65787,azwapadikA,13,2831,st.,medium,absent,
67140,i,13,2980,zu lesen,high,absent,
88526,vartin,13,3033,lies,high,absent,
97899,Sam,13,3038,zu lesen,high,absent,
67958,udDaraRa,13,3057,zu lesen,high,absent,
105747,samiti,13,3187,zu schreiben,high,absent,
105747,samiti,13,3187,zu schreiben,high,absent,
67020,ASleza,13,3262,st.,medium,absent,
51596,PARita,13,3264,zu lesen,high,absent,
84146,rAjamAsa,13,3282,fehlerhaft,high,absent,
84144,rAjamAza,13,3282,fälschlich,medium,absent,
93196,viS,13,3453,fehlerhaft,high,absent,
93196,viS,13,3453,statt,medium,absent,
44628,pAradArin,13,3567,fehlerhaft,high,absent,
50219,prasnava,13,3683,fehlerhaft,high,absent,
86437,lih,13,3872,fehlerhaft,high,absent,
117242,hu,13,4110,st.,medium,absent,
94370,vIj,13,4252,fälschlich,medium,absent,
43192,pariSrita,13,4291,zu lesen,high,absent,
43192,pariSrita,13,4291,st.,medium,absent,
116915,hiNgu,13,4363,zu lesen,high,absent,
118050,ajAjI,13,4365,lies,high,absent,
118050,ajAjI,13,4365,st.,medium,absent,
85042,ruD,13,4530,fehlerhaft,high,absent,
97760,Sap,13,4560,st.,medium,absent,
105532,samAdAna,13,4581,fälschlich,medium,absent,
55166,BU,13,4640,zu lesen,high,absent,
51609,PAlitA,13,4718,druckfehler,high,absent,
68603,ullApika,13,4737,falsch,medium,absent,
64535,aBilaNGin,13,4964,fehlerhaft,high,absent,
27838,jYA,13,4979,st.,medium,absent,
27838,jYA,13,4979,st.,medium,absent,
99227,SikzA,13,4991,fehlerhaft,high,absent,
55954,Brajj,13,5025,fehlerhaft,high,absent,
21814,gam,13,5027,zu lesen,high,absent,
94798,vfttitva,13,5115,fehlerhaft,high,absent,
91581,vid,13,5186,fehlerhaft,high,absent,
91581,vid,13,5186,fehlerhaft,high,absent,
65351,avaguRa,13,5207,st.,medium,absent,
91581,vid,13,5384,st.,medium,absent,
91583,vid,13,5384,fälschlich,medium,absent,
90487,vAlukA,13,5491,zu lesen,high,absent,
26013,cOrikAka,13,5521,zu lesen,high,absent,
65070,arj,13,5551,fehlerhaft,high,absent,
116015,hantavya,13,5634,fehlerhaft,high,absent,
40469,nIruja,13,5635,fälschlich,medium,absent,
22838,gfDna,13,5640,druckfehler,high,absent,
61162,muh,13,5682,st.,medium,absent,
