stratum,headword,sim_mw,sim_ap,sim_random,mw_minus_ap
PHIL,tari,0.0556,0.0,0.0,0.0556
PHIL,kArmaRa,0.0556,0.0,0.0,0.0556
PHIL,yajamAna,0.0556,0.0,0.0,0.0556
PHIL,vIRA,0.0556,0.0,0.0,0.0556
PHIL,Badra,0.1037,0.0482,0.0,0.0555
VERB,drU,0.1053,0.05,0.0,0.0553
PHIL,grAhaka,0.0545,0.0,0.0,0.0545
PHIL,miTyA,0.1579,0.1034,0.0,0.0544
VERB,paS,0.0541,0.0,0.0,0.0541
PHIL,yOgika,0.0541,0.0,0.0,0.0541
PHIL,varcasvin,0.1538,0.1,0.0,0.0538
PHIL,sTira,0.0855,0.0323,0.0,0.0532
PHIL,nivid,0.1017,0.0488,0.0,0.0529
PHIL,udAtta,0.0806,0.0278,0.0,0.0529
PHIL,vyavasTiti,0.0526,0.0,0.0,0.0526
PHIL,nirnimitta,0.0526,0.0,0.0,0.0526
PHIL,dyotaka,0.0526,0.0,0.0,0.0526
PHIL,kledana,0.0526,0.0,0.0,0.0526
PHIL,darSa,0.1,0.0476,0.0,0.0524
VERB,vI,0.0647,0.0125,0.0,0.0522
PHIL,kAlika,0.0667,0.0145,0.0,0.0522
PHIL,dakza,0.071,0.0196,0.0,0.0514
PHIL,mumukzu,0.1136,0.0625,0.0,0.0511
PHIL,tati,0.1034,0.0526,0.0,0.0508
PHIL,alasa,0.1613,0.1111,0.0556,0.0502
VERB,Dam,0.05,0.0,0.0,0.05
VERB,kad,0.05,0.0,0.0,0.05
VERB,kunT,0.05,0.0,0.0,0.05
PHIL,kad,0.05,0.0,0.0,0.05
PHIL,udvAna,0.05,0.0,0.0,0.05
PHIL,trayastriMSa,0.05,0.0,0.0,0.05
PHIL,jIva,0.08,0.0303,0.0,0.0497
VERB,Sram,0.0723,0.0227,0.0,0.0496
PHIL,Sram,0.0723,0.0227,0.0,0.0496
PHIL,OpAsana,0.1923,0.1429,0.0,0.0495
PHIL,AvApa,0.1159,0.0667,0.0,0.0493
PHIL,tarpaRa,0.0943,0.0455,0.0,0.0489
PHIL,pawu,0.16,0.1111,0.0,0.0489
PHIL,kaTA,0.163,0.1148,0.0,0.0483
PHIL,sarUpa,0.1481,0.1,0.0082,0.0481
VERB,hras,0.0476,0.0,0.0,0.0476
VERB,graT,0.0476,0.0,0.0,0.0476
PHIL,mAyika,0.0476,0.0,0.0,0.0476
PHIL,suparRa,0.1724,0.125,0.0,0.0474
PHIL,svasti,0.0909,0.0435,0.0,0.0474
PHIL,kim,0.1111,0.0645,0.0,0.0466
PHIL,sodara,0.1714,0.125,0.0,0.0464
PHIL,AhitAgni,0.1053,0.0588,0.0,0.0464
PHIL,SAlin,0.0833,0.037,0.0,0.0463
PHIL,dEva,0.1486,0.1026,0.0278,0.0461
PHIL,pratipadam,0.1707,0.125,0.0,0.0457
VERB,Band,0.0455,0.0,0.0,0.0455
VERB,tud,0.0455,0.0,0.0,0.0455
PHIL,upasarga,0.0455,0.0,0.0,0.0455
PHIL,SiKin,0.2727,0.2273,0.0,0.0455
PHIL,yaTABimata,0.0455,0.0,0.0,0.0455
PHIL,yaTezwa,0.0455,0.0,0.0,0.0455
PHIL,prayuta,0.0455,0.0,0.0,0.0455
PHIL,fSya,0.0455,0.0,0.0,0.0455
PHIL,upayAcita,0.0455,0.0,0.0,0.0455
PHIL,carya,0.0455,0.0,0.0,0.0455
PHIL,samiD,0.0455,0.0,0.0,0.0455
PHIL,mahodaya,0.1364,0.0909,0.0,0.0455
PHIL,tEjasa,0.1333,0.0882,0.0,0.0451
PHIL,guhya,0.119,0.0741,0.0,0.045
PHIL,parAvara,0.2449,0.2,0.0,0.0449
PHIL,candra,0.1143,0.0698,0.0,0.0445
VERB,u,0.0444,0.0,0.0,0.0444
VERB,viz,0.0439,0.0,0.0,0.0439
PHIL,Bedin,0.0781,0.0345,0.0,0.0436
VERB,rej,0.0435,0.0,0.0,0.0435
VERB,riP,0.0435,0.0,0.0,0.0435
PHIL,Sukriya,0.0435,0.0,0.0,0.0435
PHIL,raNka,0.0435,0.0,0.0,0.0435
PHIL,vAva,0.0435,0.0,0.0,0.0435
PHIL,liNgin,0.1139,0.0704,0.0,0.0435
PHIL,saSalya,0.0435,0.0,0.0,0.0435
PHIL,riP,0.0435,0.0,0.0,0.0435
PHIL,SAbda,0.0909,0.0476,0.0,0.0433
PHIL,upekzA,0.0909,0.0476,0.0,0.0433
PHIL,sUnfta,0.0732,0.0303,0.0,0.0429
PHIL,matsara,0.1628,0.12,0.0,0.0428
PHIL,SramaRa,0.0426,0.0,0.0,0.0426
PHIL,laGu,0.1397,0.0971,0.0,0.0426
PHIL,mADukara,0.1333,0.0909,0.0,0.0424
PHIL,lAkzA,0.1111,0.069,0.0,0.0421
PHIL,sparSana,0.1667,0.125,0.0,0.0417
PHIL,lokayAtrA,0.0417,0.0,0.0,0.0417
PHIL,viBrAj,0.0417,0.0,0.0,0.0417
PHIL,nedizWa,0.2083,0.1667,0.0,0.0417
PHIL,varRya,0.125,0.0833,0.0,0.0417
PHIL,tumula,0.0417,0.0,0.0,0.0417
PHIL,nirdoza,0.1667,0.125,0.0,0.0417
PHIL,anuBava,0.0417,0.0,0.0,0.0417
PHIL,apaTa,0.0417,0.0,0.0,0.0417
PHIL,prAyaRIya,0.0417,0.0,0.0,0.0417
