L,headword_slp1,parvan,verse,marker,confidence,printed_slp1,corrected_slp1,edition_ref,quote
36831,DU,1,1336,zu lesen,high,rajaHsamudDUya,samud,,"{%aufrütteln, aufschütteln, in Bewegung setzen%}: {#rajaH samudDU"
41788,pat,1,1366,lies,high,jalam,jalam,,">. {#patatyeza gajo jalaH#} (lies mit WESTERGAARD {#jalam#}) MBH. 1,1366. {#(sarpAH) peturdIpte viBAvasO#"
54863,Bid,1,1490,zu lesen,high,tAnpakzanaKatuRqAgrEraBinadvinatAsutaH,mama,,"naH#} HIT. 35,13. {#tAnpakzanaKatuRqAgrEraBinadvinatAsutaH#} MBH. 1,1490. {#Bindanti#} (so ist zu lesen) {#mama#} (die Sonne spricht) {#maRqalam#} KATHĀS. 48,5. {#aBittvA paramarmARi#}"
9095,Ara,1,1498,druckfehler,high,Ara,ara,,"4. {#Ara#}¦ MBH. 1,1498 wohl nur Druckfehler für {#ara#} {%Speiche%}."
94757,vftta,1,1555,zu lesen,high,,vftra,Bomb,"S. 56,18. — d〉 N. pr. eines Schlangendämons MBH. 1,1555 ({#vfttasaMvartakO#} mit der ed. Bomb. zu lesen). 5,3630. — e〉 fehlerhaft für {#vftra#} (so ed. Bomb.</l"
27984,jyotika,1,1558,fehlerhaft,high,jyotika,jyotizka,,"{#jyotika#}¦ m. N. pr. eines Nāga MBH. 1,1558. Viell. nur fehlerhaft für {#jyotizka#}. — Vgl. {#mEtrajyotika#}."
81094,yat,1,1591,lies,high,mokzArTam,yatizye,,"#} R. 3,73,2. {#tadarTam#} Spr. 2582. {#mokzArTam#} MBH. 1,1591. {#svargArTaM na yatizyanti#} HARIV. 7273. {#so 'haM yAtizye#} (lies {#yatizye#}) {#putrArTam#} MĀRK. P. 121,39. {#DarmArTaM yatatAm#} (gen."
64499,aBiBAzin,1,1697,zu lesen,high,anaBi˚,satyABi˚,,"{#smitapUrvABi˚#} Spr. 2769. {#anaBi˚#} {%nicht sprechend%} MBH. 1,1697. {#satyABi˚#} (wohl so zu lesen) KATHĀS. 56,247."
106569,sarj,1,1699,zu lesen,high,˚sajat,˚sANkzIt,Bomb,"A sarpaM skanDe samAsfjat#} (richtiger {#˚sajat#} ed. Bomb.) MBH. 1,1699. {#cIramekaM svasminskanDe samAsfjat#} R. GORR. 2,37,12. {#skanDe mftaM samAsrAkzItpannagam#} (wohl {#˚sANkzIt#} zu lesen) MBH. 1,1703. — 2〉 {%Jmd%} (loc.) {%übergeben"
106569,sarj,1,1703,zu lesen,high,˚sANkzIt,putrerAjyaMsamAsfjya,,"s>. {#skanDe mftaM samAsrAkzItpannagam#} (wohl {#˚sANkzIt#} zu lesen) MBH. 1,1703. — 2〉 {%Jmd%} (loc.) {%übergeben%} HARIV. 6434 (wohl {#˚sajat#} zu lesen). {#putre rAjyaM samAsfjya#} (v. l. {#˚sajya#}) M. 9,323. —"
57588,manda,1,1905,zu lesen,high,kfpaRa,,,MED.</l
103843,saYj,1,1973,zu lesen,high,,,,"lesen; vgl. 1,1692. 1743) MBH. 1,1973. {#s"
106569,sarj,1,1973,fehlerhaft,high,gurOyomemftasarpamavAsfjat,avAsajat,,""">— 6〉 {%hängen —, befestigen an%}: {#gurO yo me mftasarpamavAsfjat#} MBH. 1,1973. wohl fehlerhaft für {#avAsajat#}; vgl. {#sarj#} 10〉, {#vyava-, samava-#} und {#samA-sarj#}. <div"
41710,paW,1,2020,zu lesen,high,sarpasattramitiKyAtaMpurAReparipaWyate,vede,,"aufzählen, erwähnen%}: {#sarpasattramiti KyAtaM purARe paripaWyate#} MBH. 1,2020. SUŚR. 2,88,16. BHAVIṢYA-P._in_Verz. d. Oxf. H. 33,b,14 (wo wohl {#vede#} zu lesen ist). {%bezeichnen als, nennen%}: {#asya lokasya sarvasya yaH praBuH paripaW"
59943,mApana,1,2030,druckfehler,high,A,tulA,,"#tulA#}). — 2〉 f. {#A#} {%Messung, Ausmessung%} MBH. 1,203"
101832,SrutaSravas,1,2049,zu lesen,high,,SrutaSravAvfdDo,Bomb,"ex>m. N. pr. verschiedener Männer MBH. 1,674. 2049 ({#SrutaSravA vfdDo#} mit der ed. Bomb. zu lesen). 2,319. HARIV. 9568. VP. 456. BHĀG. P. 9,22,9</l"
101836,SrutaSruvas,1,2049,fehlerhaft,high,SrutaSruvas,SrutaSravas,,"{#SrutaSruvas#}¦ MBH. 1,2049 fehlerhaft für {#SrutaSravas#}."
32377,dah,1,2120,zu lesen,high,napAvakastvAMpradahizyati,,,itolmukEH#} BHĀG. P.
113928,sTA,1,2167,zu lesen,high,,sa,Bomb,"s>R. 2,21,9. {%stehen bleiben, Halt machen%} M. 11,111. MBH. 1,2167 (med.; {#Ka#} st. {#sa#} mit der ed. Bomb. zu lesen). R. 2,52,96. R. GORR. 1,9,10. KATHĀS. 4,12. {#vasizWasyAgrata"
97107,Sakti,1,2209,zu lesen,high,SakrI,,,". B. H. 58,7 (wo {#Sakti#} st. {#SakrI#} zu lesen ist). MBH. 1,2209. 6701. 6737. <ls n="""
54447,BAgin,1,2304,zu lesen,high,rAjya˚,dyuti˚,Bomb,"/ls>. {#piRqAcCAdAnamAtrEka˚#} 36,45. {#rAjya˚#} MBH. 1,2304. [Page5-0239] {#gArhasTya˚#} (so zu lesen mit der ed. Bomb.) 6134. {#dyuti˚#} 13,4231</l"
100123,Suktimant,1,2367,zu lesen,high,Sakti,,,"{#Sakti#} zu lesen ist). N. pr. a〉 eines Flusses MBH. 1,2367. HARIV. 1983<"
82233,yuD,1,2387,zu lesen,high,,yuDyatoH,,"/ls>. 15,34. fg. act. M. 7,192. MBH. 1,2387 ({#yuDyatoH#} zu lesen). 7119. 2,616. 905. <ls n=""MB"
116882,hAhA,1,2559,zu lesen,high,hahA,,Bomb,". häufig ist des Metrums wegen {#hahA#} zu lesen, z. B. MBH. 1,2559. 4815 ({#hahA#} ed. Bomb.</"
76821,nayana,1,2580,zu lesen,high,kAlasyanayane,kAlasyajYApane,,". 6. fgg. {#kAlasya nayane#} erklärt NĪLAK._zu_MBH. 1,2580 durch {#kAlasya jYApane#}; st. 3124 ist 3134 zu lesen. — c〉 pl. {%kluges Benehmen%} BHĀG. P. 10,50,34."
82480,yogAcArya,1,2607,fehlerhaft,high,,yogAcAra,,"s>MṚCCH. 47,21. — 2〉 {%ein Lehrer des%} Yoga MBH. 1,2607. HARIV. 951. fg. 980. BHĀG. P. 9,12,3. [Page6-0191] — 3〉 fehlerhaft für {#yogAcAra#}; s. u. 2. {#yogAcAra#}."
53140,bfhant,1,2691,zu lesen,high,,bfhanta,,"HARIV. 11547. — b〉 N. pr. eines Fürsten MBH. 1,2691. eines Sohnes des Suhotra und Vaters des Ajamiḍha HARIV. 1754 (wo {#bfhan#} für {#bfhat#} zu lesen ist). Vgl. {#bfhanta#}. — 4〉 f. {#bfhatI#} a〉"
35574,dvApara,1,2713,zu lesen,high,,dvApare,,"retAdvAparayoH saMDO#} MBH. 1,272. 282. 2713 ({#dvApare#} zu lesen). 3,11250. 12,2684. 3408. <div"
63235,aDiraTi,1,2775,fehlerhaft,high,aDiraTi,aDiraTa,Bomb,"{#aDiraTi#}¦ m. MBH. 1,2775 fehlerhaft für {#aDiraTa#} 1,b, wie die ed. Bomb. liest."
62766,ac,1,2792,zu lesen,high,svasitAYcitamUrDajA,aDi,,"— 3〉 {#aYcita#} {%kraus, lockig%}: {#svasitAYcitamUrDajA#} MBH. 1,2792. R. GORR. 2,66,25, wo {#prakIrRAYcitamUrDaja#} st. {#prakIrRAcita˚#} zu lesen ist. — {#aDi#} vgl. {#aDyaYc#}. — {#anu#} vgl. {#"
24110,GUrR,1,2850,zu lesen,high,zawpadAGUrRitalata,pavanAGUrRitapAdapa,,",26. {#zawpadAGUrRitalata#} (so mit der v. l. zu lesen) MBH. 1,2850. {#pavanAGUrRitapAdapa#} HARIV. 2605. {#puzpAsavAGUrRitane"
113516,sKalana,1,2987,druckfehler,high,rAjyAdasKalanam,gAtra˚,,"fallen aus%} so v. a. {%das Kommen um%}: {#rAjyAdasKalanam#} MBH. 1,2987. — 4〉 {%das Fehlgehen, Sichirren%}: {#gotra˚#} {%im Namen%} Spr. (II) 4137. SĀH. D. 219 ({#gAtra˚#} Druckfehler in der neueren Ausg.)."
68680,Uru,1,2988,lies,high,vAmorUH,nAganAsoru,Bomb,"{#Uru#}¦ 1〉 Z. 15. {#vAmorUH#} MBH. 1,2988, ed. Bomb. Z. 17 lies {#nAganAsoru#} st. {#nagna˚#}. — 2〉 ein Āṅgirasa, Verfasser"
45776,put,1,3026,zu lesen,high,,,,tasmAtputra iti proktaH svayameva s
37847,narizyant,1,3140,zu lesen,high,narizyantam,narizyantam,,"zyatprAMSu˚#} zu lesen ist). 641. {#narizyantam#} MBH. 1,3140 könnte auch auf das T"
46684,pUru,1,3160,zu lesen,high,,,,"Vārtt. 2 (wo so zu lesen ist mit der Calc. Ausg.). MBH. 1,3160. fgg. 3433."
97843,Sabday,1,3215,zu lesen,high,ayamehItisaMSabdyamftaMsaMjIvayAmyaham,˚Sabdita,Bomb,"#sam#} 1〉 {%ausrufen%}: {#ayamehIti saMSabdya mftaM saMjIvayAmyaham#} MBH. 1,3215. — 2〉 {%besprechen, erwähnen, aufführen%}: {#˚SabdyamAna#} (so mit der ed. Bomb. zu lesen) MBH. 12,9893. {#˚Sabdita#} 4775. 9896</l"
53862,Baj,1,3260,zu lesen,high,mAMBaktAMBajitumarhasi,BaktAMcaBajamAm,Bomb,", v. l. LA. (II) 36,2. {#mAM BaktAM Bajitumarhasi#} MBH. 1,3260. act.: {#kanyAM BajantImutkfzwaM na kiMcidapi dApayet#} M. 8,365. {#BajantIM#} (so ist mit der ed. Bomb. zu lesen) MBH. 1,3871. {#BaktAM ca Baja mAm#} 7804. 3,1"
34083,duhyu,1,3433,fehlerhaft,high,duhyu,druhyu,,"{#duhyu#}¦ MBH. 1,3160. 3162. 3433 fehlerhaft für {#druhyu#}."
48950,pratyavekzya,1,3459,zu lesen,high,,pratyavekzAni˚,,"}¦ (wie eben) adj. {%auf den man Rücksicht zu nehmen hat%} MBH. 1,3459. — RAGH. 17,53 ist {#pratyavekzAni˚#} zu lesen."
99363,SiTilIkar,1,3471,zu lesen,high,jarayA,,,"azwi#} ṚT. 6,24. {#jarayA#} (so ist zu lesen) {%erschlafft%} MBH. 1,3471. {#ke dozA manasA tyaktAH ke budDyA ˚kftAH#} {%gesch"
88293,varIyaMs,1,3492,zu lesen,high,,tvaMmepriyaHputrastvaMvarIyAnBavizyasi,,yaH putrastvaM varIyAnBavizyasi#} {%du wirst mir noch lieber werden%}
36186,Dar,1,3581,fehlerhaft,high,evaMpraDArya,praDArAyantu,,". 5,4120. — 4〉 {%bei sich denken%}: {#evaM praDArya#} MBH. 1,3581. — {#praDArayantu#} ĀŚV. GṚHY. 3,12 fehlerhaft für {#pra DArA yantu#}. [Page3-0876] — {#saMpra#} 1〉 {%übergeben%}: {#drOpadIm"
43412,parc,1,3613,fehlerhaft,high,anupfkta,vfYjanti,,"partic. {#anupfkta#} {%vermischt mit%} MBH. 1,3609. 3613. — {#api#} {%beimischen%}: {#vi\ze vi\zama^prA\gapi^#} AV. 10,4,26. {#pfYcanti#} 5,2,3 fehlerhaft für {#vfYjanti#}. — {#A#} 1〉 {%erfüllen, durchdringen%}: {#A tvA^ pfRaktvindri"
61448,mfgacArin,1,3644,lies,high,carantaHhastavyApAraSUnyAH,muKenEva,,"#} (lies {#muKenEva#}) {#carantaH hastavyApAraSUnyAH#}; vgl. MBH. 1,3644)."
115989,han,1,3687,fehlerhaft,high,vyAhatatva,vyAhfta,Bomb,". {#a˚#} NĪLAK. 21. {#vyAhatatva#} SĀH. D. 227,3. — MBH. 1,3687 fehlerhaft für {#vyAhfta#} (so ed. Bomb.) Vgl. {#vyAGAta, vyAhati, vyAhantavya#}."
60453,mitrasAha,1,3690,zu lesen,high,sAha,'mitra˚,,"tra#} + {#sAha#}) adj. {%nachsichtig gegen seine Freunde%} MBH. 1,3690. Vielleicht {#'mitra˚#} zu lesen."
100486,Sura,1,3708,fehlerhaft,high,Sura,SUra,Bomb,"{#Sura#}¦ m. N. pr. MBH. 1,3708 fehlerhaft für {#SUra#}, wie die ed. Bomb. liest. {%Löwe%} DHAN._bei_WILSON</l"
7611,ahaMyAti,1,3767,druckfehler,high,yA˚,rahaMpAtI,,"+ {#yA˚#}) m. N. pr. ein Sohn Saṃyātiʼs MBH. 1,3767. VP. 447. LIA. I, Anh. XX. {#rahaMpAtI#} HARIV. 1668 ist wohl nur ein Druckfehler."
48619,pratiSravas,1,3796,fehlerhaft,high,,˚prAtiSravasAH,,"m. N. pr. eines Sohnes {%des%} Bhīmasena MBH. 1,3796. fg. {#˚pratiScavasAH#} (im Index {#pratiSravasa#}) PRAVARĀDHY._in_Verz. d. B. H. 58,23 wohl fehlerhaft für {#˚prAtiSravasAH#}."
37095,DyA,1,3847,fehlerhaft,high,sopaDyAtoBagavatAbrahmaRA,upaDyotA,,"v n=""p"">— {#upa#} {%Jmdes gedenken%}: {#sopaDyAto BagavatA brahmaRA#} MBH. 1,3847. gleich {#apa#} und viell. nur fehlerhaft: {#upaDyotA#} (d. i. {#upaDyAto#}) {#mahendro hi muninA devaSarmaRA . asyAkANkza"
114658,syad,1,3990,lies,high,kiMtviyaMnAdyasaricCrezWAyaTApurA,sya˚,Calc,"date#} ed. Calc.) {#kiM tviyaM nAdya saricCrezWA yaTA purA#} MBH. 1,3990. {#nadIBiH spandamAnABiH#} (lies {#sya˚#}) R. 7,31,17. {#parasparAliNgitayostayoH svedacCalAdiva . atipIqanataH s"
63465,anADfzya,1,4004,lies,high,,,,"Dfzya#}¦ *Z. 4 lies 7,84,1 st. 7,85,1. Hinzuzufügen MBH. 1,4004. 2,810. <"
71756,kOmArika,1,4054,lies,high,kumArIsnehavant,,,"{%Mädchen —, Töchter liebend%}; = {#kumArIsnehavant#}"
12676,uzmatA,1,4162,fehlerhaft,high,uzmatA,uzRatA,,"{#uzmatA#}¦ MBH. 1,4162 fehlerhaft für {#uzRatA#}."
36862,DUmaketu,1,4162,lies,high,taTozRatAm,taTozRatAm,,"{#praBAM samutsfjedarko DUmaketustaTozmatAm#} (lies: {#taTozRatAm#}) MBH. 1,4162. — b〉 {%Komet%} AK. H. 126<"
86272,lABa,1,4197,zu lesen,high,casApatnInatutoza,˚lABAcca,,"ralABA#} (= {#labDaputrA#} NĪLAK.) {#ca sA patnI na tutoza#} MBH. 1,4197; wir vermuthen, dass {#˚lABAcca#} zu lesen sei. — 3〉 {%Einnahme%} so v. a. {%Eroberung%}: {#purARAm#} VARĀH."
44229,pAtaka,1,4203,zu lesen,high,,pAtakAM,,". YĀJÑ. 2,96. 3,284. BHAG. 1,38. MBH. 1,4203 (wo {#pAtakaM .#} st. {#pAtakAM#} zu lesen ist). 4334. 13,2424 (masc.). BHARTṚ."
106569,sarj,1,4205,zu lesen,high,(tam)badDvoqupeparikzipyagaNgAyAMsamavAsfjan,sarj,,"BH. 1,6749. {#(tam) badDvoqupe parikzipya gaNgAyAM samavAsfjan#} 4205. — 3〉 {%weglassen%} AIT. BR. 4,13. — 4〉 {%aufbürden%}: {#guruM BAraM sOBadre samavAsfjat#} (wohl {#˚sajat#} zu lesen; vgl. {#sarj#} 10〉, {#ava-, vyava-#} und {#samA-sarj#"
62460,akAlika,1,4265,zu lesen,high,,putra,,"amanohara#} BRAHMA-P. in LA. (II) 52,21. Vielleicht ist auch MBH. 1,4265 {#akAlikaM#} st. {#akAlikaH#} zu lesen; soll das Wort auf {#putra#} bezogen werden, so hätte es die Bedeutung {%keinen Zeitaufsc"
106569,sarj,1,4350,zu lesen,high,vimfjya,caRqatAm,Bomb,"pararAzwrARi visfjyABipravarDitaH#} ({#vimfjya#} ed. Bomb.) MBH. 1,4350. {#anAryAM matim#} R. 2,21,43. {#caRqatAm#} (so mit der ed. Bomb. zu lesen) MĀLAV. 55. Spr. (II) 5852. 6234. <ls n=""Spr. (I"
11130,utseka,1,4364,zu lesen,high,notsedamagamaccedaMkadAcidihanaHkulam,utsedam,,"} BHARTṚ. 2,54. {#notsedamagamaccedaM kadAcidiha naH kulam#} MBH. 1,4364 (wohl {#utsekam#} für {#utsedam#} zu lesen)."
67775,utseka,1,4364,zu lesen,high,utseka,utsedam,Bomb,"{#utseka#}¦ 2〉 MBH. 1,4364 ist mit der ed. Bomb. {#utsAdam#} st. {#utsedam#} zu lesen."
32399,dA,1,4375,fehlerhaft,high,,pri\yaMSra^dDe\dada^taHpri\yaMSra^dDe\didA^sataH,,"#putrayoruBayoreva vaDvO te ditsite mayA#} R. GORR. 1,70,13. MBH. 1,4375. Auch {#didAsati#} in folg. Stelle: {#pri\yaM Sra^dDe\ dada^taH pri\yaM Sra^dDe\ didA^sataH#} ṚV. 10,151,2. Fehlerhaft dagegen ist folgende Form: {#na mA martyaH kaSca"
36484,DA,1,4505,zu lesen,high,taTApratiniDAya,˚SezaMpratiniDAya,,",4. — 2〉 {%verfügen, befehlen%}: {#taTA pratiniDAya#} MBH. 1,4505. — Statt {#guRASrayaviSezaM pratiniDAya#} bei GAUḌAP._zu_SĀṂKHYAK. 16 ist zu lesen {#˚SezaM prati niDAya#}. — Vgl. {#pratiniDi#}. — {#vini#}"
88916,vas,1,4583,lies,high,,avAtsam,,"A. (III) 6,20"
28354,takz,1,4605,lies,high,bAhuMcandanenEkamukzataH,vAsyEkaM,,#} (gen. des par
53320,brahmacArin,1,4814,zu lesen,high,,,,m. a〉 N. pr. eines Gandharva</i
116719,hA,1,4946,zu lesen,high,˚hAya,apA,,"t. — {#apA#}, absol. {#˚hAya#} {%Jmd verlassend%} MBH. 1,4946</"
96626,vyAyAma,1,5014,fehlerhaft,high,vyAyAmAByADikam,vyAyamyAByaDikam,Bomb,"{#durgasaMcAra#} H. an. MED. — {#vyAyAmAByADikam#} MBH. 1,5014 fehlerhaft für {#vyAyamyAByaDikam#}, wie die ed. Bomb. liest. — Vgl. {#"
99828,SI,1,5033,fehlerhaft,high,aSeta,Sizye,,"6,112,13. {#SeDvam#} BHAṬṬ. 3,44. {#aSeta#} MBH. 1,5033. R. 2,88,6 (96,13 GORR.). {#SiSye#} (auch fehlerhaft {#Sizye#}) KAUṢ. UP. 4,19. MBH. 6,3055. HARIV. 9119. R. 1,"
99221,Sikz,1,5099,zu lesen,high,,,,"RAnena Sikzyate#} KATHĀS. 60,7"
