lemma,cited_N,category,delta,n_loci,source_dict,inheritor,corpus_n
trEpura,7443,absent,,0,PWG,MW,1
priyasaMgamana,7647,absent,,0,PWG,MW,1
celagaNgA,7736,absent,,0,PWG,MW,4
girinandinI,7738,absent,,0,PWG,MW,4
citrapratikfti,7812,absent,,0,PWG,MW,3
cela,7946,absent,,0,PWG,MW,2
caturveda,7993,absent,,0,PWG,MW,2
jAjali,7999,absent,,0,PWG,MW,4
raB,8106,absent,,0,PWG,MW,2
raB,8106,absent,,0,PW,MW,2
krIqAnArI,8309,absent,,0,PWG,MW,4
jalavAdya,8346,absent,,0,PWG,MW,2
jalayantra,8425,absent,,0,PWG,MW,3
jalavAdita,8426,absent,,0,PWG,MW,3
jalavAdya,8427,absent,,0,PWG,MW,4
tajjYa,8427,absent,,0,PWG,MW,4
jalayantraka,8432,absent,,0,PWG,MW,2
jalavAdya,8436,absent,,0,PWG,MW,4
JallIzaka,8450,absent,,0,PWG,MW,4
mAnamaya,8455,absent,,0,PWG,MW,2
celagaNgA,8493,absent,,0,PWG,MW,3
kAlAmra,8653,absent,,0,PWG,MW,2
cintAmaRi,8702,absent,,0,PWG,MW,3
dah,8726,absent,,0,PWG,MW,2
AtmaBavAyana,8819,absent,,0,PW,MW,4
Darzaka,8844,absent,,0,PWG,MW,2
gADana,8865,absent,,0,PWG,MW,4
karavIrakaramBin,8954,absent,,0,PWG,MW,3
upaniveSa,8962,absent,,0,PWG,MW,1
saMgamaka,8992,absent,,0,PWG,MW,2
dehabanDa,9030,absent,,0,PW,MW,2
jArUTI,9136,absent,,0,PWG,MW,4
jaras,9203,absent,,0,PWG,MW,2
turI,9203,absent,,0,PWG,MW,2
asfj,9296,absent,,0,PWG,MW,2
asfj,9296,absent,,0,PW,MW,2
tarakzu,9373,absent,,0,PWG,MW,1
gaNgAsAgara,9524,absent,,0,PWG,MW,3
truwi,9529,absent,,0,PWG,MW,2
trEvidya,9578,absent,,0,PWG,MW,2
kfzRagrIva,9874,absent,,0,PWG,MW,2
tArApati,10052,absent,,0,PWG,MW,1
caturTaka,10555,absent,,0,PWG,MW,2
jawAla,10594,absent,,0,PWG,MW,4
jambUlamAlikA,10889,absent,,0,PWG,MW,3
cur,11146,absent,,0,PWG,MW,2
tarj,11166,absent,,0,PWG,MW,1
vas,11206,absent,,0,PWG,MW,2
viSvavAjin,11253,absent,,0,PWG,MW,2
viSvavAjin,11253,absent,,0,PW,MW,2
ced,11308,absent,,0,PWG,MW,2
kfmin,11327,absent,,0,PWG,MW,1
tretAtva,11863,absent,,0,PW,MW,3
ced,11895,absent,,0,PWG,MW,1
tAmrapuzpa,12003,absent,,0,PWG,MW,1
GoRA,12363,absent,,0,PWG,MW,2
caturaSra,12378,absent,,0,PWG,MW,2
GftaDArA,12411,absent,,0,PWG,MW,2
dvijapati,12491,absent,,0,PWG,MW,2
Cadana,12671,absent,,0,PWG,MW,2
cInAMSuka,12745,absent,,0,PWG,MW,2
triSfNga,12853,absent,,0,PWG,MW,3
caturviBakta,12883,absent,,0,PW,MW,1
caturAtman,12884,absent,,0,PWG,MW,3
caturveda,12884,absent,,0,PWG,MW,3
jaladevatA,13140,absent,,0,PWG,MW,1
devapurohita,13208,absent,,0,PW,MW,2
talatra,13373,absent,,0,PWG,MW,1
caraRapAta,13607,absent,,0,PWG,MW,2
jalADipa,13885,absent,,0,PWG,MW,1
candrasUryAkza,14189,absent,,0,PW,MW,3
Cattrin,14205,absent,,0,PWG,MW,3
jihIrzu,14248,absent,,0,PWG,MW,1
karzaRIya,14459,absent,,0,PWG,MW,1
Gawwana,14581,absent,,0,PWG,MW,2
catuHsama,14779,absent,,0,PWG,MW,2
tuwituwa,14882,absent,,0,PWG,MW,4
taq,15092,absent,,0,PWG,MW,2
bisa,15445,absent,,0,PWG,MW,2
bisa,15445,absent,,0,PW,MW,2
asadgrAha,15479,absent,,0,PWG,MW,2
dah,15523,absent,,0,PWG,MW,1
darpin,15606,absent,,0,PWG,MW,2
Cavi,15709,absent,,0,PWG,MW,2
dA,15741,absent,,0,PWG,MW,3
dA,15782,absent,,0,PWG,MW,2
jAqya,15815,absent,,0,PWG,MW,3
Cedin,15880,absent,,0,PWG,MW,1
ciKAdizu,16004,absent,,0,PWG,MW,2
talaGAta,16027,absent,,0,PW,MW,2
diS,16061,absent,,0,PWG,MW,1
candranABa,16254,absent,,0,PWG,MW,2
cAkzuza,69,corroborated,0,29,PWG,MW,4
dakza,101,corroborated,0,49,PWG,MW,1
gardaBAkza,191,corroborated,1,1,PWG,MW,3
JarJara,194,corroborated,1,1,PWG,MW,4
AYjika,216,corroborated,0,1,PWG,MW,3
diSApAla,273,corroborated,-1,1,PWG,MW,1
cAkzuza,279,corroborated,-2,29,PWG,MW,1
taruRa,477,corroborated,0,4,PWG,MW,4
tapoSana,482,corroborated,0,1,PWG,MW,4
triSata,512,corroborated,0,2,PW,MW,2
dasra,601,corroborated,0,1,PWG,MW,2
gaya,631,corroborated,2,25,PWG,MW,2
kuvalASva,671,corroborated,0,5,PWG,MW,3
KawvANga,808,corroborated,1,2,PWG,MW,1
kuSa,822,corroborated,1,31,PWG,MW,1
trikumArIka,948,corroborated,0,1,PW,MW,1
jEgIzavya,952,corroborated,0,1,PWG,MW,1
gOra,981,corroborated,-1,9,PWG,MW,4
kftvI,981,corroborated,-1,4,PWG,MW,4
kzemya,1084,corroborated,3,5,PWG,MW,2
cIcIkUcI,1146,corroborated,-1,2,PWG,MW,2
tAvanmAtra,1204,corroborated,0,1,PWG,MW,4
kftvI,1242,corroborated,0,4,PWG,MW,2
kuSAmba,1425,corroborated,2,1,PWG,MW,4
jaya,1514,corroborated,1,73,PWG,MW,2
jayatsena,1516,corroborated,1,2,PWG,MW,2
janamejaya,1608,corroborated,3,52,PWG,MW,1
turvasu,1617,corroborated,1,3,PWG,MW,1
gocapalA,1662,corroborated,-1,1,PWG,MW,3
kAlAnala,1669,corroborated,0,1,PWG,MW,3
janamejaya,1671,corroborated,0,52,PWG,MW,1
kfmi,1675,corroborated,-1,3,PWG,MW,3
tEtikzava,1681,corroborated,0,1,PWG,MW,4
kAYcanezuDi,1683,corroborated,-1,1,PWG,MW,1
daSaraTa,1696,corroborated,0,6,PWG,MW,2
campa,1699,corroborated,0,3,PWG,MW,2
vAraRa,1700,corroborated,0,46,PWG,MW,3
jayadraTa,1703,corroborated,0,4,PWG,MW,1
garga,1732,corroborated,2,7,PWG,MW,4
gaya,1732,corroborated,2,25,PWG,MW,4
azwAraTa,1744,corroborated,1,1,PWG,MW,1
kzemya,1750,corroborated,0,5,PWG,MW,3
gADeya,1766,corroborated,0,1,PWG,MW,4
kfmilASva,1779,corroborated,0,1,PWG,MW,3
gOtama,1788,corroborated,0,9,PWG,MW,2
kuSAgra,1807,corroborated,0,2,PWG,MW,3
gANga,1824,corroborated,0,37,PWG,MW,3
