parvan,cited_verse,pratika_folded_len,outcome,found_address,found_calibrated_N,delta,coverage
1,4977,29,retrieved,1.128.14,4977,0,1.0
2,1227,21,probe-too-short,,,,
3,1046,25,retrieved,3.28.18,1046,0,1.0
1,1090,21,probe-too-short,,,,
3,161,29,retrieved,3.3.31,161,0,1.0
2,534,30,not-retrieved,,,,0.0
5,17,24,retrieved,5.1.17,17,0,0.857
1,5875,20,probe-too-short,,,,
3,490,41,retrieved,3.12.31,491,-1,1.0
3,1763,31,retrieved,3.44.6,1790,-27,0.929
14,597,18,probe-too-short,,,,
2,866,21,probe-too-short,,,,
3,16595,19,probe-too-short,,,,
15,1073,15,probe-too-short,,,,
15,186,38,retrieved,15.5.17,186,0,1.0
3,13505,39,retrieved,3.201.25,13526,-21,0.861
3,13541,27,retrieved,3.202.27,13541,0,1.0
3,11368,17,probe-too-short,,,,
3,17327,31,retrieved,3.313.41,17326,1,0.893
3,632,35,retrieved,3.14.19,632,0,1.0
1,6175,22,probe-too-short,,,,
18,296,18,probe-too-short,,,,
3,2154,16,probe-too-short,,,,
2,171,28,retrieved,2.5.37,171,0,0.88
1,5874,20,probe-too-short,,,,
2,1616,29,retrieved,2.45.57,1619,-3,1.0
3,2566,17,probe-too-short,,,,
1,5243,19,probe-too-short,,,,
3,408,30,retrieved,3.11.24,409,-1,0.963
3,11366,22,probe-too-short,,,,
3,2337,21,probe-too-short,,,,
1,5188,21,probe-too-short,,,,
3,14378,33,retrieved,3.227.11,14377,1,1.0
3,12883,36,retrieved,3.188.78,12882,1,1.0
14,299,28,retrieved,14.11.7,300,-1,1.0
16,83,29,retrieved,16.3.27,83,0,1.0
1,6885,12,probe-too-short,,,,
3,9911,23,probe-too-short,,,,
3,9907,15,probe-too-short,,,,
1,6872,12,probe-too-short,,,,
1,8139,29,retrieved,1.223.60,8225,-86,1.0
3,14208,76,retrieved,3.222.1,14208,0,0.912
3,6002,37,retrieved,3.83.32,6452,-450,1.0
1,1814,22,probe-too-short,,,,
3,14132,16,probe-too-short,,,,
1,6567,15,probe-too-short,,,,
3,1350,13,probe-too-short,,,,
1,350,21,probe-too-short,,,,
3,388,21,probe-too-short,,,,
3,12387,21,probe-too-short,,,,
2,202,56,retrieved,2.5.68,202,0,0.941
1,7577,20,probe-too-short,,,,
15,237,25,retrieved,15.7.3,237,0,0.9
1,7586,14,probe-too-short,,,,
3,13973,43,retrieved,3.213.15,13974,-1,1.0
3,86,84,retrieved,3.2.40,86,0,0.988
3,4042,21,probe-too-short,,,,
3,14799,12,probe-too-short,,,,
1,6953,15,probe-too-short,,,,
3,74,77,retrieved,3.2.28,74,0,1.0
15,310,37,retrieved,15.10.9,310,0,1.0
2,442,27,retrieved,2.11.25,442,0,0.957
1,684,15,probe-too-short,,,,
1,584,14,probe-too-short,,,,
3,16445,28,retrieved,3.288.8,16443,2,0.84
8,2110,27,retrieved,8.45.38,2108,2,1.0
3,17445,13,probe-too-short,,,,
3,1129,39,retrieved,3.30.13,1129,0,1.0
1,258,85,retrieved,1.1.265,219,39,0.914
15,812,27,retrieved,15.29.47,812,0,1.0
3,246,38,retrieved,3.5.7,246,0,1.0
1,419,18,probe-too-short,,,,
15,19,15,probe-too-short,,,,
1,6846,41,retrieved,1.180.5,6910,-64,1.0
3,11108,26,retrieved,3.146.38,11154,-46,1.0
3,1708,21,probe-too-short,,,,
1,372,18,probe-too-short,,,,
2,1281,18,probe-too-short,,,,
14,282,90,retrieved,14.10.27,282,0,0.815
1,353,20,probe-too-short,,,,
3,10411,13,probe-too-short,,,,
1,2384,82,not-retrieved,,,,0.5
14,2137,58,retrieved,14.73.25,2128,9,0.685
3,1167,31,retrieved,3.31.8,1167,0,0.885
3,1541,32,retrieved,3.38.26,1541,0,1.0
3,9924,28,retrieved,3.108.5,9931,-7,0.64
3,17379,22,probe-too-short,,,,
14,2338,37,retrieved,14.79.37,2338,0,1.0
1,5438,17,probe-too-short,,,,
1,1475,57,retrieved,1.32.5,1475,0,1.0
2,1114,21,probe-too-short,,,,
1,3576,39,retrieved,1.88.13,3576,0,1.0
1,131,35,retrieved,1.1.133,87,44,1.0
1,87,33,retrieved,1.1.87,41,46,1.0
1,1158,32,retrieved,1.19.1,1158,0,1.0
3,14181,43,retrieved,3.221.5,14180,1,0.872
1,7073,18,probe-too-short,,,,
14,2241,35,retrieved,14.77.21,2239,2,0.875
14,1963,14,probe-too-short,,,,
3,1387,35,retrieved,3.35.12,1387,0,0.875
3,16221,21,probe-too-short,,,,
3,1196,19,probe-too-short,,,,
1,16164,36,not-retrieved,,,,0.0
3,544,39,retrieved,3.12.84,544,0,1.0
1,309,18,probe-too-short,,,,
2,2585,27,retrieved,2.79.2,2585,0,1.0
1,427,28,retrieved,1.2.152,381,46,1.0
3,10036,31,not-retrieved,,,,0.444
3,12723,50,retrieved,3.186.9,12723,0,0.935
1,674,28,retrieved,1.3.13,678,-4,1.0
3,1248,21,probe-too-short,,,,
1,858,27,retrieved,1.4.8,821,37,1.0
1,854,33,retrieved,1.4.4,817,37,0.933
3,11856,40,retrieved,3.163.16,11856,0,1.0
3,13330,25,retrieved,3.198.27,13330,0,0.682
3,14669,15,probe-too-short,,,,
1,7265,56,retrieved,1.196.14,7332,-67,1.0
2,405,15,probe-too-short,,,,
3,243,18,probe-too-short,,,,
3,7040,64,retrieved,3.83.169,6589,451,0.885
1,6026,39,retrieved,1.154.20,6076,-50,1.0
3,16167,17,probe-too-short,,,,
14,2871,39,retrieved,14.92.26,2871,0,1.0
1,3845,37,retrieved,1.96.3,3843,2,1.0
2,1309,26,retrieved,2.36.3,1308,1,1.0
2,428,19,probe-too-short,,,,
1,668,19,probe-too-short,,,,
3,15634,40,retrieved,3.267.19,15631,3,1.0
3,1215,38,retrieved,3.32.14,1215,0,1.0
2,280,38,retrieved,2.6.16,280,0,1.0
3,10412,38,retrieved,3.125.17,10473,-61,1.0
4,574,38,retrieved,4.19.18,574,0,1.0
3,5067,36,retrieved,3.82.126,5068,-1,0.879
2,304,18,probe-too-short,,,,
3,372,19,probe-too-short,,,,
3,17314,39,retrieved,3.313.27,17312,2,0.943
14,1830,41,retrieved,14.61.22,1793,37,0.889
2,808,35,retrieved,2.21.12,809,-1,1.0
1,1300,26,retrieved,1.26.5,1265,35,1.0
1,131,16,probe-too-short,,,,
3,15142,21,probe-too-short,,,,
1,7943,27,retrieved,1.220.13,8024,-81,0.708
1,3088,58,retrieved,1.74.96,3083,5,0.962
14,610,42,retrieved,14.20.12,610,0,0.897
2,664,16,probe-too-short,,,,
14,2072,29,retrieved,14.71.17,2075,-3,0.962
3,10886,13,probe-too-short,,,,
14,1797,19,probe-too-short,,,,
1,2021,32,retrieved,1.51.7,1990,31,0.893
1,3222,29,retrieved,1.76.40,3223,-1,0.654
18,152,73,not-retrieved,,,,0.565
3,10772,22,probe-too-short,,,,
3,10905,27,retrieved,3.142.7,10955,-50,1.0
1,3411,24,retrieved,1.82.15,3411,0,1.0
1,691,36,retrieved,1.3.27,692,-1,1.0
1,5222,26,retrieved,1.132.11,5262,-40,1.0
5,194,13,probe-too-short,,,,
3,860,15,probe-too-short,,,,
2,2496,20,probe-too-short,,,,
3,10746,40,retrieved,3.135.55,10799,-53,1.0
15,183,18,probe-too-short,,,,
3,12547,48,retrieved,3.182.9,12547,0,0.867
3,1966,54,retrieved,3.50.12,1966,0,1.0
2,555,21,probe-too-short,,,,
4,886,38,retrieved,4.26.4,886,0,1.0
1,6257,43,retrieved,1.162.17,6314,-57,1.0
3,10435,20,probe-too-short,,,,
3,13689,16,probe-too-short,,,,
3,10713,22,probe-too-short,,,,
3,1655,37,retrieved,3.40.20,1655,0,0.912
3,1471,25,retrieved,3.37.16,1472,-1,1.0
3,4182,32,not-retrieved,,,,0.0
3,10814,20,probe-too-short,,,,
1,5738,28,retrieved,1.145.5,5787,-49,1.0
1,4889,39,retrieved,1.125.24,4889,0,1.0
3,1143,18,probe-too-short,,,,
12,868,80,retrieved,12.28.36,867,1,1.0
14,562,41,retrieved,14.19.31,562,0,1.0
3,8575,13,probe-too-short,,,,
13,1862,43,retrieved,13.26.104,1862,0,1.0
1,6577,26,retrieved,1.172.19,6638,-61,1.0
1,1258,14,probe-too-short,,,,
14,468,75,retrieved,14.17.15,469,-1,1.0
3,2744,16,probe-too-short,,,,
3,249,14,probe-too-short,,,,
5,7041,28,retrieved,5.178.15,7042,-1,0.84
3,11855,16,probe-too-short,,,,
3,1921,36,retrieved,3.48.8,1922,-1,0.818
3,867,15,probe-too-short,,,,
4,688,40,retrieved,4.21.47,687,1,1.0
3,2010,36,retrieved,3.51.44,2010,0,0.97
13,147,40,retrieved,13.2.63,148,-1,1.0
3,13757,14,probe-too-short,,,,
2,791,25,retrieved,2.20.24,791,0,1.0
1,128,27,retrieved,1.1.130,84,44,0.833
13,13091,20,probe-too-short,,,,
14,781,16,probe-too-short,,,,
3,15673,23,probe-too-short,,,,
3,8592,67,retrieved,3.97.23,8592,0,0.968
3,3003,50,retrieved,3.76.48,3003,0,0.894
3,15669,27,retrieved,3.269.3,15669,0,1.0
1,3592,27,retrieved,1.89.15,3591,1,1.0
3,663,18,probe-too-short,,,,
1,6937,20,probe-too-short,,,,
2,2115,25,retrieved,2.63.5,2114,1,0.818
2,1219,17,probe-too-short,,,,
2,2647,38,retrieved,2.80.28,2647,0,1.0
3,255,28,not-retrieved,,,,0.4
14,2088,15,probe-too-short,,,,
1,5934,20,probe-too-short,,,,
3,12508,35,retrieved,3.181.20,12539,-31,1.0
14,2167,40,retrieved,14.74.27,2171,-4,1.0
3,110,18,probe-too-short,,,,
3,13182,20,probe-too-short,,,,
3,559,21,probe-too-short,,,,
1,3729,28,retrieved,1.94.39,3729,0,0.917
2,613,19,probe-too-short,,,,
3,13385,37,retrieved,3.200.37,13386,-1,0.824
1,5581,19,probe-too-short,,,,
3,12359,27,retrieved,3.177.21,12359,0,1.0
3,10672,12,probe-too-short,,,,
14,241,26,retrieved,14.9.23,241,0,1.0
3,12740,53,retrieved,3.186.26,12740,0,1.0
3,8557,18,probe-too-short,,,,
1,6956,25,retrieved,1.185.12,7021,-65,1.0
2,2013,21,probe-too-short,,,,
3,16193,19,probe-too-short,,,,
3,10675,26,retrieved,3.134.25,10728,-53,1.0
14,2630,20,probe-too-short,,,,
3,8756,42,retrieved,3.102.20,9042,-286,0.886
3,10039,16,probe-too-short,,,,
2,1304,17,probe-too-short,,,,
1,4150,16,probe-too-short,,,,
3,1204,35,retrieved,3.32.3,1204,0,1.0
14,657,19,probe-too-short,,,,
1,7403,17,probe-too-short,,,,
3,204,18,probe-too-short,,,,
1,1622,37,retrieved,1.38.1,1591,31,1.0
1,1776,41,retrieved,1.43.11,1776,0,0.895
3,121,76,retrieved,3.2.75,121,0,1.0
3,1488,44,retrieved,3.37.33,1489,-1,0.78
3,16980,11,probe-too-short,,,,
3,16407,21,probe-too-short,,,,
3,121,76,retrieved,3.2.75,121,0,1.0
3,10821,22,probe-too-short,,,,
3,10658,27,retrieved,3.134.8,10711,-53,1.0
14,1176,18,probe-too-short,,,,
2,1831,29,retrieved,2.51.11,1831,0,1.0
3,14545,15,probe-too-short,,,,
3,14415,39,retrieved,3.229.14,14415,0,0.889
1,1470,40,retrieved,1.31.35,1436,34,0.946
14,1115,76,retrieved,14.42.14,1115,0,1.0
3,12449,16,probe-too-short,,,,
1,1643,34,retrieved,1.39.3,1612,31,1.0
4,455,40,retrieved,4.16.4,455,0,0.919
3,850,20,probe-too-short,,,,
1,2973,39,retrieved,1.73.21,2974,-1,1.0
2,1179,36,retrieved,2.31.75,1179,0,1.0
14,2200,33,retrieved,14.76.6,2200,0,1.0
1,6762,18,probe-too-short,,,,
14,153,20,probe-too-short,,,,
1,6145,21,probe-too-short,,,,
1,4570,36,retrieved,1.118.13,4570,0,1.0
13,59,35,retrieved,13.1.59,59,0,0.968
1,1668,41,retrieved,1.40.14,1637,31,1.0
14,553,41,retrieved,14.19.22,553,0,1.0
1,4332,38,retrieved,1.108.11,4332,0,0.886
3,1473,16,probe-too-short,,,,
3,10513,85,retrieved,3.129.1,10571,-58,0.775
1,7223,26,retrieved,1.195.6,7291,-68,1.0
3,17170,18,probe-too-short,,,,
3,298,38,retrieved,3.7.12,298,0,1.0
1,5923,30,retrieved,1.151.43,5973,-50,1.0
3,592,40,retrieved,3.12.132,592,0,1.0
2,2158,19,probe-too-short,,,,
2,2358,20,probe-too-short,,,,
14,636,38,retrieved,14.21.9,636,0,1.0
2,1906,13,probe-too-short,,,,
4,218,17,probe-too-short,,,,
3,11462,25,retrieved,3.157.12,11503,-41,1.0
2,2389,29,retrieved,2.71.10,2389,0,0.68
2,2218,20,probe-too-short,,,,
2,1960,41,retrieved,2.55.16,1960,0,1.0
3,578,35,retrieved,3.12.118,578,0,1.0
2,2463,17,probe-too-short,,,,
3,11808,40,retrieved,3.162.6,11808,0,1.0
14,2087,82,retrieved,14.72.5,2087,0,1.0
4,308,24,retrieved,4.11.11,308,0,1.0
1,5726,30,retrieved,1.144.12,5775,-49,0.778
3,11657,78,retrieved,3.159.30,11696,-39,1.0
1,6905,34,retrieved,1.182.19,6970,-65,1.0
3,526,78,retrieved,3.12.66,526,0,1.0
3,11843,11,probe-too-short,,,,
1,3022,40,retrieved,1.74.35,3022,0,1.0
1,5982,22,probe-too-short,,,,
1,3011,44,retrieved,1.74.24,3011,0,0.9
3,15772,45,retrieved,3.271.57,15773,-1,1.0
3,1726,21,probe-too-short,,,,
1,3033,45,retrieved,1.74.46,3033,0,0.927
2,2340,13,probe-too-short,,,,
1,2903,22,probe-too-short,,,,
1,5336,11,probe-too-short,,,,
1,3075,38,retrieved,1.74.88,3075,0,0.886
3,14789,40,retrieved,3.237.18,14789,0,1.0
13,165,70,retrieved,13.2.81,166,-1,0.91
3,12425,40,retrieved,3.179.30,12457,-32,1.0
3,920,58,not-retrieved,,,,0.545
14,2201,73,retrieved,14.76.7,2201,0,0.941
18,82,35,not-retrieved,,,,0.452
1,5444,28,retrieved,1.138.1,5486,-42,0.88
1,2383,39,retrieved,1.63.53,2385,-2,1.0
3,12587,45,retrieved,3.183.31,12587,0,0.905
1,4374,42,retrieved,1.110.12,4386,-12,1.0
3,12486,32,retrieved,3.180.36,12486,0,0.759
1,1501,13,probe-too-short,,,,
2,1644,32,retrieved,2.46.16,1646,-2,1.0
1,6857,37,retrieved,1.180.16,6921,-64,1.0
3,1140,35,retrieved,3.30.23,1139,1,0.935
1,4565,18,probe-too-short,,,,
3,10628,25,retrieved,3.133.8,10681,-53,0.727
14,941,18,probe-too-short,,,,
3,973,24,retrieved,3.26.10,973,0,1.0
13,512,22,probe-too-short,,,,
1,5138,77,retrieved,1.131.5,5137,1,0.958
13,10671,27,not-retrieved,,,,0.0
1,2170,42,retrieved,1.58.5,2139,31,0.882
3,5073,35,retrieved,3.83.3,6423,-1350,1.0
3,1070,38,retrieved,3.29.6,1034,36,0.882
3,12185,39,retrieved,3.172.24,12185,0,1.0
10,579,23,probe-too-short,,,,
13,7257,38,retrieved,13.154.26,7258,-1,0.743
3,955,11,probe-too-short,,,,
3,13863,27,retrieved,3.209.22,13878,-15,0.875
13,26,32,retrieved,13.1.26,26,0,1.0
1,1532,17,probe-too-short,,,,
3,8590,27,retrieved,3.97.21,8590,0,1.0
1,5495,21,probe-too-short,,,,
3,12853,38,retrieved,3.188.48,12852,1,1.0
1,1370,18,probe-too-short,,,,
1,6766,37,retrieved,1.177.22,6829,-63,1.0
1,3251,15,probe-too-short,,,,
3,14154,47,retrieved,3.219.25,14154,0,0.833
1,4605,24,retrieved,1.119.15,4605,0,1.0
13,1791,14,probe-too-short,,,,
1,4571,41,retrieved,1.118.14,4571,0,1.0
3,522,26,retrieved,3.12.62,522,0,0.727
1,8255,24,retrieved,1.227.23,8351,-96,0.857
16,120,21,probe-too-short,,,,
1,4368,43,retrieved,1.110.6,4380,-12,0.85
14,427,41,retrieved,14.16.21,428,-1,1.0
3,8334,30,retrieved,3.88.9,8334,0,1.0
13,1956,26,retrieved,13.30.17,1956,0,0.783
1,6639,30,retrieved,1.174.7,6702,-63,1.0
13,1621,28,retrieved,13.23.49,1620,1,1.0
14,2629,17,probe-too-short,,,,
3,17385,25,not-retrieved,,,,0.0
1,1105,29,retrieved,1.17.7,1067,38,1.0
1,6963,22,probe-too-short,,,,
1,5032,30,retrieved,1.128.71,5034,-2,1.0
14,482,27,retrieved,14.17.29,483,-1,1.0
3,15424,15,probe-too-short,,,,
3,15407,13,probe-too-short,,,,
1,3487,17,probe-too-short,,,,
2,1174,20,probe-too-short,,,,
1,3623,26,retrieved,1.90.24,3623,0,1.0
2,2071,36,retrieved,2.61.12,2071,0,1.0
1,147,40,retrieved,1.1.149,103,44,0.946
3,1026,40,retrieved,3.27.38,1011,15,1.0
3,1031,36,retrieved,3.28.3,1031,0,1.0
1,3611,52,retrieved,1.90.12,3611,0,1.0
14,1624,33,retrieved,14.55.37,1623,1,0.933
1,6079,59,retrieved,1.155.38,6130,-51,1.0
2,2160,19,probe-too-short,,,,
3,1903,22,probe-too-short,,,,
3,8406,20,probe-too-short,,,,
1,1389,19,probe-too-short,,,,
14,1762,16,probe-too-short,,,,
3,11590,28,retrieved,3.158.67,11590,0,0.68
2,1665,70,not-retrieved,,,,0.591
3,8226,70,retrieved,3.85.83,8225,1,1.0
3,14712,13,probe-too-short,,,,
1,4674,39,retrieved,1.120.35,4674,0,0.889
1,7212,14,probe-too-short,,,,
3,1881,17,probe-too-short,,,,
1,1920,27,retrieved,1.48.10,1920,0,1.0
1,6704,36,retrieved,1.176.9,6767,-63,1.0
1,4986,73,retrieved,1.128.23,4986,0,1.0
1,296,19,probe-too-short,,,,
14,2638,14,probe-too-short,,,,
3,13922,18,probe-too-short,,,,
1,3982,22,probe-too-short,,,,
14,1639,37,retrieved,14.56.14,1639,0,1.0
1,1607,14,probe-too-short,,,,
