parvan,adhyaya,verse,continuous_sloka,adhyaya_offset,adhyaya_n_anchors
7,4,7,121,-1,4
7,4,8,122,-1,4
7,4,9,123,-1,4
7,4,10,124,-1,4
7,4,11,125,-1,4
7,4,12,126,-1,4
7,4,13,127,-1,4
7,4,14,128,-1,4
7,4,15,129,-1,4
7,4,16,130,-1,4
7,4,17,131,-1,4
7,4,18,132,-1,4
7,5,1,135,1,2
7,5,2,136,1,2
7,5,3,137,1,2
7,5,4,138,1,2
7,5,5,139,1,2
7,5,6,140,1,2
7,5,7,141,1,2
7,5,8,142,1,2
7,5,9,143,1,2
7,5,10,144,1,2
7,5,11,145,1,2
7,5,12,146,1,2
7,5,13,147,1,2
7,5,14,148,1,2
7,5,15,149,1,2
7,5,16,150,1,2
7,5,17,151,1,2
7,5,18,152,1,2
7,5,19,153,1,2
7,5,20,154,1,2
7,5,21,155,1,2
7,6,1,155,0,2
7,6,2,156,0,2
7,6,3,157,0,2
7,6,4,158,0,2
7,6,5,159,0,2
7,6,6,160,0,2
7,6,7,161,0,2
7,6,8,162,0,2
7,6,9,163,0,2
7,6,10,164,0,2
7,6,11,165,0,2
7,6,12,166,0,2
7,6,13,167,0,2
7,7,1,169,1,7
7,7,2,170,1,7
7,7,3,171,1,7
7,7,4,172,1,7
7,7,5,173,1,7
7,7,6,174,1,7
7,7,7,175,1,7
7,7,8,176,1,7
7,7,9,177,1,7
7,7,10,178,1,7
7,7,11,179,1,7
7,7,12,180,1,7
7,7,13,181,1,7
7,7,14,182,1,7
7,7,15,183,1,7
7,7,16,184,1,7
7,7,17,185,1,7
7,7,18,186,1,7
7,7,19,187,1,7
7,7,20,188,1,7
7,7,21,189,1,7
7,7,22,190,1,7
7,7,23,191,1,7
7,7,24,192,1,7
7,7,25,193,1,7
7,7,26,194,1,7
7,7,27,195,1,7
7,7,28,196,1,7
7,7,29,197,1,7
7,7,30,198,1,7
7,7,31,199,1,7
7,7,32,200,1,7
7,7,33,201,1,7
7,7,34,202,1,7
7,7,35,203,1,7
7,7,36,204,1,7
7,7,37,205,1,7
7,7,38,206,1,7
7,7,39,207,1,7
7,7,40,208,1,7
7,7,41,209,1,7
7,7,42,210,1,7
7,7,43,211,1,7
7,7,44,212,1,7
7,7,45,213,1,7
7,7,46,214,1,7
7,7,47,215,1,7
7,7,48,216,1,7
7,7,49,217,1,7
7,7,50,218,1,7
7,7,51,219,1,7
7,7,52,220,1,7
7,7,53,221,1,7
7,7,54,222,1,7
7,8,1,220,-2,2
7,8,2,221,-2,2
7,8,3,222,-2,2
7,8,4,223,-2,2
7,8,5,224,-2,2
7,8,6,225,-2,2
7,8,7,226,-2,2
7,8,8,227,-2,2
7,8,9,228,-2,2
7,8,10,229,-2,2
7,8,11,230,-2,2
7,8,12,231,-2,2
7,8,13,232,-2,2
7,8,14,233,-2,2
7,8,15,234,-2,2
7,8,16,235,-2,2
7,8,17,236,-2,2
7,8,18,237,-2,2
7,8,19,238,-2,2
7,8,20,239,-2,2
7,8,21,240,-2,2
7,8,22,241,-2,2
7,8,23,242,-2,2
7,8,24,243,-2,2
7,8,25,244,-2,2
7,8,26,245,-2,2
7,8,27,246,-2,2
7,8,28,247,-2,2
7,8,29,248,-2,2
7,8,30,249,-2,2
7,8,31,250,-2,2
7,8,32,251,-2,2
7,8,33,252,-2,2
7,8,34,253,-2,2
7,8,35,254,-2,2
7,8,36,255,-2,2
7,9,1,261,3,3
7,9,2,262,3,3
7,9,3,263,3,3
7,9,4,264,3,3
7,9,5,265,3,3
7,9,6,266,3,3
7,9,7,267,3,3
7,9,8,268,3,3
7,9,9,269,3,3
7,9,10,270,3,3
7,9,11,271,3,3
7,9,12,272,3,3
7,9,13,273,3,3
7,9,14,274,3,3
7,9,15,275,3,3
7,9,16,276,3,3
7,9,17,277,3,3
7,9,18,278,3,3
7,9,19,279,3,3
7,9,20,280,3,3
7,9,21,281,3,3
7,9,22,282,3,3
7,9,23,283,3,3
7,9,24,284,3,3
7,9,25,285,3,3
7,9,26,286,3,3
7,9,27,287,3,3
7,9,28,288,3,3
7,9,29,289,3,3
7,9,30,290,3,3
7,9,31,291,3,3
7,9,32,292,3,3
7,9,33,293,3,3
7,9,34,294,3,3
7,9,35,295,3,3
7,9,36,296,3,3
7,9,37,297,3,3
7,9,38,298,3,3
7,9,39,299,3,3
7,9,40,300,3,3
7,9,41,301,3,3
7,9,42,302,3,3
7,9,43,303,3,3
7,9,44,304,3,3
7,9,45,305,3,3
7,10,1,305,2,2
7,10,2,306,2,2
7,10,3,307,2,2
7,10,4,308,2,2
7,10,5,309,2,2
7,10,6,310,2,2
7,10,7,311,2,2
7,10,8,312,2,2
7,10,9,313,2,2
7,10,10,314,2,2
7,10,11,315,2,2
7,10,12,316,2,2
7,10,13,317,2,2
7,10,14,318,2,2
7,10,15,319,2,2
7,10,16,320,2,2
7,10,17,321,2,2
7,10,18,322,2,2
7,10,19,323,2,2
7,10,20,324,2,2
7,10,21,325,2,2
7,10,22,326,2,2
7,10,23,327,2,2
7,10,24,328,2,2
7,10,25,329,2,2
7,10,26,330,2,2
7,10,27,331,2,2
7,10,28,332,2,2
7,10,29,333,2,2
7,10,30,334,2,2
7,10,31,335,2,2
7,10,32,336,2,2
7,10,33,337,2,2
7,10,34,338,2,2
7,10,35,339,2,2
7,10,36,340,2,2
7,10,37,341,2,2
7,10,38,342,2,2
7,10,39,343,2,2
7,10,40,344,2,2
7,10,41,345,2,2
7,10,42,346,2,2
7,10,43,347,2,2
7,10,44,348,2,2
7,10,45,349,2,2
7,10,46,350,2,2
7,10,47,351,2,2
7,10,48,352,2,2
7,10,49,353,2,2
7,10,50,354,2,2
7,10,51,355,2,2
7,10,52,356,2,2
7,10,53,357,2,2
7,10,54,358,2,2
7,10,55,359,2,2
7,10,56,360,2,2
7,10,57,361,2,2
7,10,58,362,2,2
7,10,59,363,2,2
7,10,60,364,2,2
7,10,61,365,2,2
7,10,62,366,2,2
7,10,63,367,2,2
7,10,64,368,2,2
7,10,65,369,2,2
7,10,66,370,2,2
7,10,67,371,2,2
7,10,68,372,2,2
7,10,69,373,2,2
7,10,70,374,2,2
7,10,71,375,2,2
7,10,72,376,2,2
7,10,73,377,2,2
7,10,74,378,2,2
7,10,75,379,2,2
7,10,76,380,2,2
7,10,77,381,2,2
7,11,1,382,2,9
7,11,2,383,2,9
7,11,3,384,2,9
7,11,4,385,2,9
7,11,5,386,2,9
7,11,6,387,2,9
7,11,7,388,2,9
7,11,8,389,2,9
7,11,9,390,2,9
7,11,10,391,2,9
7,11,11,392,2,9
7,11,12,393,2,9
7,11,13,394,2,9
7,11,14,395,2,9
7,11,15,396,2,9
7,11,16,397,2,9
7,11,17,398,2,9
7,11,18,399,2,9
7,11,19,400,2,9
7,11,20,401,2,9
7,11,21,402,2,9
7,11,22,403,2,9
7,11,23,404,2,9
7,11,24,405,2,9
7,11,25,406,2,9
7,11,26,407,2,9
7,11,27,408,2,9
7,11,28,409,2,9
7,11,29,410,2,9
7,11,30,411,2,9
7,11,31,412,2,9
7,11,32,413,2,9
7,11,33,414,2,9
7,11,34,415,2,9
7,11,35,416,2,9
7,11,36,417,2,9
7,11,37,418,2,9
7,11,38,419,2,9
7,11,39,420,2,9
7,11,40,421,2,9
7,11,41,422,2,9
7,11,42,423,2,9
7,11,43,424,2,9
7,11,44,425,2,9
7,11,45,426,2,9
7,11,46,427,2,9
7,11,47,428,2,9
7,11,48,429,2,9
7,11,49,430,2,9
7,11,50,431,2,9
7,11,51,432,2,9
7,12,1,434,3,3
7,12,2,435,3,3
7,12,3,436,3,3
7,12,4,437,3,3
7,12,5,438,3,3
7,12,6,439,3,3
7,12,7,440,3,3
7,12,8,441,3,3
7,12,9,442,3,3
7,12,10,443,3,3
7,12,11,444,3,3
7,12,12,445,3,3
7,12,13,446,3,3
7,12,14,447,3,3
7,12,15,448,3,3
7,12,16,449,3,3
7,12,17,450,3,3
7,12,18,451,3,3
7,12,19,452,3,3
7,12,20,453,3,3
7,12,21,454,3,3
7,12,22,455,3,3
7,12,23,456,3,3
7,12,24,457,3,3
7,12,25,458,3,3
7,12,26,459,3,3
7,12,27,460,3,3
7,12,28,461,3,3
7,12,29,462,3,3
7,12,30,463,3,3
7,12,31,464,3,3
7,13,1,460,-2,8
7,13,2,461,-2,8
7,13,3,462,-2,8
7,13,4,463,-2,8
7,13,5,464,-2,8
7,13,6,465,-2,8
7,13,7,466,-2,8
7,13,8,467,-2,8
7,13,9,468,-2,8
7,13,10,469,-2,8
7,13,11,470,-2,8
7,13,12,471,-2,8
7,13,13,472,-2,8
7,13,14,473,-2,8
7,13,15,474,-2,8
7,13,16,475,-2,8
7,13,17,476,-2,8
7,13,18,477,-2,8
7,13,19,478,-2,8
7,13,20,479,-2,8
7,13,21,480,-2,8
7,13,22,481,-2,8
7,13,23,482,-2,8
7,13,24,483,-2,8
7,13,25,484,-2,8
7,13,26,485,-2,8
7,13,27,486,-2,8
7,13,28,487,-2,8
7,13,29,488,-2,8
7,14,1,495,4,2
7,14,2,496,4,2
7,14,3,497,4,2
7,14,4,498,4,2
7,14,5,499,4,2
7,14,6,500,4,2
7,14,7,501,4,2
7,14,8,502,4,2
7,14,9,503,4,2
7,14,10,504,4,2
7,14,11,505,4,2
7,14,12,506,4,2
7,14,13,507,4,2
7,14,14,508,4,2
7,14,15,509,4,2
7,14,16,510,4,2
7,14,17,511,4,2
7,14,18,512,4,2
7,14,19,513,4,2
7,14,20,514,4,2
7,14,21,515,4,2
7,14,22,516,4,2
7,14,23,517,4,2
7,14,24,518,4,2
7,14,25,519,4,2
7,14,26,520,4,2
7,14,27,521,4,2
7,14,28,522,4,2
7,14,29,523,4,2
7,14,30,524,4,2
7,14,31,525,4,2
7,14,32,526,4,2
7,14,33,527,4,2
7,14,34,528,4,2
7,14,35,529,4,2
7,14,36,530,4,2
7,14,37,531,4,2
7,14,38,532,4,2
7,14,39,533,4,2
7,14,40,534,4,2
7,14,41,535,4,2
7,14,42,536,4,2
7,14,43,537,4,2
7,14,44,538,4,2
7,14,45,539,4,2
7,14,46,540,4,2
7,14,47,541,4,2
7,14,48,542,4,2
7,14,49,543,4,2
7,14,50,544,4,2
7,14,51,545,4,2
7,14,52,546,4,2
7,14,53,547,4,2
7,14,54,548,4,2
7,14,55,549,4,2
7,14,56,550,4,2
7,14,57,551,4,2
7,14,58,552,4,2
7,14,59,553,4,2
7,14,60,554,4,2
7,14,61,555,4,2
7,14,62,556,4,2
7,14,63,557,4,2
7,14,64,558,4,2
7,14,65,559,4,2
7,14,66,560,4,2
7,14,67,561,4,2
7,14,68,562,4,2
7,14,69,563,4,2
7,14,70,564,4,2
7,14,71,565,4,2
7,14,72,566,4,2
7,14,73,567,4,2
7,14,74,568,4,2
7,14,75,569,4,2
7,14,76,570,4,2
7,14,77,571,4,2
7,14,78,572,4,2
7,14,79,573,4,2
7,14,80,574,4,2
7,14,81,575,4,2
7,14,82,576,4,2
7,14,83,577,4,2
7,14,84,578,4,2
7,14,85,579,4,2
7,14,86,580,4,2
7,14,87,581,4,2
7,15,1,582,4,3
7,15,2,583,4,3
7,15,3,584,4,3
7,15,4,585,4,3
7,15,5,586,4,3
7,15,6,587,4,3
7,15,7,588,4,3
7,15,8,589,4,3
7,15,9,590,4,3
7,15,10,591,4,3
7,15,11,592,4,3
7,15,12,593,4,3
7,15,13,594,4,3
7,15,14,595,4,3
7,15,15,596,4,3
7,15,16,597,4,3
7,15,17,598,4,3
7,15,18,599,4,3
7,15,19,600,4,3
7,15,20,601,4,3
7,15,21,602,4,3
7,15,22,603,4,3
7,15,23,604,4,3
7,15,24,605,4,3
7,15,25,606,4,3
7,15,26,607,4,3
7,15,27,608,4,3
7,15,28,609,4,3
7,15,29,610,4,3
7,15,30,611,4,3
7,15,31,612,4,3
7,15,32,613,4,3
7,15,33,614,4,3
7,15,34,615,4,3
7,15,35,616,4,3
7,15,36,617,4,3
7,15,37,618,4,3
7,16,1,619,4,5
7,16,2,620,4,5
7,16,3,621,4,5
7,16,4,622,4,5
7,16,5,623,4,5
7,16,6,624,4,5
7,16,7,625,4,5
7,16,8,626,4,5
7,16,9,627,4,5
7,16,10,628,4,5
7,16,11,629,4,5
7,16,12,630,4,5
7,16,13,631,4,5
7,16,14,632,4,5
7,16,15,633,4,5
7,16,16,634,4,5
7,16,17,635,4,5
7,16,18,636,4,5
7,16,19,637,4,5
7,16,20,638,4,5
7,16,21,639,4,5
7,16,22,640,4,5
7,16,23,641,4,5
7,16,24,642,4,5
7,16,25,643,4,5
7,16,26,644,4,5
7,16,27,645,4,5
7,16,28,646,4,5
7,16,29,647,4,5
7,16,30,648,4,5
7,16,31,649,4,5
7,16,32,650,4,5
7,16,33,651,4,5
7,16,34,652,4,5
7,16,35,653,4,5
7,16,36,654,4,5
7,16,37,655,4,5
7,16,38,656,4,5
7,16,39,657,4,5
7,16,40,658,4,5
7,16,41,659,4,5
7,16,42,660,4,5
7,16,43,661,4,5
7,16,44,662,4,5
7,16,45,663,4,5
7,16,46,664,4,5
7,16,47,665,4,5
7,16,48,666,4,5
7,16,49,667,4,5
7,16,50,668,4,5
7,16,51,669,4,5
7,16,52,670,4,5
7,16,53,671,4,5
7,16,54,672,4,5
7,17,1,673,4,3
7,17,2,674,4,3
7,17,3,675,4,3
7,17,4,676,4,3
7,17,5,677,4,3
7,17,6,678,4,3
7,17,7,679,4,3
7,17,8,680,4,3
7,17,9,681,4,3
7,17,10,682,4,3
7,17,11,683,4,3
7,17,12,684,4,3
7,17,13,685,4,3
7,17,14,686,4,3
7,17,15,687,4,3
7,17,16,688,4,3
7,17,17,689,4,3
7,17,18,690,4,3
7,17,19,691,4,3
7,17,20,692,4,3
7,17,21,693,4,3
7,17,22,694,4,3
7,17,23,695,4,3
7,17,24,696,4,3
7,17,25,697,4,3
7,17,26,698,4,3
7,17,27,699,4,3
7,17,28,700,4,3
7,17,29,701,4,3
7,17,30,702,4,3
7,17,31,703,4,3
7,17,32,704,4,3
7,17,33,705,4,3
7,17,34,706,4,3
7,17,35,707,4,3
7,17,36,708,4,3
7,17,37,709,4,3
7,17,38,710,4,3
7,17,39,711,4,3
7,17,40,712,4,3
7,17,41,713,4,3
7,17,42,714,4,3
7,17,43,715,4,3
7,17,44,716,4,3
7,17,45,717,4,3
7,17,46,718,4,3
7,17,47,719,4,3
7,17,48,720,4,3
7,17,49,721,4,3
7,18,1,716,-2,3
7,18,2,717,-2,3
7,18,3,718,-2,3
7,18,4,719,-2,3
7,18,5,720,-2,3
7,18,6,721,-2,3
7,18,7,722,-2,3
7,18,8,723,-2,3
7,18,9,724,-2,3
7,18,10,725,-2,3
7,18,11,726,-2,3
7,18,12,727,-2,3
7,18,13,728,-2,3
7,18,14,729,-2,3
7,18,15,730,-2,3
7,18,16,731,-2,3
7,18,17,732,-2,3
7,18,18,733,-2,3
7,18,19,734,-2,3
7,18,20,735,-2,3
7,18,21,736,-2,3
7,18,22,737,-2,3
7,18,23,738,-2,3
7,18,24,739,-2,3
7,18,25,740,-2,3
7,18,26,741,-2,3
7,18,27,742,-2,3
7,18,28,743,-2,3
7,18,29,744,-2,3
7,18,30,745,-2,3
7,18,31,746,-2,3
7,19,1,753,4,2
7,19,2,754,4,2
7,19,3,755,4,2
7,19,4,756,4,2
7,19,5,757,4,2
7,19,6,758,4,2
7,19,7,759,4,2
7,19,8,760,4,2
7,19,9,761,4,2
7,19,10,762,4,2
7,19,11,763,4,2
7,19,12,764,4,2
7,19,13,765,4,2
7,19,14,766,4,2
7,19,15,767,4,2
7,19,16,768,4,2
7,19,17,769,4,2
7,19,18,770,4,2
7,19,19,771,4,2
7,19,20,772,4,2
7,19,21,773,4,2
7,19,22,774,4,2
7,19,23,775,4,2
7,19,24,776,4,2
7,19,25,777,4,2
7,19,26,778,4,2
7,19,27,779,4,2
7,19,28,780,4,2
7,19,29,781,4,2
7,19,30,782,4,2
7,19,31,783,4,2
7,19,32,784,4,2
7,19,33,785,4,2
7,19,34,786,4,2
7,19,35,787,4,2
7,19,36,788,4,2
7,19,37,789,4,2
7,19,38,790,4,2
7,19,39,791,4,2
7,20,1,793,5,8
7,20,2,794,5,8
7,20,3,795,5,8
7,20,4,796,5,8
7,20,5,797,5,8
7,20,6,798,5,8
7,20,7,799,5,8
7,20,8,800,5,8
7,20,9,801,5,8
7,20,10,802,5,8
7,20,11,803,5,8
7,20,12,804,5,8
7,20,13,805,5,8
7,20,14,806,5,8
7,20,15,807,5,8
7,20,16,808,5,8
7,20,17,809,5,8
7,20,18,810,5,8
7,20,19,811,5,8
7,20,20,812,5,8
7,20,21,813,5,8
7,20,22,814,5,8
7,20,23,815,5,8
7,20,24,816,5,8
7,20,25,817,5,8
7,20,26,818,5,8
7,20,27,819,5,8
7,20,28,820,5,8
7,20,29,821,5,8
7,20,30,822,5,8
7,20,31,823,5,8
7,20,32,824,5,8
7,20,33,825,5,8
7,20,34,826,5,8
7,20,35,827,5,8
7,20,36,828,5,8
7,20,37,829,5,8
7,20,38,830,5,8
7,20,39,831,5,8
7,20,40,832,5,8
7,20,41,833,5,8
7,20,42,834,5,8
7,20,43,835,5,8
7,20,44,836,5,8
7,20,45,837,5,8
7,20,46,838,5,8
7,20,47,839,5,8
7,20,48,840,5,8
7,20,49,841,5,8
7,20,50,842,5,8
7,20,51,843,5,8
7,20,52,844,5,8
7,20,53,845,5,8
7,20,54,846,5,8
7,20,55,847,5,8
7,20,56,848,5,8
7,20,57,849,5,8
7,20,58,850,5,8
7,20,59,851,5,8
7,20,60,852,5,8
7,20,61,853,5,8
7,20,62,854,5,8
7,20,63,855,5,8
7,21,1,855,4,5
7,21,2,856,4,5
7,21,3,857,4,5
7,21,4,858,4,5
7,21,5,859,4,5
7,21,6,860,4,5
7,21,7,861,4,5
7,21,8,862,4,5
7,21,9,863,4,5
7,21,10,864,4,5
7,21,11,865,4,5
7,21,12,866,4,5
7,21,13,867,4,5
7,21,14,868,4,5
7,21,15,869,4,5
7,21,16,870,4,5
7,21,17,871,4,5
7,21,18,872,4,5
7,21,19,873,4,5
7,21,20,874,4,5
7,21,21,875,4,5
7,21,22,876,4,5
7,21,23,877,4,5
7,21,24,878,4,5
7,21,25,879,4,5
7,21,26,880,4,5
7,21,27,881,4,5
7,21,28,882,4,5
7,21,29,883,4,5
7,21,30,884,4,5
7,21,31,885,4,5
7,21,32,886,4,5
7,21,33,887,4,5
7,21,34,888,4,5
7,21,35,889,4,5
7,21,36,890,4,5
7,21,37,891,4,5
7,21,38,892,4,5
7,21,39,893,4,5
7,21,40,894,4,5
7,21,41,895,4,5
7,21,42,896,4,5
7,21,43,897,4,5
7,21,44,898,4,5
7,21,45,899,4,5
7,21,46,900,4,5
7,21,47,901,4,5
7,21,48,902,4,5
7,21,49,903,4,5
7,21,50,904,4,5
7,21,51,905,4,5
7,21,52,906,4,5
7,21,53,907,4,5
7,21,54,908,4,5
7,21,55,909,4,5
7,21,56,910,4,5
7,21,57,911,4,5
7,21,58,912,4,5
7,21,59,913,4,5
7,21,60,914,4,5
7,21,61,915,4,5
7,21,62,916,4,5
7,21,63,917,4,5
7,21,64,918,4,5
7,21,65,919,4,5
7,22,1,920,4,4
7,22,2,921,4,4
7,22,3,922,4,4
7,22,4,923,4,4
7,22,5,924,4,4
7,22,6,925,4,4
7,22,7,926,4,4
7,22,8,927,4,4
7,22,9,928,4,4
7,22,10,929,4,4
7,22,11,930,4,4
7,22,12,931,4,4
7,22,13,932,4,4
7,22,14,933,4,4
7,22,15,934,4,4
7,22,16,935,4,4
7,22,17,936,4,4
7,22,18,937,4,4
7,22,19,938,4,4
7,22,20,939,4,4
7,22,21,940,4,4
7,22,22,941,4,4
7,22,23,942,4,4
7,22,24,943,4,4
7,22,25,944,4,4
7,22,26,945,4,4
7,22,27,946,4,4
7,22,28,947,4,4
7,22,29,948,4,4
7,22,30,949,4,4
7,23,1,944,-2,9
7,23,2,945,-2,9
7,23,3,946,-2,9
7,23,4,947,-2,9
7,23,5,948,-2,9
7,23,6,949,-2,9
7,23,7,950,-2,9
7,23,8,951,-2,9
7,23,9,952,-2,9
7,23,10,953,-2,9
7,23,11,954,-2,9
7,23,12,955,-2,9
7,23,13,956,-2,9
7,23,14,957,-2,9
7,23,15,958,-2,9
7,23,16,959,-2,9
7,23,17,960,-2,9
7,23,18,961,-2,9
7,23,19,962,-2,9
7,23,20,963,-2,9
7,23,21,964,-2,9
7,23,22,965,-2,9
7,23,23,966,-2,9
7,23,24,967,-2,9
7,23,25,968,-2,9
7,23,26,969,-2,9
7,23,27,970,-2,9
7,23,28,971,-2,9
7,23,29,972,-2,9
7,23,30,973,-2,9
7,23,31,974,-2,9
7,23,32,975,-2,9
7,23,33,976,-2,9
7,23,34,977,-2,9
7,23,35,978,-2,9
7,23,36,979,-2,9
7,23,37,980,-2,9
7,23,38,981,-2,9
7,23,39,982,-2,9
7,23,40,983,-2,9
7,23,41,984,-2,9
7,23,42,985,-2,9
7,23,43,986,-2,9
7,23,44,987,-2,9
7,23,45,988,-2,9
7,23,46,989,-2,9
7,23,47,990,-2,9
7,23,48,991,-2,9
7,23,49,992,-2,9
7,23,50,993,-2,9
7,23,51,994,-2,9
7,23,52,995,-2,9
7,23,53,996,-2,9
7,23,54,997,-2,9
7,23,55,998,-2,9
7,23,56,999,-2,9
7,23,57,1000,-2,9
7,23,58,1001,-2,9
7,23,59,1002,-2,9
7,23,60,1003,-2,9
7,23,61,1004,-2,9
7,23,62,1005,-2,9
7,23,63,1006,-2,9
7,23,64,1007,-2,9
7,23,65,1008,-2,9
7,23,66,1009,-2,9
7,23,67,1010,-2,9
7,23,68,1011,-2,9
7,23,69,1012,-2,9
7,23,70,1013,-2,9
7,23,71,1014,-2,9
7,23,72,1015,-2,9
7,23,73,1016,-2,9
7,23,74,1017,-2,9
7,23,75,1018,-2,9
7,23,76,1019,-2,9
7,23,77,1020,-2,9
7,23,78,1021,-2,9
7,23,79,1022,-2,9
7,23,80,1023,-2,9
7,23,81,1024,-2,9
7,23,82,1025,-2,9
7,23,83,1026,-2,9
7,23,84,1027,-2,9
7,23,85,1028,-2,9
7,23,86,1029,-2,9
7,23,87,1030,-2,9
7,23,88,1031,-2,9
7,23,89,1032,-2,9
7,23,90,1033,-2,9
7,23,91,1034,-2,9
7,23,92,1035,-2,9
7,23,93,1036,-2,9
7,23,94,1037,-2,9
7,23,95,1038,-2,9
7,23,96,1039,-2,9
7,23,97,1040,-2,9
7,23,98,1041,-2,9
7,24,1,1042,-2,2
7,24,2,1043,-2,2
7,24,3,1044,-2,2
7,24,4,1045,-2,2
7,24,5,1046,-2,2
7,24,6,1047,-2,2
7,24,7,1048,-2,2
7,24,8,1049,-2,2
7,24,9,1050,-2,2
7,24,10,1051,-2,2
7,24,11,1052,-2,2
7,24,12,1053,-2,2
7,24,13,1054,-2,2
7,24,14,1055,-2,2
7,24,15,1056,-2,2
7,24,16,1057,-2,2
7,24,17,1058,-2,2
7,24,18,1059,-2,2
7,24,19,1060,-2,2
7,24,20,1061,-2,2
7,25,1,1064,0,2
7,25,2,1065,0,2
7,25,3,1066,0,2
7,25,4,1067,0,2
7,25,5,1068,0,2
7,25,6,1069,0,2
7,25,7,1070,0,2
7,25,8,1071,0,2
7,25,9,1072,0,2
7,25,10,1073,0,2
7,25,11,1074,0,2
7,25,12,1075,0,2
7,25,13,1076,0,2
7,25,14,1077,0,2
7,25,15,1078,0,2
7,25,16,1079,0,2
7,25,17,1080,0,2
7,25,18,1081,0,2
7,25,19,1082,0,2
7,25,20,1083,0,2
7,25,21,1084,0,2
7,25,22,1085,0,2
7,25,23,1086,0,2
7,25,24,1087,0,2
7,25,25,1088,0,2
7,25,26,1089,0,2
7,25,27,1090,0,2
7,25,28,1091,0,2
7,25,29,1092,0,2
7,25,30,1093,0,2
7,25,31,1094,0,2
7,25,32,1095,0,2
7,25,33,1096,0,2
7,25,34,1097,0,2
7,25,35,1098,0,2
7,25,36,1099,0,2
7,25,37,1100,0,2
7,25,38,1101,0,2
7,25,39,1102,0,2
7,25,40,1103,0,2
7,25,41,1104,0,2
7,25,42,1105,0,2
7,25,43,1106,0,2
7,25,44,1107,0,2
7,25,45,1108,0,2
7,25,46,1109,0,2
7,25,47,1110,0,2
7,25,48,1111,0,2
7,25,49,1112,0,2
7,25,50,1113,0,2
7,25,51,1114,0,2
7,25,52,1115,0,2
7,25,53,1116,0,2
7,25,54,1117,0,2
7,25,55,1118,0,2
7,25,56,1119,0,2
7,25,57,1120,0,2
