ref_id,L_id,page,headword_iast,headword_slp1,raw_tag,edition_cited,verse_num,quoted_iast,quoted_slp1,boesp2_verse_iast,boesp2_verse_slp1,evidence_tier,verdict,edition_swap_candidate,cascade_tier
H611-000095,41998,4-0422,pathya,paTya,Spr. 1112,I,1112,vyādhitasyauṣadhaṃ pathyam,vyADitasyOzaDaM paTyam,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000096,41998,4-0422,pathya,paTya,Spr. 448,I,448,uttiṣṭhamānastu paro nopikṣyaḥ pathyamicchatā,uttizWamAnastu paro nopikzyaH paTyamicCatA,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000097,42003,4-0445,pada,pada,Spr. 343,I,343,dattvaikam — gṛhaṃ prati padam,dattvEkam — gfhaM prati padam,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000098,42003,4-0445,pada,pada,Spr. 34,I,34,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000099,42003,4-0445,pada,pada,Spr.403,I,403,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000100,42003,4-0445,pada,pada,Spr. 43,I,43,veṇī˚,veRI˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000101,42003,4-0445,pada,pada,Spr. 643,I,643,saṃpadaḥ padamāpadām,saMpadaH padamApadAm,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000102,42003,4-0445,pada,pada,Spr. 851,I,851,kimiti jagatāṃ vismayapadam,kimiti jagatAM vismayapadam,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000103,42003,4-0445,pada,pada,Spr. 170,I,170,apragalbhapadanyāse,apragalBapadanyAse,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000104,42003,4-0445,pada,pada,Spr. 528,I,528,nirviṇṇasya padaṃ karoti hṛdaye tasya svatantraspṛhā,nirviRRasya padaM karoti hfdaye tasya svatantraspfhA,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
