siglum	count	ctx1	ctx2	ctx3
Prasā.	1333	Prasā. i. 308. 12-13; example for is	i. 1. 22; PadMañ. KāśiVṛ. P. i. 2. 45; Prasā. i. 308. 13;	KāśiVṛ. P. v. 2. 69; Prasā. i. 881. 15; SiddhāKau. 301A. 12]
ŚābaBh.	1329	ŚābaBh. 875. 2 ( iii. 3. 31);	ŚābaBh. 609. 10 ( ii. 3. 20); 1055. 5	Aṃśu ŚābaBh. 609. 6 ( ii.
Bhām.	1323	Bhām. 21. 17 ( i. 1. 1);	Bhām. 49. 17 (	Bhām. 90. 8 ( i. 1. 1);
LaCandr.	1322	LaCandr. 59. 7;	3. 4); LaCandr. 378. 8; MīmāNyāPra. 194. 12; 217. 6; SarvaMa	LaCandr. 699. 16.
SaraKaṇṭhā.	1317	SaraKaṇṭhā. 228. 6; SaraKaṇṭhā.	SaraKaṇṭhā. 228. 6; SaraKaṇṭhā.	SaraKaṇṭhā. 596. 20;
KāṭhS.	1296	AV. vi. 49. 1; KāṭhS. 35. 14; {@2@} to accomplish, to effect,	KāṭhS. 13. 6.	KāṭhS. 25. 9; AitBr. 4. 8 (106);
ĪśānŚiPa.	1293	ĪśānŚiPa. i. 18. 8; {@3C@} one of the 108 names of the	ĪśānŚiPa. ii. 18. 27;	ĪśānŚiPa. i. 5. 48;
GuruCandr.	1293	43. 2; GuruCandr. i. 330. 9; NirṇaSi. 63. 1; VīraMi. (Saṃskāra	GuruCandr. i. 163. 8.	GuruCandr. ii. 199. 17;
MaiS.	1283	MaiS. i. 6. 12; TaiBr. I. i. 9. 2;	MaiS. i. 6. 12.	cf. MaiS. iv. 9. 27;
RāmC.	1265	(Ra) 73. 125; RāmC. 4. 66; 14. 61; Kapphiṇā. 11. 11; BṛParāSm. 2	1. 21; HarVi. 3. 67; RāmC.	RāmC. 32. 4; AdhyāRā.
BrahmP.	1249	= BrahmP. 3. 58; PadmP. v. 37. 103;	sun MahāBhā. iii. 3. 24; = BrahmP. 33. 40	BrahmP. 30. 26; {@3E@} aspect of the
LaŚabdeŚe.	1239	LaŚabdeŚe. ii.	KośaKaTa. 2. 5553; ŚabdaRaSaK. 137. 7; LaŚabdeŚe. ii. 174. 7.	PrakriKau. i. 589. 3; LaŚabdeŚe. i.
ViṣṇuP.	1235	ViṣṇuP. ii. 10. 13; {@4A@} share of inheritance, her	ViṣṇuP. i. 22. 88;	ViṣṇuP. iv. 2. 26;
III.	1217	III. i. 95. 1.	TaiS. VI. iv. 8. 3; TaiBr. III. vii. 9. 1;	CaturCin. III.
App.	1205	iii. 42. 20; MahāBhā. iii. App. 25. 15	SiddhāTaVi. App. 48. 7.	MahāBhā. vii(App.) 3. 6.
JaimiBr.	1203	JaimiBr. 1. 228;	JaimiBr. 2. 249;	JaimiBr. 3. 183;
Aparā.	1200	Aparā. 749. 7 ( 2. 139);	Aparā. 748. 17 ( 2. 138);	Aparā. 751. 8 ( 2. 143); 433. 1 ( 1. 218);
