siglum	count	ctx1	ctx2	ctx3
SrīKaC.	8	SrīKaC. 19. 21.	SrīKaC. 11. 17 (comm. ); {@11@} (in Poetics) intend	SrīKaC.
DevaSm.	8	DevaSm. 48; PāraS. 12. 429;	DevaSm. 7;	DevaSm. 70.
SvarāṅŚi.	8	SvarāṅŚi. 4; MāṇḍūŚi. 9. 10; it is protracted at the e	SvarāṅŚi. 7; AtriS. 9. 19;	SvarāṅŚi. 11; MāṇḍūŚi. 7. 9;
AnyoMuLa.	8	AnyoMuLa. 32; PadmPrā.	85; AnyoMuLa. 47; {@2C@} complete, full	AnyoMuLa. 32;
ŚāṅgaPa.	8	ākhyā. 29. 1; Pañcā. 71. 13; Hitopa. 2. 146; ŚāṅgaPa. 360;	ŚāṅgaPa. 31. 120; name of	SūktiMu. 35. 3 = ŚāṅgaPa. 1154;
BhojaPra.	8	PrabaCin. 30. 18; ŚārṅgaPa. 777; BhojaPra. 44. 12; Subhāṣi. 843;	BhojaPra. 20. 26.	BhojaPra. 74. 15; SiṃhāDvā. 38. 18; ViraBhā. 2. 29;
NānārthMañ.	8	NānārthMañ. 7 66; ŚabdaRaSaK. 140. 18.	. 381; ŚabdaBhePra.(Ma.) 4. 35; AnekāK. 695; NānārthMañ. 1482;	NānārthMañ. 272; ViśvaLoK. 47. 4; ŚabdaRaSaK. 59. 1;
Rāmāṣṭa.	8	Anyo. 408; Rāmāṣṭa. 98; AmaK. 468; AnekāSa. 387;	145. 8; Rāmāṣṭa. 36;	Rāmāṣṭa. 63; {@Bi@} Sanatkumāra
LaRaK.	8	LaRaK. 3111.	LaRaK. 2080;	LaRaK. 2484.
Rū.	8	(Rū.) 15.	(Rū.) 72.	(Rū.) 7; ŚṛṅgāMañ.(A.) 15. 28;
BrahmSphuSi.	8	BrahmSphuSi. 15. 16;	BrahmSphuSi. 15. 15;	BrahmSphuSi. 1. 17; 1. 26;
LāṅgU.	8	LāṅgU. 215. 5; with pain in	LāṅgU. ii. 216. 14;	LāṅgU. ii. 214. 12; {@2@} whose (digestive) fire is
LakṣmīNṛSt.	8	without limitations LakṣmīNṛSt. 17;	LakṣmīNṛSt. 5; {@B@} of untraceable origin, whose source	incomprehensible, LakṣmīNṛSt. 5.
ŚukRaU.	8	ŚukRaU. 258. 29 (2. 5)	ŚukRaU. 259. 15 (3. 5);	ŚukRaU. 259. 19 (3. 9); {@B@} (anātma-
SuvarṇaMā.	8	SuvarṇaMā. 20;	SuvarṇaMā. 41;	SuvarṇaMā. 86. 31.
YāśasCam.	8	YāśasCam.	YāśasCam. ii. 318. 1.	YāśasCam. i. 276. 6.
BhagaMāPū.	8	BhagaMāPū. 6.	BhagaMāPū. 8;	Kṛṣṇa) BhagaMāPū. 3;
BhavāBhu.	8	BhavāBhu. 15; YaśasCam. i. 9. 7; {@4@} not worth consi	BhavāBhu. 13; BhaktiSū.(Nā.) 3. 39;	BhavāBhu. 12;
NārāyUTāU.	8	SūryU. 510. 13; NārāyUTāU. 83. 5 (3);	PaU. 9. 13; NārāyUTāU. 81. 1 (1); ParamāU. 9. 3; ŚarabhU. 18; Śaṅkh	form NārāyUTāU. 82. 4(2);
SubhāNī.	8	SubhāNī. 2. 4.	AnekāTi. 2. 153; 3. 51; SubhāNī.	SubhāNī.
PārvaPa.	8	PārvaPa. 5. 24 (11)	PārvaPa. 1. 8.	HarṣaC. 254. 12; PārvaPa. 3. 1;
TrisaŚaPuC.	8	TrisaŚaPuC. iv. 7. 137.	TrisaŚaPuC. ii. 3. 793	35. 12; 70. 2; TrisaŚaPuC. iv. 4. 264;
VṛHāriSm.	8	VṛHāriSm. 9. 169; VṛGautaSm.	KulārT. 2. 25; VṛHāriSm. 1. 10;	VṛHāriSm. 8. 226.
MāṇḍūU.	8	MuṇḍaU. i. 1. 6; MāṇḍūU. 7;	MāṇḍūU. 7;	ŚatBr. XIV. vii. 1. 31; MāṇḍūU. 7;
BJP.	8	PadmP.(Ra.) 119. 5(BJP. Ed.)	, BJP. Ed., 1964)	(v. l. , BJP. 1959) PadmP.(Ra.) 119. 3.
RatiMañ.	8	RatiMañ. 14; PratāYaBhū. 55. 3;	TilaMañ. 33. 21; PañcSā. 1. 32; RatiMañ. 5; {@ii@} very short (in duration)	eyes RatiMañ. 6.
Śaunako.	8	Śaunako. 2. 7;	Śaunako. 2. 1;	Śaunako. 1. 4;
ŚastrDī.	8	125. 25 (1. 17); 143. 18 (1. 18); ŚastrDī. 154. 14 ( i.	ŚastrDī. 57. 11	ŚastrDī. 782. 20 ( x. 8. 11); SaṅkarKāBh. 152. 10 (
Kirāṇā.	8	Kirāṇā. 276. 23.	tive of excellence Kirāṇā.	2. 28); KāvyPra. 171. 4; Kirāṇā. 9. 5;
KāmKaVi.	8	KāmKaVi. 49.	IṣṭaSi. 242. 11; KāmKaVi. 19; Kāśi.	KāmKaVi. 45;
AnyāŚ.	8	ŚivLī. 10. 29; AnyāŚ.(Nī.) 61;	Mā. 192. 13; ĀryāŚ. 42; AnyāŚ.	AnyāŚ.(Nī.) 64; {@B@} very hard
R.	8	SubhāRaSaṃ. (R. Schmidt Ed., 1908) 697.	maining in the Absolute NyāySu.(Ja.) 486R. 7 (	1. 22 = DrāhyŚS. (Ed. B. R. SHARMA) xxv. 1. 20.
BrahmaS.	8	BrahmaS. i. 7. 88.	BrahmaS. ii. 3. 27; {@ii@} having more charm or lustr	BrahmaS. 1. 13. 118; VīraMi.(Āhnika.) 98. 17; (Lakṣaṇ
IndSpr.	8	IndSpr. 590.	IndSpr. 3473; {@Aii@}	IndSpr. 3485 (First Ed.); {@2B@} to go again and
AitU.	8	1. 4; AitU. 1 (1). 2;	(comm. ); AitU. 2. 3; ĀpaŚS.	1; AitĀ. ii. 5. 12; AitU. 2. 5;
YogCūU.	8	SkandP. iv. 41. 149; YogCūU. 50; DhyānBiU. 77;	YogCūU. 73;	YogCūU. 78;
Rhet.	8	{@3@} (Rhet.) considering one object as the other (owing	10 ( ii. 2. 19); MahāVyu. 110. 6-7; {@3@} (Rhet.) considering	copulation {@4@} (Rhet.) considering one object as the other (owing
Cpds.	8	as Anaṅga in the Cpds.) NārāyPūTāU. 76. 4 (4) =	(in Cpds.) a kind of house {@1Ai@} fire, ordinary fi	9. 124; (in Cpds.) (fire of jealousy)
VVP.	8	VāsaDa. 24. 1 (comm. Vimarśinī, VVP., p. 33	camels, VāsaDa. 24. 1 (comm. Vimarśinī, VVP., p. 33	(v. l. VVP. Ed., 1904)
ALS.	8	ALS. 8, 1953) TripāMaNāU. 373. 18 (7)	(? ALS. 97) Avalo. 50. 21 ( 2. 28)	paniṣads-ALS. Madras, 1953 A. D.);
PāśSū.	8	PāśSū. 10.	cleansing etc. PāśSū. 12. 10;	); PāśSū. 132. 1;
TURN.	7	POK. 283; TURN. 1.]	¦ (agaru) [TURN. 45; MAYR. / . .	¦ (agní) [IE. MAYR. DEBRU. p. 741; TURN. 55; Pok. 293 /
Mahī.	7	Uṇā.(He.) 527; Mahī. on VājaS. 10. 5;	) VājaS. 20. 27 (Mahī. );	ṚV. x. 82. 6; VājaS. 17. 30 (Mahī.
LiṅgP.	7	LiṅgP. ii.	LiṅgP. i. 98. 143; {@ii@} name of one of the eleven	the seed of the universe LiṅgP. i.
BālamBh.	7	VyavaMa. 150. 15; BālamBh. ii. 197. 21 ( 2. 135)	181. 6; BālamBh. iii. 28. 6	BālamBh. iii. 128. 29 ( 3. 234)
SāstrDī.	7	SāstrDī. 230. 1 ( 3. 2. 20);	SāstrDī. 124. 15 ( i. 1. 5);	SāstrDī. 572. 11 ( ix. 1. 1)
SaraRaU.	7	SaraRaU. 3. 23.	SaraRaU. 2. 9.	SaraRaU. 3. 6;
SaṅkṣeŚā.	7	or aspects SaṅkṣeŚā. 2. 136	SaṅkṣeŚā. 44 (i. 50. 9);	SaṅkṣeŚā. 1. 377 (i. 279. 25);
BrahmaVaiP.	7	BrahmaVaiP. ii. 10. 14; KūrmaP. 230. 1 (1. 21); KalkiP.	BrahmaVaiP. iv. 31. 73;	BrahmaVaiP. iv. 19. 18; MadaKeC. 102.
TaPra.	7	TaPra. 109.	TaPra. 151. 13)	TaPra. 9. 2; KośaKaTa. 1. 2795; KalpaK. 340. 1; Śab
MahāBhāDī.	7	1027. 9; MahāBhāDī. v. 42. 32;	MahāBhā. v. 33. 5; (MahāBhāDī. ;	MahāBhā. v. 137. 9 (JñānDī. and MahāBhāDī. ,
RājaTa.	7	BhāgP. iii. 13. 28; RājaTa.(Jo.) 1144.	RājaTa.(Ka.) 4. 192.	RājaTa.(Ka.) 8. 2126; one who does not belong to the
AsṭāSaṃ.	7	AsṭāSaṃ. i. 182. 21 (1. 37); Hastyāyur. 466. 29	AsṭāSaṃ. i. 219. 25 (2. 5); Kād. 42. 15;	AsṭāSaṃ. i. 118. 12 (1. 22)
NītiŚā.	7	NītiŚā. 4. 37;	NītiŚā. 12. 44; RājNīRa. 29. 20; BṛĀraU-	NītiŚā. 2. 13; RāmC.
ŚāśtrDī.	7	ŚāśtrDī. 146. 12 ( i. 1. 6)	Loc. 4. 17 ( 1. 1); ŚāśtrDī. 249. 2	ŚāśtrDī. 145. 12 ( i. 1. 6);
InduDū.	7	EI. xxi. 285. 28; InduDū. 122; {@B@}	249. 10; InduDū. 48; MūkaPañ. 5. 79;	InduDū. 104.
KaruṇāL.	7	YogVā. iii. 21. 79; KaruṇāL.	KaruṇāL.	KaruṇāL. 5.
Sau.	7	Sau. 175. 17 ( ii. 1. 34); AmṛUda. 4. 61;	Sau. 344. 18 ( iii. 3. 49); BhāvPra.	Sau. 69. 21 ( i. 2. 25)
SṛṅgāPra.	7	Kāvyāda. 3. 138 = SṛṅgāPra. 449. 3;	SṛṅgāPra. 386. 11;	ŚiśuVa. 2. 34 (comm. ) = SṛṅgāPra.
KauṣiGS.	7	KauṣiGS. iii. 9. 47;	MānŚS. 8. 21; 12. 22; 47. 13; KauṣiGS. i. 9. 9;	ŚāṅkhāŚS. iv. 14. 34 = KauṣiGS. v. 3. 23;
ĀtmaBoU.	7	9. 6; ĀtmaBoU. 1;	ce or false knowledge ĀtmaBoU. 26 =	ĀtmaBoU. 2. 3;
ŚārṅgPa.	7	cause (? v. l. ) ŚārṅgPa. 923.	AryāSaŚa. 13 = ŚārṅgPa. 466.	ŚārṅgPa. 1915; SāhiDa. 235. 2;
RāmoTāU.	7	BṛBrahmaS. i. 6. 29; RāmoTāU. 401. 18 (3. (1));	); RāmoTāU. 401. 8 (1. 2) (Dīpikā );	RāmoTāU. 403. 9 (4); NārāyPūTāU. 73. 20 (1);
GaṇePañ.	7	GaṇePañ. 4.	Ratnā. 4. 18 (2); GaṇePañ. 5; PañcPā.	GaṇePañ. 6;
ŚīvārkaMaDī.	7	ŚīvārkaMaDī. i. 360. 20 ( i. 2. 16);	ŚīvārkaMaDī. i. 35. 30 ( i. 1. 1); nature of	1. 4); ŚīvārkaMaDī. ii.
VītaRā.	7	TriṣaŚaPuC. ii. 3. 270; VītaRā. 12. 3.	TriṣaŚaPuC. ii. 6. 485; VītaRā.	RājTa.(Ka.) 1. 223; TriṣaŚaPuC. ii. 3. 387 = VītaRā. 3. 4;
Mītā.	7	Mītā. 318. 23 ( 2. 300)	35A. 10 (i. 13. 27); Mītā. 21. 6 ( 1. 66);	Mītā. 47. 8 ( 1. 136); Bālam-
CāndraPari.	7	CāndraPari. 76; {@1G@} not assumed (the form of somethin	. 1. 162); KātanPari. 4; JainePari. 3 (23) = CāndraPari.	ṣāpāṭha 12; KātanPari. 33; JainePari. 39; CāndraPari. 13; Śākaṭā-
JainePari.	7	JaineVyā. 263. 34 ( iv. 1. 140); JainePari. 88.	113) = PariVṛ.(Nī.) 39. 15 = ParibhāŚe. 96; JainePari. 38; Śākaṭā-	103. 19 ( vi. 1. 162); KātanPari. 4; JainePari. 3 (23) = CāndraPari.
ŚivP.	7	SkandP. i(1). 24. 12 = ŚivP. ii(3). 38. 15	ManuBh. ii. 388. 1 ( 11. 60); ŚivP. i.	ŚivP. vii. 9. 9 (511B. 5); {@C@} incapacity for di
ŚāstraDī.	7	ŚāstraDī. 6. 3 ( i. 1. 1); 97. 2 ( ii. 1. 1); 326. 1	256. 1 ( 9); Bhām. 124. 9 ( i. 1. 5); ŚāstraDī. 71. 13 ( i. 4. 6);	ŚāstraDī. 472. 11 ( vi. 3. 4);
MāliniT.	7	gible sense MāliniT. 4. 13.	MāliniT. 1. 32;	names representing Rudra MāliniT.
Sar.	7	Sar. 85. (1); 86. (6)	Sar. 129 [= AmaK. 1216; ParyāRaMā. 41. 898; Vai	Sar. 33; {@8B@} missing or passing over (the prop
DrāhyāGS.	7	PāraGS. iii. 5. 2; DrāhyāGS. iii. 2. 8;	DrāhyāGS. ii. 1. 5; GobhiGS.	DrāhyāGS. iii. 5. 27;
BhāDī.	7	BhāDī. ); iii. 77. 10; v. 1. 10 (BhārBhāDī. ); Am	BhāDī. );	BhāDī. )
KātyaŚS.	7	KātyaŚS. xiv. 2. 6.	xx. 14. 13; MānŚS. 47. 14; KātyaŚS. v.	KātyaŚS. xvii. 2. 12.
KuṇḍiU.	7	KuṇḍiU.	KaṭhRuU. 1; KuṇḍiU. 1; MuktiU. 2. 65;	KuṇḍiU. 9; SaṃnyāU. 3;
Tri.	7	Tri. 136. 9; {@2@} the state of being unchecked (	Tri. 111. 13.	Tri. 119. 8; BṛKathāK.
ĀnandL.	7	entire earth ĀnandL. 17.	ĀnandL. 5.	ĀnandL. 12;
Ba.	7	Ba. 239. 21.	Ba. 293. 14; NityoNi. 90. 3.	Ba. 12. 25; Bhāsk. i. 50. 20 ( i.
NirāU.	7	delimiting adjuncts NirāU. 255. 8.	NirāU. 255. 19.	374. 9 (7); NirāU. 255. 9; SiddhāSāU. 384. 2 (1);
SaŚa.	7	SaŚa. 99 (comm. )	SaŚa. 33*.	SaŚa. 57.
ĀśvŚS.	7	iii. 16. 2; ĀśvŚS. I. vi. 9. 7; BaudhGS. iii. 7. 27; ĀpaGS. vii	ĀśvŚS. I. iii. 13. 4.	ĀśvŚS. I. v. 14. 10.
Damaru.	7	Damaru. 34.	Ed.); SarvaMaSaṃ. 11. 10; Damaru. 13 (6); LalitāSaBh. 161. 11 ( 202);	Damaru. 81 (2); {@Ci@} what
RājNī.	7	ParamāKā. 70. 36; 173. 9; RājNī. 98. 26; ṢaḍrasaNi. 20. 13; AbhidhāCi.	27. 17; RājNī. 27.	RājNī. 356. 4.
NārāyPūTāU.	7	VidyāTāU. 471. 16; NārāyPūTāU.	as Anaṅga in the Cpds.) NārāyPūTāU. 76. 4 (4) =	RāmoTāU. 403. 9 (4); NārāyPūTāU. 73. 20 (1);
Se.	7	Se. 261. 2.	Se. 52. 14.	Se. 58;
BhavPra.	7	PratāYaBhū. 90. 9; BhavPra.(Śā.) 167. 12 (6)	BhavPra.(Śā.) 73. 19 (3)	BhavPra.(Bhā.)
SimhāDvā.	7	16. 13 (1. 1); SimhāDvā. 19. 2 (20);	PārśvC. 7. 399; SimhāDvā.	ŚatTrayī. 49; Subhāṣi. 3151; SimhāDvā. 122. 3;
GautaSm.	7	GautaSm. 567. 16 (9);	GautaSm. 529. 11 (5);	GautaSm. 576. 22 (10);
ŚivSaṃU.	7	altar ŚivSaṃU. 2 14.	ŚivSaṃU. 2 18; SadānaU. 378. 16;	ṚV.(Khila.) iv. 11. 10; ŚivSaṃU. 2 2; {@2A@} to gather or
PiMe.	7	PiMe. i. 9. 2.	PiMe. i. 8. 11; GautPiMe. ii. 7. 18;	PiMe. i. 19. 3.
PuṣpSū.	7	JaimiŚS. 4; PuṣpSū. ii.	PuṣpSū. ii. 5. 2.	LāṭyāŚS. vii. 5. 13; PuṣpSū.
Jivān.	7	ParamāKā. 114. 96; PadyaVe. 387; Jivān. 42. 3;	NīlaVi. 72. 18; 81. 22; 82. 9; 109. 16; Jivān. 136. 5;	DigVi.(Mā.) 8. 45; Jivān. 336. 2; Variva-
ŚukraNi.	7	ŚukraNi. 4 (5). 145; {@1E@} owned, possessed (with an	ŚukraNi. iv. 5. 61; {@Aiii@} flawless, careful, cauti	ŚukraNi. 3. 302.
TilMañ.	7	TilMañ. 80. 18.	TilMañ. 98. 14; {@ii@} jewel set in	TilMañ. 164. 18.
Gītālaṅ.	7	Gītālaṅ. 2. 14;	Gītālaṅ. 3. 24.	Gītālaṅ. 3. 20.
Yadavā.	7	Yadavā. 17. 56; {@2@} irreverence or displeasing act	Yadavā. 24. 19; BhārCam. 6. 102;	Yadavā. 12. 15.
NyāyK.	7	NyāyK. 42. 3; AbhinBhā. i. 325. 11 (	NyāyK. 6.	NyāyK. 6;
MohaMu.	7	MohaMu. 25;	UttārāC. 4. 26 (1); MohaMu. 18;	MohaMu. 4.
MayānaSū.	7	MayānaSū. 77. 12 (12. 2); ViṣṇuSm. 50. 31; ParāSm. 6.	MayānaSū. 7. 12 (1. 7)	MayānaSū. 110. 17 (16. 46 (2));
TāU.	7	TāU. 2;	TāU. 7.	TāU. 7.
KaṭhU.	7	BṛĀraU. iv. 4. 8; KaṭhU. 1. 21; 2. 13; MuṇḍU. ii.	subtle KaṭhU. 2. 8; KāṭhUBh. 126. 19 ( 2. 8);	KaṭhU.
DīpaKa.	7	5 (13); SūktiRa. 40. 11; DīpaKa. 63. 17 ( 2. 187);	DīpaKa. 39. 14 ( 2. 18)	DīpaKa. 12. 24 ( 1. 81)
Ca.	7	Ca. 262. 22 (10)	Ca. 101. 16 (4); CaitaCa. 142. 10	Ca. 251. 17 (10)
Dvā.	7	Dvā. 69. 3 (13);	Dvā. 153. 0 (7); 160. 4 (5)	Dvā. 31. 8 (2); 95. 2 (4); 143. 6 (8)
BhallāŚ.	7	BhallāŚ. 72; ŚārṅgaP. 1215; Subhāṣi.	BhallāŚ. 70 = Subhāṣi. 967; {@2Bvi@} to	BhallāŚ. 52;
GaṅeP.	7	GaṅeP. ii. 142. 7; Hastyāyur. 645. 11 (4. 15);	GaṅeP. i. 28. 6.	GaṅeP. i. 46. 222; {@3x@} Bṛhaspati
ŚivaS.	7	ŚivaS. 5. 114;	ŚivaS. 3. 89; {@3A@} absence, non-availabi-	ŚivaS. 3. 52;
ChSS.	7	(v. l. ) YājñaSm. 2. 51 (ChSS.,	KātyŚS. (ChSS. Ed. 1939) xv. 8. 24;	NāraS.(ChSS.
SiddhāSiA.	7	SiddhāSiA. i. 9. 21;	SiddhāSiA. i. 39. 12; {@Bi@} not having approached or g	SiddhāSiA. i. 119. 2; {@1Aii@} binding (in
AVPrāyaścitta.	7	AVPrāyaścitta. 4. 2;	AVPrāyaścitta. 4. 2;	AVPrāyaścitta. 4. 2; {@2B@} to deprive of
Sg.	6	active, (IE a in 1st per. Sg. and IE e in 3rd per. Sg. and probably 2nd pe	, (IE a in 1st per. Sg. and IE e in 3rd per. Sg. and probably 2nd per.	@2@} substitute for the stem before Voc. Sg.
ViśvaLok.	6	ViśvaLok. 407. 9; NānārthāSaṃ. i. 6. 1; EkārthaNā. 1.	46. 22; 83. 56; ViśvaLok. 245. 26; 371. 3; KāryKaVṛ. 87. 26 (3. 5); Ka	(Ru.) 7. 25; NānārthāSaṃ. ii. 143. 1094; ViśvaLok. 307. 183; {@ii@} verysharp
Jī.	6	Jī. 44. 22;	Jī. 190. 11.	Jī. 45. 21; AlaṅkāSa. 104. 5;
SaṅgīRa.	6	SaṅgīRa. ii. 177. 4; {@Di@} (Astronomy) the 9th part	SaṅgīRa. I. i. 7. 112;	SaṅgīRa. iv. 92. 5 (7. 314);
VaṃśBr.	6	VaṃśBr. 1. 27; {@6C@} of Śiva	Sāmaveda to Kaśyapa VaṃśBr. 2. 28; {@3xv@} presiding	VaṃśBr. 2. 22; {@2@} name of Skanda or Kārttikeya
BaudhāŚS.	6	BaudhāŚS. ii. 173. 5 (14. 12)	the top of a Yūpa) ĀśvaŚS. II. iii. 7. 17; BaudhāŚS. xx.	BaudhāŚS. i. 82. 8; ĀpaSS. vi. 29. 12;
AcyutaRā.	6	AcyutaRā. 8. 28; Raghunā. 4. 17;	AcyutaRā. 12. 7; KoṭiVi. 71.	AcyutaRā. 2. 53.
ĪśanŚiPa.	6	ĪśanŚiPa. ii. 62. 37.	ĪśanŚiPa. i. 32. 134.	258. 13; ĪśanŚiPa. i. 16. 100; {@2@} free
ĪśānŚīPa.	6	ĪśānŚīPa. i. 9. 34; VairāŚ.(Pa.) 76; TriṣaśaPuC. i.	ŚiPa. ii. 67. 14; ĪśānŚīPa. ii. 67. 31.	ĪśānŚīPa. i. 41. 108; DvyāśraKā.
Pat.	6	plain the form ; Vār. 1 extends it to and Pat. to	, Pat.; KāśiVṛ. P. vii. 2. 9; accent by P. vi. 1.	, quoted by Pat., Uṇā. 3. 70 Ujjvala.
CaSaṃ.	6	CaSaṃ. 31. 27; RājTa.(Jo.) 846.	CaSaṃ. 37. 7.	CaSaṃ. 109. 10; ParaNā. 2225; BallāC.
DevīBhāgP.	6	BhāgP. xi. 7. 26; DevīBhāgP. v. 12. 6;	DevīBhāgP. iii. 1. 18;	DevīBhāgP. i. 2. 40.
ŚākaṭāPari.	6	1. 320 ( P. i. 4. 91); ŚākaṭāPari. 8; PrakriKau. ii. 427. 2; Prasā. i. 402. 16;	tical operation or rule ŚākaṭāPari. 69;	letters or words, verbosity ŚākaṭāPari. 77;
Mār.	6	Mār. 14. 6;	Mār. 39. 12; KāvyPra. 717. 1;	Mār. 3. 14.
Ekāv.	6	Ekāv. viii. 55 (8);	Ekāv. viii. 27 (32) (265. 2); BhikṣāKā. 4. 6;	Ekāv. viii. 9. 1 (225. 3); SarvaDaSaṃ. 5. 187; 15.
RāmāCaṃ.	6	RāmāCaṃ. 4. 45.	RāmāCaṃ. 1. 46.	RāmāCaṃ. 1. 72; RāmāMañ.
NitiVā.	6	NitiVā. 28. 28.	NitiVā. 10. 114;	ii. 266. 7 ( 9. 80); NitiVā. 18. 13;
ĀryāSaŚ.	6	ĀryāSaŚ. 306;	ĀryāSaŚ. 425;	SiddhaHe. iii. 2. 145; ĀryāSaŚ. 374;
Suratho.	6	12. 53; Suratho. 15. 3;	Suratho. 6. 114; RasāSu. 173. 6 (2. 66);	PārthPa. 38 (2); Suratho.
PratybhiVi.	6	PratybhiVi. ii. 291. 3 (	PratybhiVi. ii. 111. 6 (ii. 3. 8);	PratybhiVi. i. 21. 5 ( i. 1. 1) (Bhāsk. ); {@1B@} perf
Sphutā.	6	( 2. 1); Sphutā.	AbhidhK. 4. 125 (Sphutā.	Sphutā. ii. 109. 8 (
VidvanMo.	6	i. e. undesirable VidvanMo. 4. 33.	VidvanMo. 7. 20; {@D@} lacking in thought	VidvanMo. 2. 15.
TīlaMañ.	6	TīlaMañ. 55. 23;	TīlaMañ. 194. 7; (with) no loss of time, (with) no	TīlaMañ. 77. 9.
RājeKaPū.	6	RājeKaPū. 60 = Subhāṣi. 2625;	RājeKaPū. 74; {@3A@} unbroken, not capable of	RājeKaPū. 23 = Subhāṣi. 2616.
TātpaT.	6	TātpaT.(Vā.) 418. 19 ( ii.	sensory organs TātpaT.(U.)	Pañ. 69. 4; TātpaT.(Vā.)
VeṇiSaṃ.	6	VeṇiSaṃ. 5. 161.	noble-minded VeṇiSaṃ. 6. 666 (verse	VeṇiSaṃ. 1. 101.
PaṇḍaC.	6	result, futile PaṇḍaC. 13. 234; {@ii@} not	doing any work, idle, lazy PaṇḍaC. 13. 234.	iv. 738. 19; PaṇḍaC. 3. 317;
Subhāṣī.	6	1. 4 = Tantrākhyā. 80. 19 = Hitopa. 3. 100 = Subhāṣī. 2715;	novel) glance Subhāṣī. 2226.	Subhāṣī. 841; {@ii@} extremely profound, very
ĀśramU.	6	ĀśramU. 3 = PrakaVi.	ĀśramU. 2; Praka-	AVPari. 72 (4). 2; ĀśramU.
ŚivārkaMāDī.	6	ŚivārkaMāDī. ii. 72. 35 ( ii. 2. 12)	ŚivārkaMāDī. ii. 387. 33 ( iii. 4. 12);	NyāyMāVi. 504. 17 ( x. 2. 18); ŚivārkaMāDī. i.
KoBh.	6	KoBh. 409. 13 ( 7. 25)	KoBh. 1. 16 ( 1. 1); PadmP.(Ra.) 39. 117;	KoBh. 104. 12 ( 4. 68);
AkṣMāU.	6	flower AkṣMāU. 486. 10.	AkṣMāU. 486. 12.	AkṣMāU. 486. 19 (5)
ŚivaPāKeSt.	6	continuously ŚivaPāKeSt. 23;	ŚivaPāKeSt. 18; PārvPa. 3. 2; MūkaPañ. 2. 75.	ŚivaPāKeSt. 26.
VedāntaKa.	6	146. 12; VedāntaKa. 431. 6;	VedāntaKa. 434. 21 ( iii. 3. 25)	VedāntaKa. 59. 13 ( i. 1. 3);
RaghuVaṃ.	6	RaghuVaṃ. 3. 13;	RaghuVaṃ. 4. 44.	RaghuVaṃ. 5. 25;
KūrmP.	6	KūrmP. 596. 8 (2. 20);	KūrmP. 123. 2 (1. 12); ŚaṅkaDigVi.	KūrmP. 272. 5; {@ii@} tormenting or burning like
GītāBhā.	6	ViṣṇuP. iv. 15. 14; GītāBhā.(Rā.) 544. 13 ( 11. 12)	GītāBhā.(Rā.) 564. 16 ( 12. 11)	GītāBhā.(Rā.) 598. 2 ( 15. 1)
KauśīBr.	6	KauśīBr. 16. 8 (72. 19);	iii. 6. 1; AitBr. 2. 1 (35); KauśīBr. 2. 8 (7. 7);	KauśīBr. 5. 5 (20. 4); TaiBr. I.
HāsyaCū.	6	HāsyaCū. 125. 3.	1. 82; PṛthvīVi. 2. 41; HāsyaCū.	HāsyaCū. 145. 17;
ŚrīVīraSt.	6	ŚrīVīraSt. 12.	ŚrīVīraSt. 12.	longing to all castes) ŚrīVīraSt. 4.
Subhāsi.	6	Subhāsi. 3411; ŚilpaRa. ii. 24. 76; AnekāSaṃ. 4. 286;	ŚatTrayī. 68 = Subhāsi. 2382;	87. 1 = AlaṅkāSa. 58. 13 = SūktiRa. 191. 1 = Subhāsi. 890 = Kuval. 33;
KaDru.	6	KaDru.]	KaDru.	KaDru.]
Dhi.	6	Dhi. 83. 8; 93. 7;	Dhi. 106. 3; GuruCandr. i. 11. 13; {@4@} negative	Dhi. 64. 4; non-egotism
SiddhHe.	6	i. 3. 59; SiddhHe. ii. 4. 35; MugdhaBo. 4. 16 (42. 18)	1. 199; SiddhHe. iii. 3. 23; MugdhaBo. 8. 45 (85. 20); 18. 14	ŚākaṭaVyā. i. 2. 180; SiddhHe. ii. 1. 10; Inst. sg. MahāBh. iii.
RāgVi.	6	RāgVi. 2. 15.	RāgVi. 4. 42 (comm.	RāgVi. 2. 43; 2. 19; 2. 23.
CaitCa.	6	BhikṣāKā. 11. 13; CaitCa.	CaitCa.	CaitCa. 171. 12 (7)
GītaGo.	6	GītaGo. i. 1. 1.	GītaGo. 7. 10; ŚrīKaC.	GītaGo. 11. 20. 3; EI. xii. 153. 52;
SiTrayī.	6	cognition of what is limited SiTrayī.	SiTrayī.	ii. 3. 18); UpadeSā. 132. 12; SiTrayī. 2. 21;
RaSa.	6	RaSa. 28. 97; PālaGoKa. 78;	RaSa. 9. 43.	RaSa. 5. 239; 11. 34; 14. 64; 20. 166;
SītāSva.	6	SkandP. i(1). 19. 9; i(1). 11. 79; SītāSva. 71;	SītāSva. 100.	KāvyaKaVṛ. 99. 31 (3. 5); SītāSva. 24;
ŚṛṅgāŚ.	6	lessness ŚṛṅgāŚ.(Ja.) 80.	ŚṛṅgāŚ. 60; MahāN. 4. 19; SāhiSā. 2. 28; AmaK. 285	ŚṛṅgāŚ.(Ja.) 50.
MaMa.	6	MaMa. 1. 14 (1); VasaViKā. 3. 7;	MaMa. 3. 10 (1)	MaMa. 5. 14; {@2@} beautification of the body
