siglum	count	class	match_type	dcs_title	display_title
HarṣaC.	927	primary	covered	Harṣacarita	Harṣacarita
Hastyāyur.	925	primary	residue		
ManuSm.	923	primary	covered	Manusmṛti	Manusmṛti
ŚiśuVa.	916	primary	residue		Śiśupālavadha (Māgha)
GaṇeP.	915	primary	residue		Gaṇeśapurāṇa
ViṣṇuDhaP.	912	primary	residue		Viṣṇudharmottarapurāṇa
IṣṭaSi.	912	primary	residue		
PrakaVi.	905	primary	residue		
UdaySuKa.	903	primary	residue		
TattvCin.	902	primary	residue		
KalpaK.	892	primary	residue		
BṛĀraUBh.	891	primary	residue		Bṛhadāraṇyakopaniṣadbhāṣya (Śaṅkara)
ŚlokaVār.	891	primary	residue		
Kād.	884	primary	residue		Kādambarī (Bāṇa)
NyāyVār.	876	primary	residue		
ŚārṅgaPa.	875	primary	residue		
NyāyMāVi.	871	primary	residue		
Nyās.	854	primary	residue		
TaiBr.	846	primary	covered	Taittirīyabrāhmaṇa	Taittirīyabrāhmaṇa
PañcT.	846	primary	residue		Pañcatantra
IV.	825	structural			
HirŚS.	814	primary	covered	Hiraṇyakeśiśrautasūtra	Hiraṇyakeśiśrautasūtra
JayaMa.	810	primary	residue		
MahāP.	809	primary	residue		
Vār.	798	primary	residue		Vārttika (Kātyāyana, on Pāṇini)
PrakaPañ.	788	primary	residue		
PadMañ.	784	primary	residue		
Kāvyānu.	779	primary	residue		
LiṅgaP.	778	primary	covered	Liṅgapurāṇa	Liṅgapurāṇa
Mitā.	774	primary	residue		
NyāyPari.	768	primary	residue		
TattvPradī.	765	primary	residue		
NānārthāSaṃ.	762	primary	residue		Nānārthasaṃgraha (kośa)
DaśKuC.	760	primary	covered	Daśakumāracarita	Daśakumāracarita
SāhiDa.	757	primary	residue		Sāhityadarpaṇa
AmaK.	755	primary	covered	Amarakośa	Amarakośa
PrabhāC.	754	primary	residue		
PārśvC.	753	primary	residue		
DevīBhāP.	751	primary	residue		Devībhāgavatapurāṇa
NyāyKa.	748	primary	residue		
PauṣkS.	733	primary	residue		
MānŚS.	729	primary	covered	Mānavaśrautasūtra	Mānavaśrautasūtra
AbhidhāCin.	722	primary	covered	Abhidhānacintāmaṇi	Abhidhānacintāmaṇi
NāṭyaŚā.	716	primary	covered	Nāṭyaśāstra	Nāṭyaśāstra
TattvSaṃ.	703	primary	residue		
V.	702	structural			
Bhāsk.	696	primary	residue		
NaiṣC.	694	primary	residue		Naiṣadhīyacarita
Kiraṇā.	681	primary	residue		
ŚrīKaC.	674	primary	residue		
ĀśvaŚS.	669	primary	covered	Āśvālāyanaśrautasūtra	Āśvālāyanaśrautasūtra
PrakriKau.	667	primary	residue		
Mānaso.	660	primary	residue		
HariVaṃ.	651	primary	covered	Harivaṃśa	Harivaṃśa
SaduktiKa.	647	primary	residue		
Loc.	646	structural			
Upask.	644	primary	residue		
RāghPāṇ.	641	primary	residue		
MediK.	640	primary	residue		Medinīkośa
SetuBa.	639	primary	residue		
ŚaṅkaDigVi.	633	primary	residue		
KhaṇḍanKhā.	632	primary	residue		
AitBr.	631	primary	covered	Aitareyabrāhmaṇa	Aitareyabrāhmaṇa
TarkSaṃ.	627	primary	covered	Tarkasaṃgraha	Tarkasaṃgraha
AnekāSaṃ.	626	primary	residue		Anekārthasaṃgraha (kośa)
VedāntKau.	624	primary	residue		
JayāS.	618	primary	residue		
RaghuVa.	616	primary	residue		Raghuvaṃśa (Kālidāsa)
VivaPraSaṃ.	609	primary	residue		
BṛSaṃ.	596	primary	residue		Bṛhatsaṃhitā (Varāhamihira)
NalaCam.	586	primary	residue		
NyāyKu.	586	primary	residue		
ChāndoUBh.	583	primary	residue		Chāndogyopaniṣadbhāṣya (Śaṅkara)
AṣṭāHṛ.	582	primary	covered	Aṣṭāṅgahṛdayasaṃhitā	Aṣṭāṅgahṛdayasaṃhitā
SūktiRa.	579	primary	residue		
VI.	579	structural			
SiddhaHe.	577	primary	residue		
ŚabdaRaSaK.	577	primary	residue		
AdhyāRā.	576	primary	residue		
PariPar.	570	primary	residue		
KāśyaS.	566	primary	residue		Kāśyapasaṃhitā
YuktiSneha.	564	primary	residue		
KapiKaS.	564	primary	residue		
YātrāPra.	558	primary	residue		
ViśvaLoK.	558	primary	residue		
KāmSū.	558	primary	covered	Kāmasūtra	Kāmasūtra
SamarāSū.	557	primary	residue		
MW.	557	secondary			Monier-Williams, Skt-Eng Dictionary
TaiĀ.	556	primary	covered	Taittirīyāraṇyaka	Taittirīyāraṇyaka
SiddhāTaVi.	556	primary	residue		
NyāyKuA.	554	primary	residue		
KalyāKā.	550	primary	residue		
BṛKathāŚloSaṃ.	546	primary	covered	Bṛhatkathāślokasaṃgraha	Bṛhatkathāślokasaṃgraha
Rāgh.	546	primary	residue		
ViśvaPra.	545	primary	residue		Viśvaprakāśa (kośa)
AhirbuS.	543	primary	residue		
NyāyRaMā.	543	primary	residue		
BrahmVaiP.	543	primary	residue		Brahmavaivartapurāṇa
Sāy.	542	primary	residue		
KātyŚS.	542	primary	covered	Kātyāyanaśrautasūtra	Kātyāyanaśrautasūtra
Gr.	541	structural			
LakṣmīT.	539	primary	residue		
ParaNā.	533	primary	residue		
SamarāSaṃ.	530	primary	residue		
SarvaDaSaṃ.	529	primary	covered	Sarvadarśanasaṃgraha	Sarvadarśanasaṃgraha
SyādvāMañ.	524	primary	residue		
SubhāRaK.	521	primary	residue		
PañcBr.	520	primary	covered	Pañcaviṃśabrāhmaṇa	Pañcaviṃśabrāhmaṇa
LalitāSaBh.	518	primary	residue		
RāmāMañ.	518	primary	residue		
KūrmaP.	512	primary	covered	Kūrmapurāṇa	Kūrmapurāṇa
BhāṭṭCin.	512	primary	residue		
Kirātā.	505	primary	covered	Kirātārjunīya	Kirātārjunīya
BṛKathāMañ.	504	primary	residue		
ŚākaṭāVyā.	502	primary	residue		
VaiyāBhū.	502	primary	residue		
SaṃgīRa.	496	primary	residue		
AnuVyā.	495	primary	residue		
VāmaP.	493	primary	residue		Vāmanapurāṇa
KauṣīBr.	490	primary	covered	Kauṣītakibrāhmaṇa	Kauṣītakibrāhmaṇa
PratyabhiVi.	486	primary	residue		
NayaVi.	484	primary	residue		
GoviBh.	483	primary	residue		
VarāP.	483	primary	covered	Varāhapurāṇa	Varāhapurāṇa
NyāySiA.	481	primary	residue		
NīlaVi.	481	primary	residue		
Pañcā.	480	primary	residue		
Bhā.	479	structural			
KāvyPra.	478	primary	residue		Kāvyaprakāśa (Mammaṭa)
Nir.	475	primary	covered	Nirukta	Nirukta
SaṃkṣeŚā.	475	primary	residue		
VarāṅgaC.	467	primary	residue		
NavaSāC.	459	primary	residue		
TantrRā.	456	primary	residue		
TattvVai.	453	primary	covered	Tattvavaiśāradī	Tattvavaiśāradī
VasiS.	453	primary	residue		
NyāyVārPari.	451	primary	residue		
ŚāṅkhāŚS.	448	primary	covered	Śāṅkhāyanaśrautasūtra	Śāṅkhāyanaśrautasūtra
MalliC.	447	primary	residue		
MugdhaBo.	445	primary	residue		
SarvaDaKau.	443	primary	residue		
CāndraVyā.	442	primary	residue		
VidhiRa.	439	primary	residue		
ŚukraNī.	438	primary	residue		
CāndraVṛ.	435	primary	residue		
BṛParāSm.	434	primary	residue		Bṛhatparāśarasmṛti
Tantrākhyā.	433	primary	covered	Tantrākhyāyikā	Tantrākhyāyikā
Śaṅ.	432	primary	residue		
SiddhYo.	430	primary	residue		
MahāvīC.	429	primary	residue		Mahāvīracarita
Hitopa.	429	primary	covered	Hitopadeśa	Hitopadeśa
VyaktiVi.	427	primary	residue		
MīmāSū.	421	primary	residue		
VII.	420	structural			
PariVṛ.	419	primary	residue		
SūktiMu.	417	primary	residue		
LāṭyāŚS.	417	primary	residue		Lāṭyāyanaśrautasūtra
SāṃkhyaPraBh.	416	primary	residue		
BṛKathāK.	416	primary	residue		
GopBr.	415	primary	covered	Gopathabrāhmaṇa	Gopathabrāhmaṇa
TantrRa.	414	primary	residue		
AbhidhāRaMā.	414	primary	residue		Abhidhānaratnamālā (Halāyudha)
ParamāKā.	414	primary	residue		
ŚatTrayī.	406	primary	covered	Śatakatraya	Śatakatraya
DaṇḍaVi.	406	primary	residue		
Saṃ.	404	structural			
ŚilpaRa.	404	primary	residue		
BrahmSi.	403	primary	residue		
BṛDharmaP.	398	primary	residue		
ŚivLī.	397	primary	residue		
GaṇRa.	395	primary	residue		
Saund.	393	primary	covered	Saundarānanda	Saundarānanda
NyāyBh.	393	primary	covered	Nyāyabhāṣya	Nyāyabhāṣya
ViṣṇuSm.	392	primary	covered	Viṣṇusmṛti	Viṣṇusmṛti
PrabaCin.	390	primary	residue		
TārkiRa.	389	primary	residue		
VedāntDī.	388	primary	residue		
Kāvyālaṅ.	387	primary	covered	Kāvyālaṃkāra	Kāvyālaṃkāra
Ā.	387	structural			
SaurP.	384	primary	residue		
Vā.	381	structural			
DīpKa.	378	primary	residue		
AVPari.	378	primary	residue		
Kapphiṇā.	377	primary	residue		
RugVi.	377	primary	residue		
KandaCū.	375	primary	residue		
RasāSu.	375	primary	residue		
ṬupṬ.	374	primary	residue		
PūrvottaVāNaMā.	374	primary	residue		
BhārŚS.	373	primary	covered	Bhāradvājaśrautasūtra	Bhāradvājaśrautasūtra
Bh.	370	structural			
KātanVṛ.	367	primary	residue		
DharK.	366	primary	residue		
TantrRaha.	366	primary	residue		
SiddhāLeSaṃ.	366	primary	residue		
XIV.	366	structural			
HetuBiṬ.	366	primary	residue		
BhelaS.	365	primary	residue		
ŚaṅkaVi.	361	primary	residue		
MaYānaSū.	360	primary	residue		
RāmāCam.	359	primary	residue		
BaudhDS.	358	primary	covered	Baudhāyanadharmasūtra	Baudhāyanadharmasūtra
VaikhāŚS.	357	primary	covered	Vaikhānasaśrautasūtra	Vaikhānasaśrautasūtra
SaṅkarKāBh.	356	primary	residue		
BṛBrahmaS.	353	primary	residue		
Subodhi.	347	primary	residue		
VikraDeC.	345	primary	residue		
Ekāva.	344	primary	residue		
Nārāy.	344	primary	residue		
RasRaSa.	343	primary	covered	Rasaratnasamuccaya	Rasaratnasamuccaya
KulārT.	343	primary	residue		
ParaS.	343	primary	residue		
PratāYaBhū.	342	primary	residue		
SthānṬ.	342	primary	residue		
NītiVā.	342	primary	residue		
BṛNāraP.	341	primary	residue		
Kuval.	341	primary	residue		
ĀtmaTaVi.	341	primary	residue		
YājñaSm.	340	primary	covered	Yājñavalkyasmṛti	Yājñavalkyasmṛti
TattvMu.	340	primary	residue		
VedāntSā.	338	primary	residue		
PañcaRā.	337	primary	residue		
PañcPā.	336	primary	residue		
AnarghaRā.	336	primary	residue		
NītiSā.	334	primary	residue		
NyāyMa.	333	primary	residue		
ĀnandRa.	331	primary	residue		
Ra.	331	structural			
Śāk.	329	primary	residue		
Bhaṭṭi.	329	primary	residue		
HammīMaKā.	328	primary	residue		
AnekāK.	328	primary	residue		
PramāMī.	326	primary	residue		
VakroJī.	323	primary	residue		
BuddhaC.	320	primary	covered	Buddhacarita	Buddhacarita
AitĀ.	316	primary	covered	Aitareya-Āraṇyaka	Aitareya-Āraṇyaka
TrikāŚe.	314	primary	covered	Trikāṇḍaśeṣa	Trikāṇḍaśeṣa
Sphuṭā.	314	primary	residue		
YudhiVi.	308	primary	residue		
PurāPraSaṃ.	306	primary	residue		
PramāVāSvopVṛ.	306	primary	residue		
Ka.	304	structural			
ĀdiP.	304	primary	residue		
Surath.	303	primary	residue		
NirṇaSi.	302	primary	residue		
VyutpaVā.	302	primary	residue		
KauśiSū.	301	primary	covered	Kauśikasūtra	Kauśikasūtra
YuktiKa.	301	primary	residue		
DaśāvaC.	301	primary	residue		
MānaSā.	300	primary	residue		
StavMā.	300	primary	residue		
PadyaVe.	296	primary	residue		
ŚāraTi.	296	primary	residue		
TarkBhā.	294	primary	residue		
AbhidhKoBh.	293	primary	covered	Abhidharmakośabhāṣya	Abhidharmakośabhāṣya
MānaMe.	293	primary	residue		
AlaṅkāRa.	293	primary	residue		
KumāSaṃ.	292	primary	covered	Kumārasaṃbhava	Kumārasaṃbhava
U.	287	structural			
VasaViKā.	286	primary	residue		
Vi.	284	structural			
HārīS.	283	primary	residue		
Mañ.	283	structural			
PārāSū.	282	primary	residue		
AlaṅkāMañ.	282	primary	residue		
UttaRāC.	281	primary	residue		Uttararāmacarita
PṛthvīVi.	279	primary	residue		
BhāṭṭCan.	279	primary	residue		
PañcDa.	278	primary	residue		
NidāSū.	277	primary	residue		
MaVastuAva.	277	primary	residue		
Raghunā.	271	primary	residue		
MṛgendraT.	270	primary	covered	Mṛgendratantra	Mṛgendratantra
RājNi.	268	primary	covered	Rājanighaṇṭu	Rājanighaṇṭu
TaiUBhāVā.	267	primary	residue		
PramāVār.	264	primary	residue		
SV.	263	primary	residue		Sāmaveda(saṃhitā)
AlaṅkāSa.	261	primary	residue		
TaiUBh.	260	primary	residue		
TattvBi.	260	primary	residue		
HārLa.	258	primary	residue		
VāsaDa.	255	primary	residue		
JānaPa.	255	primary	residue		
TātpaVṛ.	255	primary	residue		
TantrSa.	252	primary	residue		
Kau.	249	structural			
Acyutarā.	249	primary	residue		
ParāTri.	247	primary	residue		
ChāndoU.	247	primary	covered	Chāndogyopaniṣad	Chāndogyopaniṣad
CaitaCa.	247	primary	residue		
MudrāRā.	247	primary	residue		Mudrārākṣasa
NityoNi.	244	primary	residue		
NāraS.	242	primary	residue		
KuṭṭaMa.	242	primary	residue		
BṛĀraU.	241	primary	covered	Bṛhadāraṇyakopaniṣad	Bṛhadāraṇyakopaniṣad
NaiṣkaSi.	241	primary	residue		
GopāKeCan.	241	primary	residue		
PrabaK.	241	primary	residue		
ŚārṅgaS.	240	primary	covered	Śārṅgadharasaṃhitā	Śārṅgadharasaṃhitā
Pra.	240	structural			
BhojanKu.	239	primary	residue		
JīvanVi.	238	primary	residue		
SiddhāSi.	237	primary	residue		
KathāK.	237	primary	residue		
SubhāRaSaṃ.	237	primary	residue		
GautDS.	235	primary	covered	Gautamadharmasūtra	Gautamadharmasūtra
MālaMā.	234	primary	residue		
Bṛha.	234	structural			
JānaHa.	233	primary	residue		
KāvyKaVṛ.	232	primary	residue		
SiṃhāDvā.	229	primary	residue		
MahNirvāT.	228	primary	residue		
ŚāliC.	228	primary	residue		
ĀpaDS.	227	primary	covered	Āpastambadharmasūtra	Āpastambadharmasūtra
VākyaPa.	227	primary	residue		
NītiMā.	226	primary	residue		
Śarka.	226	primary	residue		
Rā.	224	structural			
AnekāSa.	224	primary	residue		
VedāntRaMañ.	222	primary	residue		
ĀtmaSi.	222	primary	residue		
PW.	221	secondary			Böhtlingk-Roth, Petersburger Wörterbuch (grosses)
UjjvaNīMa.	220	primary	residue		
AśvaVai.	219	primary	residue		
ĀgniveGS.	219	primary	residue		
NānārthaMa.	218	primary	residue		
Liṅgānu.	218	primary	residue		
SarvaVeSāSaṃ.	217	primary	residue		
Rāvaṇā.	216	primary	residue		
PadārthaSaṃ.	215	primary	residue		
SiddhāTa.	215	primary	residue		
ĀgaPrā.	215	primary	residue		
DrāhyŚS.	215	primary	covered	Drāhyāyaṇaśrautasūtra	Drāhyāyaṇaśrautasūtra
AnekāTi.	213	primary	residue		
YogŚā.	213	primary	residue		
VākyaP.	211	primary	residue		
PrasaRā.	211	primary	residue		
Kāvyāda.	211	primary	covered	Kāvyādarśa	Kāvyādarśa
VeṇīSaṃ.	209	primary	residue		Veṇīsaṃhāra
BṛhaspaSm.	206	primary	residue		
MahāN.	206	primary	residue		
VārāŚS.	206	primary	covered	Vārāhaśrautasūtra	Vārāhaśrautasūtra
BhagGī.	205	primary	residue		
VetāPañ.	205	primary	covered	Vetālapañcaviṃśatikā	Vetālapañcaviṃśatikā
MālinīT.	204	primary	residue		
ṚPrāti.	201	primary	residue		
Kātan.	201	primary	residue		
JātaMā.	201	primary	residue		
PuruṣPa.	201	primary	residue		
MayaMa.	200	primary	residue		
Ja.	200	structural			
GaṇPā.	199	primary	residue		
KāvyMī.	198	primary	residue		
Jīvān.	195	primary	residue		
NānārthSaṃ.	195	primary	residue		
X.	195	structural			
ŚṛṅgāMañ.	194	primary	residue		
KaṃVa.	192	primary	residue		
AdbhuDa.	192	primary	residue		
LaliVi.	192	primary	covered	Lalitavistara	Lalitavistara
RaseCin.	191	primary	residue		
SiddhāBi.	190	primary	residue		
NāṭaLaRaK.	190	primary	residue		
SāhiSā.	190	primary	residue		
RasSa.	189	primary	residue		
YogBh.	189	primary	covered	Yogasūtrabhāṣya	Yogasūtrabhāṣya
VṛGautaSm.	189	primary	residue		
JaimiUBr.	188	primary	covered	Jaiminīya-Upaniṣad-Brāhmaṇa	Jaiminīya-Upaniṣad-Brāhmaṇa
ŚāṅkhāĀ.	187	primary	covered	Śāṅkhāyanāraṇyaka	Śāṅkhāyanāraṇyaka
KumāPraPra.	186	primary	residue		
PāñcRāRa.	184	primary	residue		
BrāhmSphuSi.	183	primary	residue		
SiddhāMu.	183	primary	residue		
NyāyVi.	182	primary	residue		
CitraMī.	182	primary	residue		
DhātuPra.	180	primary	residue		
Vādā.	179	primary	residue		
Nalābhyu.	179	primary	residue		
RājMār.	178	primary	residue		
ParyāRaMā.	177	primary	residue		
MīmāNyāPra.	177	primary	residue		
KāvyālaṅSū.	174	primary	residue		
KāṭhUBh.	174	primary	residue		
XIII.	174	structural			
TristhaSe.	173	primary	residue		
NayaMañ.	171	primary	residue		
VIII.	171	structural			
TantrSā.	170	primary	residue		
SāmaraU.	170	primary	residue		
Gaṅgāva.	168	primary	residue		
BaudhGS.	168	primary	covered	Baudhāyanagṛhyasūtra	Baudhāyanagṛhyasūtra
VāsiDS.	168	primary	covered	Vasiṣṭhadharmasūtra	Vasiṣṭhadharmasūtra
AlaṅkāŚe.	166	primary	residue		
LalitāTriBh.	166	primary	residue		
AbhidhK.	166	primary	covered	Abhidharmakośa	Abhidharmakośa
VedāntPāSau.	165	primary	residue		
PraboCan.	165	primary	residue		
VādhūŚS.	164	primary	residue		
SūBh.	163	primary	residue		
YatīndraDī.	163	primary	residue		
GobhiGS.	163	primary	covered	Gobhilagṛhyasūtra	Gobhilagṛhyasūtra
GaṇḍVyū.	162	primary	residue		
NīlaP.	161	primary	residue		
YogYā.	161	primary	residue		
Mṛcch.	161	primary	residue		Mṛcchakaṭika
NāmMā.	160	primary	residue		
ŚāṅkhāGS.	159	primary	covered	Śāṅkhāyanagṛhyasūtra	Śāṅkhāyanagṛhyasūtra
BrahmSū.	158	primary	residue		
Mā.	158	structural			
SphoṭSi.	158	primary	residue		
KauṣīGS.	158	primary	covered	Kauṣītakagṛhyasūtra	Kauṣītakagṛhyasūtra
AlaṅkāKau.	158	primary	residue		
VaikhāGS.	155	primary	covered	Vaikhānasagṛhyasūtra	Vaikhānasagṛhyasūtra
NaraP.	154	primary	residue		
Cin.	154	structural			
RatiRaha.	154	primary	residue		
MāṭhVṛ.	153	primary	residue		
VīraBhā.	153	primary	residue		
ViveCū.	153	primary	residue		
BhaktiRaSi.	153	primary	residue		
AmṛUda.	153	primary	residue		
ŚivDṛ.	153	primary	residue		
ChandaśCū.	153	primary	residue		
MaDī.	153	primary	residue		
Bṛhajjā.	152	primary	residue		
ParāSm.	152	primary	covered	Parāśaradharmasaṃhitā	Parāśaradharmasaṃhitā
ĀryāSaŚa.	152	primary	residue		
SāṃkhyaTaKau.	152	primary	covered	Sāṃkhyatattvakaumudī	Sāṃkhyatattvakaumudī
GaṇiSāSaṃ.	151	primary	residue		
XI.	151	structural			
IX.	150	structural			
VedāntPari.	149	primary	residue		
SarvaSiSaṃ.	149	primary	residue		
BhārBhāDī.	149	primary	residue		
UpaParā.	148	primary	residue		
Candr.	147	primary	residue		
Saṃskāra.	146	primary	residue		
ŚvetāUBh.	146	primary	residue		
AgaNi.	146	primary	residue		
ŚaktiVā.	144	primary	residue		
Vidvanmo.	143	primary	residue		
AbhidhāMañ.	143	primary	residue		
ParyāMu.	142	primary	residue		
NyāySū.	142	primary	covered	Nyāyasūtra	Nyāyasūtra
Mukundā.	141	primary	residue		
Acc.	140	structural			
MahāVyu.	140	primary	residue		
BālRā.	140	primary	residue		
VedāSaṃ.	139	primary	residue		
ĀśvaGS.	139	primary	covered	Āśvalāyanagṛhyasūtra	Āśvalāyanagṛhyasūtra
SanatBh.	139	primary	residue		
BhāvanāVi.	139	primary	residue		
KalkiP.	138	primary	residue		
Vṛ.	138	structural			
BallāC.	137	primary	residue		
GītGo.	137	primary	covered	Gītagovinda	Gītagovinda
KaumuMi.	137	primary	residue		
ParyāŚaRa.	135	primary	residue		
MātaLī.	135	primary	residue		
GiMs.	134	primary	residue		
He.	132	structural			
Cam.	132	structural			
K.	132	structural			
JātaPā.	131	primary	residue		
BhikṣāKā.	131	primary	residue		
VyavaNi.	130	primary	residue		
ŚrīBh.	129	primary	residue		
APTE.	128	secondary			Apte, Skt-Eng Dictionary
SubhaDha.	127	primary	residue		
MānGS.	127	primary	covered	Mānavagṛhyasūtra	Mānavagṛhyasūtra
ṢaḍviBr.	126	primary	covered	Ṣaḍviṃśabrāhmaṇa	Ṣaḍviṃśabrāhmaṇa
BhārGS.	126	primary	covered	Bhāradvājagṛhyasūtra	Bhāradvājagṛhyasūtra
VIŚVA.	126	secondary			Vishva Bandhu, Vaidika-Padānukrama-Koṣa (Vedic Word Concordance)
Divyāva.	126	primary	covered	Divyāvadāna	Divyāvadāna
MaiU.	125	primary	residue		
PādaTā.	125	primary	residue		
GobhiSm.	125	primary	residue		
Golā.	124	primary	residue		
Vikramo.	124	primary	residue		Vikramorvaśīya
DEBRU.	124	secondary			Debrunner (Altindische Grammatik)
XII.	124	structural			
Sārā.	123	structural			
HirGS.	123	primary	covered	Hiraṇyakeśigṛhyasūtra	Hiraṇyakeśigṛhyasūtra
Tantrābhi.	122	primary	residue		
SarvaMaSaṃ.	122	primary	residue		
PramāVāBh.	122	primary	residue		
PāṇiTaVāNaMā.	122	primary	residue		
TaiPrāti.	121	primary	residue		
SamaMā.	121	primary	residue		
AltGr.	121	secondary			Wackernagel-Debrunner, Altindische Grammatik
Nalo.	120	primary	residue		
Rasā.	120	primary	residue		
Dhvanyā.	118	primary	residue		Dhvanyāloka (Ānandavardhana)
ŚS.	118	primary	residue		
DBHS.	118	secondary			modern reference (secondary)
AdbhuSāg.	117	primary	residue		
DarpDa.	117	primary	residue		
VājaPrāti.	116	primary	residue		
ĀryaSi.	116	primary	residue		
AupaSūṬ.	116	primary	residue		
KātySm.	116	primary	covered	Kātyāyanasmṛti	Kātyāyanasmṛti
KṛṣṇaKa.	116	primary	residue		
