title	norm	dcs_siglum	tok_2021	tok_2026	in_2021	in_2026	title_2021
Tantrākhyāyikā	tantrakhyayika	TAkh	8301	8311	1	1	Tantrākhyāyikā
Śāṅkhāyanagṛhyasūtra	sankhayanagrhyasutra		750	8282	1	1	Śāṅkhāyanagṛhyasūtra
Parāśaradharmasaṃhitā	parasaradharmasamhita	ParDh	8176	8183	1	1	Parāśaradharmasaṃhitā
Vaikhānasagṛhyasūtra	vaikhanasagrhyasutra		7752	8163	1	1	Vaikhānasagṛhyasūtra
Pāraskaragṛhyasūtra	paraskaragrhyasutra		661	8131	1	1	Pāraskaragṛhyasūtra
Rasahṛdayatantra	rasahrdayatantra	RHT	8113	8120	1	1	Rasahṛdayatantra
Mānavagṛhyasūtra	manavagrhyasutra		81	7957	1	1	Mānavagṛhyasūtra
Rasakāmadhenu	rasakamadhenu	RKDh	7874	7875	1	1	Rasakāmadhenu
Nāṭyaśāstra	natyasastra	Nāṭ	7842	7849	1	1	Nāṭyaśāstra
Atharvaprāyaścittāni	atharvaprayascittani		517	7848	1	1	Atharvaprāyaścittāni
Mātṛkābhedatantra	matrkabhedatantra	MBhT	7840	7842	1	1	Mātṛkābhedatantra
Rasādhyāyaṭīkā	rasadhyayatika	RasṬ	7764	7780	1	1	Rasādhyāyaṭīkā
Saṅghabhedavastu	sanghabhedavastu	Saṅgh	7630	7642	1	1	Saṅghabhedavastu
Parāśarasmṛtiṭīkā	parasarasmrtitika	ParāṬī	7550	7596	1	1	Parāśarasmṛtiṭīkā
Ṣaḍviṃśabrāhmaṇa	sadvimsabrahmana		0	7540	0	1	
Ṛgvedakhilāni	rgvedakhilani		1315	7505	1	1	Ṛgvedakhilāni
Gobhilagṛhyasūtra	gobhilagrhyasutra		1317	7399	1	1	Gobhilagṛhyasūtra
Nibandhasaṃgraha	nibandhasamgraha	NiSaṃ	7335	7356	1	1	Nibandhasaṃgraha
Kāṭhakagṛhyasūtra	kathakagrhyasutra	KāṭhGṛ	177	7324	1	1	Kāṭhakagṛhyasūtra
Jaiminigṛhyasūtra	jaiminigrhyasutra		6778	7109	1	1	Jaiminigṛhyasūtra
Āśvalāyanagṛhyasūtra	asvalayanagrhyasutra		1088	7046	1	1	Āśvalāyanagṛhyasūtra
Taittirīyāraṇyaka	taittiriyaranyaka		0	6957	0	1	
Dhanvantarinighaṇṭu	dhanvantarinighantu	DhaNi	6938	6939	1	1	Dhanvantarinighaṇṭu
Rasādhyāya	rasadhyaya	RAdhy	6640	6641	1	1	Rasādhyāya
Mūlamadhyamakārikāḥ	mulamadhyamakarikah	MūlaK	2849	6547	1	1	Mūlamadhyamakārikāḥ
Yogaratnākara	yogaratnakara	YRā	6478	6481	1	1	Yogaratnākara
Rasaratnasamuccayabodhinī	rasaratnasamuccayabodhini	RasR	6426	6430	1	1	Rasaratnasamuccayabodhinī
Āśvālāyanaśrautasūtra	asvalayanasrautasutra		0	6246	0	1	
Madanapālanighaṇṭu	madanapalanighantu	MPāNi	6181	6186	1	1	Madanapālanighaṇṭu
Gītagovinda	gitagovinda	GīG	6020	6020	1	1	Gītagovinda
Kaṭhāraṇyaka	katharanyaka		0	5961	0	1	
Sāṃkhyatattvakaumudī	samkhyatattvakaumudi	STKau	5848	5937	1	1	Sāṃkhyatattvakaumudī
Gautamadharmasūtra	gautamadharmasutra	GauDh	5613	5696	1	1	Gautamadharmasūtra
Rasendrasārasaṃgraha	rasendrasarasamgraha	RSS	5676	5676	1	1	Rasendrasārasaṃgraha
Haṭhayogapradīpikā	hathayogapradipika	HYP	5656	5659	1	1	Haṭhayogapradīpikā
Śārṅgadharasaṃhitā	sarngadharasamhita	ŚdhS	5617	5617	1	1	Śārṅgadharasaṃhitā
Kāvyālaṃkāra	kavyalamkara	KāvAl	5584	5593	1	1	Kāvyālaṃkāra
Narmamālā	narmamala		5578	5583	1	1	Narmamālā
Toḍalatantra	todalatantra	ToḍT	5452	5463	1	1	Toḍalatantra
Ratnaṭīkā	ratnatika		5392	5445	1	1	Ratnaṭīkā
Gheraṇḍasaṃhitā	gherandasamhita	GherS	5372	5381	1	1	Gheraṇḍasaṃhitā
Śivasūtravārtika	sivasutravartika	ŚiSūV	5341	5345	1	1	Śivasūtravārtika
Śyainikaśāstra	syainikasastra		5271	5276	1	1	Śyainikaśāstra
Vaikhānasadharmasūtra	vaikhanasadharmasutra		4896	5213	1	1	Vaikhānasadharmasūtra
Sāmavidhānabrāhmaṇa	samavidhanabrahmana		0	5185	0	1	
Vārāhagṛhyasūtra	varahagrhyasutra		4602	4840	1	1	Vārāhagṛhyasūtra
Gūḍhārthadīpikā	gudharthadipika	ŚGDī	4822	4822	1	1	Gūḍhārthadīpikā
Rasārṇavakalpa	rasarnavakalpa	RAK	4796	4798	1	1	Rasārṇavakalpa
Kokilasaṃdeśa	kokilasamdesa		4640	4640	1	1	Kokilasaṃdeśa
Aṣṭāvakragīta	astavakragita	AṣṭGī	4552	4572	1	1	Aṣṭāvakragīta
Rasasaṃketakalikā	rasasamketakalika	RSK	4543	4546	1	1	Rasasaṃketakalikā
Aṣṭāṅganighaṇṭu	astanganighantu	AṣṭNi	4484	4477	1	1	Aṣṭāṅganighaṇṭu
Abhidhānacintāmaṇi	abhidhanacintamani		4326	4471	1	1	Abhidhānacintāmaṇi
Kāvyādarśa	kavyadarsa	KāvĀ	4445	4462	1	1	Kāvyādarśa
Ayurvedarasāyana	ayurvedarasayana	AHSra	4103	4113	1	1	Ayurvedarasāyana
Kālikāpurāṇa	kalikapurana	KālPu	4090	4093	1	1	Kālikāpurāṇa
Jaiminīyaśrautasūtra	jaiminiyasrautasutra		0	4088	0	1	
Haṃsadūta	hamsaduta	Haṃ	2618	3906	1	1	Haṃsadūta
